Year,Disposal Method,Region,Waste collection Authority,Observation status,Unit multiplier,GeoCode,Value
2000 to 2001,Landfill,,,Undefined,Units,,79.0
2000 to 2001,Incineration with EfW,,,Undefined,Units,,9.0
2000 to 2001,Incineration without EfW,,,Undefined,Units,,0.0
2000 to 2001,Recycled-composted,,,Undefined,Units,,12.0
2000 to 2001,Other,,,Undefined,Units,,0.6
2000 to 2001,Landfill,North West,,Undefined,Units,E12000002,90.0
2000 to 2001,Incineration with EfW,North West,,Undefined,Units,E12000002,1.0
2000 to 2001,Incineration without EfW,North West,,Undefined,Units,E12000002,0.0
2000 to 2001,Recycled-composted,North West,,Undefined,Units,E12000002,9.0
2000 to 2001,Other,North West,,Undefined,Units,E12000002,0.0
2000 to 2001,Landfill,East Midlands,,Undefined,Units,E12000004,78.0
2000 to 2001,Incineration with EfW,East Midlands,,Undefined,Units,E12000004,7.000000000000001
2000 to 2001,Incineration without EfW,East Midlands,,Undefined,Units,E12000004,0.0
2000 to 2001,Recycled-composted,East Midlands,,Undefined,Units,E12000004,15.0
2000 to 2001,Other,East Midlands,,Undefined,Units,E12000004,0.0
2000 to 2001,Landfill,East of England,,Undefined,Units,E12000006,82.0
2000 to 2001,Incineration with EfW,East of England,,Undefined,Units,E12000006,2.0
2000 to 2001,Incineration without EfW,East of England,,Undefined,Units,E12000006,0.0
2000 to 2001,Recycled-composted,East of England,,Undefined,Units,E12000006,16.0
2000 to 2001,Other,East of England,,Undefined,Units,E12000006,0.0
2000 to 2001,Landfill,South East,,Undefined,Units,E12000008,81.0
2000 to 2001,Incineration with EfW,South East,,Undefined,Units,E12000008,0.0
2000 to 2001,Incineration without EfW,South East,,Undefined,Units,E12000008,0.0
2000 to 2001,Recycled-composted,South East,,Undefined,Units,E12000008,18.0
2000 to 2001,Other,South East,,Undefined,Units,E12000008,1.6
2000 to 2001,Landfill,North East,,Undefined,Units,E12000001,76.0
2000 to 2001,Incineration with EfW,North East,,Undefined,Units,E12000001,18.0
2000 to 2001,Incineration without EfW,North East,,Undefined,Units,E12000001,0.0
2000 to 2001,Recycled-composted,North East,,Undefined,Units,E12000001,7.000000000000001
2000 to 2001,Other,North East,,Undefined,Units,E12000001,0.0
2000 to 2001,Landfill,Yorkshire and the Humber,,Undefined,Units,E12000003,84.0
2000 to 2001,Incineration with EfW,Yorkshire and the Humber,,Undefined,Units,E12000003,3.0
2000 to 2001,Incineration without EfW,Yorkshire and the Humber,,Undefined,Units,E12000003,0.0
2000 to 2001,Recycled-composted,Yorkshire and the Humber,,Undefined,Units,E12000003,10.0
2000 to 2001,Other,Yorkshire and the Humber,,Undefined,Units,E12000003,2.5
2000 to 2001,Landfill,West Midlands,,Undefined,Units,E12000005,57.99999999999999
2000 to 2001,Incineration with EfW,West Midlands,,Undefined,Units,E12000005,31.0
2000 to 2001,Incineration without EfW,West Midlands,,Undefined,Units,E12000005,0.0
2000 to 2001,Recycled-composted,West Midlands,,Undefined,Units,E12000005,10.0
2000 to 2001,Other,West Midlands,,Undefined,Units,E12000005,0.7000000000000001
2000 to 2001,Landfill,London,,Undefined,Units,E12000007,72.0
2000 to 2001,Incineration with EfW,London,,Undefined,Units,E12000007,20.0
2000 to 2001,Incineration without EfW,London,,Undefined,Units,E12000007,0.0
2000 to 2001,Recycled-composted,London,,Undefined,Units,E12000007,8.0
2000 to 2001,Other,London,,Undefined,Units,E12000007,0.0
2000 to 2001,Landfill,South West,,Undefined,Units,E12000009,82.0
2000 to 2001,Incineration with EfW,South West,,Undefined,Units,E12000009,0.0
2000 to 2001,Incineration without EfW,South West,,Undefined,Units,E12000009,0.0
