Year,Unit measure,Observation status,Country group,Product sector,Value
2005,Percentage (%),Undefined,Developing,,3.51210809496
2005,Percentage (%),Undefined,Developing,AGRI,6.638912105607242
2005,Percentage (%),Undefined,Developing,FISH,6.761435638887275
2005,Percentage (%),Undefined,Developing,NAMA,3.186124409808408
2005,Percentage (%),Undefined,Developing,PAPS,10.94441396146251
2005,Percentage (%),Undefined,Least Developed,,3.0071341512137346
2005,Percentage (%),Undefined,Least Developed,AGRI,3.4180791798002286
2005,Percentage (%),Undefined,Least Developed,FISH,0.275
2005,Percentage (%),Undefined,Least Developed,NAMA,3.3679087098276543
2005,Percentage (%),Undefined,Least Developed,PAPS,2.3504460675757075
2005,Percentage (%),Undefined,Small Island Developing,,2.862527931622042
2005,Percentage (%),Undefined,Small Island Developing,AGRI,3.180490506134733
2005,Percentage (%),Undefined,Small Island Developing,FISH,0.75
2005,Percentage (%),Undefined,Small Island Developing,NAMA,2.8691046150772688
2005,Percentage (%),Undefined,Small Island Developing,PAPS,6.7328945445415815
2006,Percentage (%),Undefined,Developing,,3.41771436515008
2006,Percentage (%),Undefined,Developing,AGRI,6.525799659534348
2006,Percentage (%),Undefined,Developing,FISH,6.896576552472912
2006,Percentage (%),Undefined,Developing,NAMA,3.0861082234238157
2006,Percentage (%),Undefined,Developing,PAPS,10.65518690540818
2006,Percentage (%),Undefined,Least Developed,,3.053041682503562
2006,Percentage (%),Undefined,Least Developed,AGRI,2.858750704199016
2006,Percentage (%),Undefined,Least Developed,FISH,3.8
2006,Percentage (%),Undefined,Least Developed,NAMA,3.3801209836182573
2006,Percentage (%),Undefined,Least Developed,PAPS,4.316240056027828
2006,Percentage (%),Undefined,Small Island Developing,,3.1216999571042714
2006,Percentage (%),Undefined,Small Island Developing,AGRI,2.577731983331467
2006,Percentage (%),Undefined,Small Island Developing,FISH,1.0
2006,Percentage (%),Undefined,Small Island Developing,NAMA,3.1244470067054992
2006,Percentage (%),Undefined,Small Island Developing,PAPS,8.584722415729242
2007,Percentage (%),Undefined,Developing,,3.6597402085219914
2007,Percentage (%),Undefined,Developing,AGRI,6.6675484577050845
2007,Percentage (%),Undefined,Developing,FISH,6.461495997890625
2007,Percentage (%),Undefined,Developing,NAMA,3.231609173315804
2007,Percentage (%),Undefined,Developing,PAPS,10.675807968009396
2007,Percentage (%),Undefined,Least Developed,,3.129601533070442
2007,Percentage (%),Undefined,Least Developed,AGRI,3.5198853171978697
2007,Percentage (%),Undefined,Least Developed,FISH,1.6658509664786616
2007,Percentage (%),Undefined,Least Developed,NAMA,2.9364316654447773
2007,Percentage (%),Undefined,Least Developed,PAPS,7.570735142070166
2007,Percentage (%),Undefined,Small Island Developing,,3.129601533070442
2007,Percentage (%),Undefined,Small Island Developing,AGRI,3.5198853171978697
2007,Percentage (%),Undefined,Small Island Developing,FISH,1.6658509664786616
2007,Percentage (%),Undefined,Small Island Developing,NAMA,2.9364316654447773
2007,Percentage (%),Undefined,Small Island Developing,PAPS,7.570735142070166
2008,Percentage (%),Undefined,Developing,,3.715351398237383
2008,Percentage (%),Undefined,Developing,AGRI,6.764635810111465
2008,Percentage (%),Undefined,Developing,FISH,6.139057862872024
2008,Percentage (%),Undefined,Developing,NAMA,3.2617930270703974
2008,Percentage (%),Undefined,Developing,PAPS,10.442064093065682
2008,Percentage (%),Undefined,Least Developed,,3.209634096400696
