Year,Corruption offence type,Observation status,Unit multiplier,Unit measure,Value
2017/18,,Normal Value,Units,Number of offences,105
2017/18,"Requesting, agreeing to receive and accepting bribes",Normal Value,Units,Number of offences,6
2017/18,"Offering, promising or giving bribes",Normal Value,Units,Number of offences,7
2017/18,Misconduct in a public office,Normal Value,Units,Number of offences,92
2017/18,Commercial organisation - failure to prevent associate bribing another with intent to obtain or retain business or advantage,Normal Value,Units,Number of offences,0
2018/19,,Normal Value,Units,Number of offences,143
2018/19,"Requesting, agreeing to receive and accepting bribes",Normal Value,Units,Number of offences,3
2018/19,"Offering, promising or giving bribes",Normal Value,Units,Number of offences,12
2018/19,Misconduct in a public office,Normal Value,Units,Number of offences,127
2018/19,Commercial organisation - failure to prevent associate bribing another with intent to obtain or retain business or advantage,Normal Value,Units,Number of offences,1
2019/20,,Normal Value,Units,Number of offences,109
2019/20,"Requesting, agreeing to receive and accepting bribes",Normal Value,Units,Number of offences,2
2019/20,"Offering, promising or giving bribes",Normal Value,Units,Number of offences,7
2019/20,Misconduct in a public office,Normal Value,Units,Number of offences,100
2019/20,Commercial organisation - failure to prevent associate bribing another with intent to obtain or retain business or advantage,Normal Value,Units,Number of offences,0
2020/21,,Normal Value,Units,Number of offences,120
2020/21,"Requesting, agreeing to receive and accepting bribes",Normal Value,Units,Number of offences,1
2020/21,"Offering, promising or giving bribes",Normal Value,Units,Number of offences,10
2020/21,Misconduct in a public office,Normal Value,Units,Number of offences,109
2020/21,Commercial organisation - failure to prevent associate bribing another with intent to obtain or retain business or advantage,Normal Value,Units,Number of offences,0
