Year,Series,Type of heritage,Area of spending,Observation status,Unit multiplier,Unit measure,Value
2000,General government expenditure,,,Normal value,Units,GBP (£) per capita,317.018787116
2001,General government expenditure,,,Normal value,Units,GBP (£) per capita,287.58479522270903
2002,General government expenditure,,,Normal value,Units,GBP (£) per capita,314.9798621089282
2003,General government expenditure,,,Normal value,Units,GBP (£) per capita,346.8166414305285
2004,General government expenditure,,,Normal value,Units,GBP (£) per capita,348.004350262884
2005,General government expenditure,,,Normal value,Units,GBP (£) per capita,525.9437905229478
2006,General government expenditure,,,Normal value,Units,GBP (£) per capita,423.2817280455586
2007,General government expenditure,,,Normal value,Units,GBP (£) per capita,454.4913411971148
2008,General government expenditure,,,Normal value,Units,GBP (£) per capita,461.9094911668322
2009,General government expenditure,,,Normal value,Units,GBP (£) per capita,491.9973337830566
2010,General government expenditure,,,Normal value,Units,GBP (£) per capita,493.8216524988249
2011,General government expenditure,,,Normal value,Units,GBP (£) per capita,469.4943991555674
2012,General government expenditure,,,Normal value,Units,GBP (£) per capita,455.647123459697
2013,General government expenditure,,,Normal value,Units,GBP (£) per capita,421.7409684318243
2014,General government expenditure,,,Normal value,Units,GBP (£) per capita,436.7244197855002
2015,General government expenditure,,,Normal value,Units,GBP (£) per capita,429.9800337889725
2016,General government expenditure,,,Normal value,Units,GBP (£) per capita,414.5893026607016
2017,General government expenditure,,,Normal value,Units,GBP (£) per capita,427.1034915097168
2018,General government expenditure,,,Normal value,Units,GBP (£) per capita,413.1369326084208
2019,General government expenditure,,,Normal value,Units,GBP (£) per capita,407.7440835489125
2000,General government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,110.31465829796844
2001,General government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,119.75369208126808
2002,General government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,134.05047022101988
2003,General government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,148.6333080133542
2004,General government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,152.92641917318318
2005,General government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,314.5168365244077
2006,General government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,206.43759113947564
2007,General government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,229.2271086822866
2008,General government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,219.68885768911
2009,General government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,243.39669613960697
2010,General government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,245.73172189070976
2011,General government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,230.5914030316773
2012,General government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,221.12863982418963
2013,General government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,215.28506825446095
2014,General government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,231.5594580536497
2015,General government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,228.30594378743663
2016,General government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,221.25545141443547
2017,General government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,223.30338187952188
2018,General government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,217.53397274954995
2019,General government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,215.44445242885885
2000,General government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,83.92472926548031
2001,General government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,90.9444623010167
2002,General government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,98.8281111820462
2003,General government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,107.66860003990833
2004,General government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,117.39704822653393
2005,General government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,267.34179394272456
2006,General government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,162.72352290344273
2007,General government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,178.16634621186546
2008,General government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,173.71950608018273
2009,General government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,187.5828173561086
2010,General government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,184.1792875978936
2011,General government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,179.93176908940652
2012,General government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,171.90173455772702
2013,General government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,170.87404084192204
2014,General government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,179.54449756025068
2015,General government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,175.1036707111043
2016,General government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,171.7947663374873
2017,General government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,174.31806687441892
2018,General government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,175.7792508835624
2019,General government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,174.37961099932932
2000,General government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2001,General government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.1015005159609561
2002,General government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.2358264115474087
2003,General government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.2682911696991953
2004,General government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.4503723077744268
2005,General government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.9435008516336634
2006,General government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.772681913160417
2007,General government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.1956975885164655
2008,General government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.2588000090580003
2009,General government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.4176002441355274
2010,General government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.2230737975923963
2011,General government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.1580150777987235
2012,General government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.2197629699395651
2013,General government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2014,General government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2015,General government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2016,General government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
