Year,Units,Series,Country,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2014,"Rate per 100,000 population",Rate of MRSA bloodstream infection,,undefined,Units,Rate per 100000 population,,1.4143662343
2015,"Rate per 100,000 population",Rate of MRSA bloodstream infection,,undefined,Units,Rate per 100000 population,,1.3442247567899002
2016,"Rate per 100,000 population",Rate of MRSA bloodstream infection,,undefined,Units,Rate per 100000 population,,1.2183916586051966
2017,"Rate per 100,000 population",Rate of MRSA bloodstream infection,,undefined,Units,Rate per 100000 population,,1.4204304319944678
2018,"Rate per 100,000 population",Rate of MRSA bloodstream infection,,undefined,Units,Rate per 100000 population,,1.4754715156125378
2014,"Rate per 100,000 population",Rate of MRSA bloodstream infection,England,undefined,Units,Rate per 100000 population,E92000001,1.1525017997254543
2015,"Rate per 100,000 population",Rate of MRSA bloodstream infection,England,undefined,Units,Rate per 100000 population,E92000001,1.1079406728616796
2016,"Rate per 100,000 population",Rate of MRSA bloodstream infection,England,undefined,Units,Rate per 100000 population,E92000001,1.0367650455370547
2017,"Rate per 100,000 population",Rate of MRSA bloodstream infection,England,undefined,Units,Rate per 100000 population,E92000001,1.2567550584391105
2018,"Rate per 100,000 population",Rate of MRSA bloodstream infection,England,undefined,Units,Rate per 100000 population,E92000001,1.3594826091447485
2014,"Rate per 100,000 population",Rate of MRSA bloodstream infection,Wales,undefined,Units,Rate per 100000 population,W92000004,5.10990169584054
2015,"Rate per 100,000 population",Rate of MRSA bloodstream infection,Wales,undefined,Units,Rate per 100000 population,W92000004,3.7430390766826087
2016,"Rate per 100,000 population",Rate of MRSA bloodstream infection,Wales,undefined,Units,Rate per 100000 population,W92000004,3.276424200568556
2017,"Rate per 100,000 population",Rate of MRSA bloodstream infection,Wales,undefined,Units,Rate per 100000 population,W92000004,3.807798948215534
2018,"Rate per 100,000 population",Rate of MRSA bloodstream infection,Wales,undefined,Units,Rate per 100000 population,W92000004,2.708187104505117
2014,"Rate per 100,000 population",Rate of MRSA bloodstream infection,Northern Ireland,undefined,Units,Rate per 100000 population,N92000002,2.933988518324932
2015,"Rate per 100,000 population",Rate of MRSA bloodstream infection,Northern Ireland,undefined,Units,Rate per 100000 population,N92000002,4.3205385983416695
2016,"Rate per 100,000 population",Rate of MRSA bloodstream infection,Northern Ireland,undefined,Units,Rate per 100000 population,N92000002,3.16840275446973
2017,"Rate per 100,000 population",Rate of MRSA bloodstream infection,Northern Ireland,undefined,Units,Rate per 100000 population,N92000002,2.2984401609121923
2018,"Rate per 100,000 population",Rate of MRSA bloodstream infection,Northern Ireland,undefined,Units,Rate per 100000 population,N92000002,2.869835425567364
