Year,Series,Type of product,Observation status,Units,Unit multiplier,Value
2021.0,Most favoured nation status,Agricultural products,Normal value,Percentage (%),Units,12.10324
2021.0,Preferential status,Agricultural products,Normal value,Percentage (%),Units,1.96529
2021.0,Most favoured nation status,Arms,Normal value,Percentage (%),Units,1.9729
2021.0,Preferential status,Arms,Normal value,Percentage (%),Units,0.6021
2021.0,Most favoured nation status,Clothing,Normal value,Percentage (%),Units,11.73834
2021.0,Preferential status,Clothing,Normal value,Percentage (%),Units,4.39455
2021.0,Most favoured nation status,Industrial products,Normal value,Percentage (%),Units,2.04145
2021.0,Preferential status,Industrial products,Normal value,Percentage (%),Units,0.49912
2021.0,Most favoured nation status,Oil,Normal value,Percentage (%),Units,0.0
2021.0,Preferential status,Oil,Normal value,Percentage (%),Units,0.0
2021.0,Most favoured nation status,Textiles,Normal value,Percentage (%),Units,5.95157
2021.0,Preferential status,Textiles,Normal value,Percentage (%),Units,2.66273
2021.0,Most favoured nation status,Total or no breakdown,Normal value,Percentage (%),Units,3.40835
2021.0,Preferential status,Total or no breakdown,Normal value,Percentage (%),Units,0.80535
