Year,Sector,Country,Region,Age,Sex,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2010,Public sector,,,16 to 17,Female,Undefined,Units,Percentage (%),,0.0954928512929
2014,Public sector,,,16 to 17,Male,Undefined,Units,Percentage (%),,0.096248688236
2012,Public sector,,,16 to 17,Male,Undefined,Units,Percentage (%),,0.10568093105599999
2013,Public sector,,,16 to 17,Female,Undefined,Units,Percentage (%),,0.10801550532700001
2012,Public sector,,,16 to 17,Female,Undefined,Units,Percentage (%),,0.11152177323899999
2015,Public sector,,,16 to 17,Female,Undefined,Units,Percentage (%),,0.114216157141
2014,Public sector,,,16 to 17,Female,Undefined,Units,Percentage (%),,0.12033613947899999
2009,Public sector,,,16 to 17,Male,Undefined,Units,Percentage (%),,0.12550447286
2011,Public sector,,,16 to 17,Male,Undefined,Units,Percentage (%),,0.129728498967
2010,Public sector,,,16 to 17,Male,Undefined,Units,Percentage (%),,0.13399388415
2011,Public sector,,,16 to 17,Female,Undefined,Units,Percentage (%),,0.139034200243
2005,Public sector,,,16 to 17,Male,Undefined,Units,Percentage (%),,0.156078767589
2016,Public sector,,,16 to 17,Male,Undefined,Units,Percentage (%),,0.16733063743899998
2013,Public sector,,,16 to 17,,Undefined,Units,Percentage (%),,0.176283973868
2009,Public sector,,,16 to 17,Female,Undefined,Units,Percentage (%),,0.17694699325
2007,Public sector,,,16 to 17,Female,Undefined,Units,Percentage (%),,0.181998249675
2007,Public sector,,,16 to 17,Male,Undefined,Units,Percentage (%),,0.18223139682199999
2008,Public sector,,,16 to 17,Female,Undefined,Units,Percentage (%),,0.191452598139
2003,Public sector,,,16 to 17,Male,Undefined,Units,Percentage (%),,0.193852551707
2008,Public sector,,,16 to 17,Male,Undefined,Units,Percentage (%),,0.19416471102400001
2006,Public sector,,,16 to 17,Male,Undefined,Units,Percentage (%),,0.204507691853
2004,Public sector,,,16 to 17,Male,Undefined,Units,Percentage (%),,0.211276404984
2005,Public sector,,,16 to 17,Female,Undefined,Units,Percentage (%),,0.214155503763
2002,Public sector,,,16 to 17,Male,Undefined,Units,Percentage (%),,0.216076755749
2014,Public sector,,,16 to 17,,Undefined,Units,Percentage (%),,0.21658482771499998
2012,Public sector,,,16 to 17,,Undefined,Units,Percentage (%),,0.217202704295
2015,Public sector,,,16 to 17,,Undefined,Units,Percentage (%),,0.22697898933200003
2006,Public sector,,,16 to 17,Female,Undefined,Units,Percentage (%),,0.22708450651099998
2010,Public sector,,,16 to 17,,Undefined,Units,Percentage (%),,0.229486735442
2001,Public sector,,,16 to 17,Male,Undefined,Units,Percentage (%),,0.23654034102
2004,Public sector,,,16 to 17,Female,Undefined,Units,Percentage (%),,0.254161554768
