Year,Type of violence,Unit measure,Unit multiplier,Observation status,Value
2002/03,Acquaintance violence,Percentage (%),Units,Normal value,42.97144416514486
2002/03,Assault with minor injury,Percentage (%),Units,Normal value,36.73110583729554
2002/03,Domestic violence,Percentage (%),Units,Normal value,35.42320027121986
2002/03,Stranger violence,Percentage (%),Units,Normal value,43.29868739017436
2002/03,Violence without injury,Percentage (%),Units,Normal value,38.85762116025755
2002/03,Wounding,Percentage (%),Units,Normal value,52.54702216331014
2002/03,,Percentage (%),Units,Normal value,41.199414224781606
2003/04,Acquaintance violence,Percentage (%),Units,Normal value,39.29769133156278
2003/04,Assault with minor injury,Percentage (%),Units,Normal value,32.62121718319379
2003/04,Domestic violence,Percentage (%),Units,Normal value,39.41791584044228
2003/04,Stranger violence,Percentage (%),Units,Normal value,39.62858491003677
2003/04,Violence without injury,Percentage (%),Units,Normal value,30.2744978578669
2003/04,Wounding,Percentage (%),Units,Normal value,57.09194121609952
2003/04,,Percentage (%),Units,Normal value,39.39511277326287
2004/05,Acquaintance violence,Percentage (%),Units,Normal value,44.93485660383927
2004/05,Assault with minor injury,Percentage (%),Units,Normal value,40.4839490717369
2004/05,Domestic violence,Percentage (%),Units,Normal value,41.114731011151385
2004/05,Stranger violence,Percentage (%),Units,Normal value,49.711343680638166
2004/05,Violence without injury,Percentage (%),Units,Normal value,35.63073681908471
2004/05,Wounding,Percentage (%),Units,Normal value,60.32933717699608
2004/05,,Percentage (%),Units,Normal value,46.05412005081218
2005/06,Acquaintance violence,Percentage (%),Units,Normal value,44.3471884223245
2005/06,Assault with minor injury,Percentage (%),Units,Normal value,39.35870525377008
2005/06,Domestic violence,Percentage (%),Units,Normal value,41.91603756501544
2005/06,Stranger violence,Percentage (%),Units,Normal value,46.112069283610566
2005/06,Violence without injury,Percentage (%),Units,Normal value,36.746136443020966
2005/06,Wounding,Percentage (%),Units,Normal value,59.11389961152692
2005/06,,Percentage (%),Units,Normal value,44.6367977811729
2006/07,Acquaintance violence,Percentage (%),Units,Normal value,48.75991859802562
2006/07,Assault with minor injury,Percentage (%),Units,Normal value,37.44637767814107
2006/07,Domestic violence,Percentage (%),Units,Normal value,43.70258863968876
2006/07,Stranger violence,Percentage (%),Units,Normal value,36.21936548618056
2006/07,Violence without injury,Percentage (%),Units,Normal value,36.15499793806058
2006/07,Wounding,Percentage (%),Units,Normal value,57.18377386659169
2006/07,,Percentage (%),Units,Normal value,42.72968532509084
2007/08,Acquaintance violence,Percentage (%),Units,Normal value,46.67516462409765
2007/08,Assault with minor injury,Percentage (%),Units,Normal value,36.87996315702903
2007/08,Domestic violence,Percentage (%),Units,Normal value,40.78962327516047
2007/08,Stranger violence,Percentage (%),Units,Normal value,39.00455447928552
2007/08,Violence without injury,Percentage (%),Units,Normal value,32.84599553705229
2007/08,Wounding,Percentage (%),Units,Normal value,58.11557860646141
2007/08,,Percentage (%),Units,Normal value,42.44608333300187
