Year,Country Group,Product Sector,Units,Value
2005,Developing countries,,Percentage (%),43.050804738415
2006,Developing countries,,Percentage (%),43.00242385920539
2007,Developing countries,,Percentage (%),41.02660938803128
2008,Developing countries,,Percentage (%),41.88083249963098
2009,Developing countries,,Percentage (%),42.05498017300517
2010,Developing countries,,Percentage (%),42.61787312148675
2011,Developing countries,,Percentage (%),43.0338519108832
2012,Developing countries,,Percentage (%),42.65996845209519
2013,Developing countries,,Percentage (%),42.810601967814286
2014,Developing countries,,Percentage (%),43.310456064122185
2015,Developing countries,,Percentage (%),43.50717014836501
2016,Developing countries,,Percentage (%),45.260405670948565
2017,Developing countries,,Percentage (%),45.8966565349544
2018,Developing countries,,Percentage (%),46.95576436694974
2019,Developing countries,,Percentage (%),47.67470172875578
2005,Developing countries,AGRI,Percentage (%),46.8641975308642
2006,Developing countries,AGRI,Percentage (%),47.39347774339443
2007,Developing countries,AGRI,Percentage (%),46.79541595925297
2008,Developing countries,AGRI,Percentage (%),47.8101402373247
2009,Developing countries,AGRI,Percentage (%),50.11363636363636
2010,Developing countries,AGRI,Percentage (%),50.15886464732048
2011,Developing countries,AGRI,Percentage (%),53.70499419279907
2012,Developing countries,AGRI,Percentage (%),54.68655513001411
2013,Developing countries,AGRI,Percentage (%),54.681367968604
2014,Developing countries,AGRI,Percentage (%),56.51280134554288
2015,Developing countries,AGRI,Percentage (%),58.60411459334743
2016,Developing countries,AGRI,Percentage (%),58.75885203130824
2017,Developing countries,AGRI,Percentage (%),59.15313013323599
2018,Developing countries,AGRI,Percentage (%),61.117136659436014
2019,Developing countries,AGRI,Percentage (%),60.7479964381122
2005,Developing countries,FISH,Percentage (%),32.3809523809524
2006,Developing countries,FISH,Percentage (%),29.411764705882355
2007,Developing countries,FISH,Percentage (%),29.658792650918635
2008,Developing countries,FISH,Percentage (%),29.166666666666668
2009,Developing countries,FISH,Percentage (%),29.526462395543174
2010,Developing countries,FISH,Percentage (%),29.04109589041096
2011,Developing countries,FISH,Percentage (%),26.301369863013697
2012,Developing countries,FISH,Percentage (%),27.56892230576441
2013,Developing countries,FISH,Percentage (%),28.044280442804425
2014,Developing countries,FISH,Percentage (%),30.256410256410252
2015,Developing countries,FISH,Percentage (%),35.373134328358205
2016,Developing countries,FISH,Percentage (%),38.10264385692068
2017,Developing countries,FISH,Percentage (%),35.966149506346966
2018,Developing countries,FISH,Percentage (%),40.86538461538461
2019,Developing countries,FISH,Percentage (%),44.6875
2005,Developing countries,NAMA,Percentage (%),42.106367600083935
2006,Developing countries,NAMA,Percentage (%),42.12657536739615
2007,Developing countries,NAMA,Percentage (%),40.63928644735124
2008,Developing countries,NAMA,Percentage (%),41.499560675583325
2009,Developing countries,NAMA,Percentage (%),41.40814299900696
2010,Developing countries,NAMA,Percentage (%),42.04026688516914
2011,Developing countries,NAMA,Percentage (%),42.21410693036806
2012,Developing countries,NAMA,Percentage (%),41.75583706410231
2013,Developing countries,NAMA,Percentage (%),41.894988158730776
2014,Developing countries,NAMA,Percentage (%),42.15072924131786
2015,Developing countries,NAMA,Percentage (%),42.007787830062576
2016,Developing countries,NAMA,Percentage (%),43.95112093945402
2017,Developing countries,NAMA,Percentage (%),44.79073389137629
2018,Developing countries,NAMA,Percentage (%),45.60190610108585
2019,Developing countries,NAMA,Percentage (%),46.47469788519638
2005,Developing countries,PAPS,Percentage (%),35.525507068223725
2006,Developing countries,PAPS,Percentage (%),35.71847507331378
2007,Developing countries,PAPS,Percentage (%),34.8975188781014
2008,Developing countries,PAPS,Percentage (%),37.122844827586206
2009,Developing countries,PAPS,Percentage (%),38.06047966631908
2010,Developing countries,PAPS,Percentage (%),37.58252920264093
2011,Developing countries,PAPS,Percentage (%),39.29939792008758
2012,Developing countries,PAPS,Percentage (%),39.44903581267218
2013,Developing countries,PAPS,Percentage (%),39.39842209072978
2014,Developing countries,PAPS,Percentage (%),42.03406813627255
2015,Developing countries,PAPS,Percentage (%),44.738154613466335
2016,Developing countries,PAPS,Percentage (%),45.42405366554864
2017,Developing countries,PAPS,Percentage (%),44.81651376146789
2018,Developing countries,PAPS,Percentage (%),47.59309718437784
2019,Developing countries,PAPS,Percentage (%),46.90265486725664
2005,Least developed countries,,Percentage (%),56.516443361754
2006,Least developed countries,,Percentage (%),56.485484867201976
2007,Least developed countries,,Percentage (%),51.14709851551957
2008,Least developed countries,,Percentage (%),56.94643368662275
2009,Least developed countries,,Percentage (%),58.13953488372093
2010,Least developed countries,,Percentage (%),60.77818801476853
2011,Least developed countries,,Percentage (%),62.55966587112172
2012,Least developed countries,,Percentage (%),64.71647164716472
2013,Least developed countries,,Percentage (%),63.9497594869054
2014,Least developed countries,,Percentage (%),65.23821527602722
2015,Least developed countries,,Percentage (%),63.47262247838616
2016,Least developed countries,,Percentage (%),63.73271889400922
2017,Least developed countries,,Percentage (%),63.15913927642469
2018,Least developed countries,,Percentage (%),63.46153846153846
2019,Least developed countries,,Percentage (%),63.87981711299804
2005,Least developed countries,AGRI,Percentage (%),79.1095890410959
2006,Least developed countries,AGRI,Percentage (%),80.54607508532423
2007,Least developed countries,AGRI,Percentage (%),71.97802197802197
2008,Least developed countries,AGRI,Percentage (%),79.72602739726027
2009,Least developed countries,AGRI,Percentage (%),87.21311475409837
2010,Least developed countries,AGRI,Percentage (%),86.79245283018868
2011,Least developed countries,AGRI,Percentage (%),86.98060941828255
2012,Least developed countries,AGRI,Percentage (%),91.07981220657275
2013,Least developed countries,AGRI,Percentage (%),88.58921161825725
2014,Least developed countries,AGRI,Percentage (%),84.82142857142857
2015,Least developed countries,AGRI,Percentage (%),85.4581673306773
2016,Least developed countries,AGRI,Percentage (%),88.65979381443299
2017,Least developed countries,AGRI,Percentage (%),89.15187376725838
2018,Least developed countries,AGRI,Percentage (%),89.46395563770795
2019,Least developed countries,AGRI,Percentage (%),87.84722222222221
2005,Least developed countries,FISH,Percentage (%),90.47619047619048
2006,Least developed countries,FISH,Percentage (%),68.18181818181817
2007,Least developed countries,FISH,Percentage (%),66.66666666666666
2008,Least developed countries,FISH,Percentage (%),52.63157894736842
2009,Least developed countries,FISH,Percentage (%),68.75
2010,Least developed countries,FISH,Percentage (%),58.333333333333336
2011,Least developed countries,FISH,Percentage (%),60.0
