Year,Country,Sex,Cause of death,Observation status,Unit multiplier,Unit measure,Units,GeoCode,Value
2001,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.248281234954
2002,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1806010070730388
2003,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1778173330963949
2004,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1787326171711774
2005,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1679877252489078
2006,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1723791063622459
2007,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.2004140959728313
2008,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.2115178006816708
2009,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.2244943098205778
2010,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.2316293546790018
2011,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1406421510544057
2012,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1449588030617279
2013,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1703301431902298
2014,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1236747337779422
2015,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0673744869022529
2016,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0907826227740336
2017,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1106484775322734
2018,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0964209083225098
2001,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.2502516397543186
2002,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.2022707379824536
2003,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1663178568636807
2004,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1960624885750351
2005,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1677187332448032
2006,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1740225888886577
2007,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.187483117145301
2008,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1746282211615147
2009,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1880414487598113
2010,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.2484223627326708
2011,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1592031909240287
2012,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1508437336496167
2013,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1996492163269136
2014,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1307674128031405
2015,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0630365835964731
2016,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1109764057918863
2017,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.161950278301216
2018,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0992632238552391
2001,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.2463999474346778
2002,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1598868150081663
2003,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1888250450431037
2004,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1621228842088515
2005,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1682458305665733
2006,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1708003749177251
2007,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.2128555824659528
2008,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.2470691953804935
2009,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.259661054110767
2010,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.215397868465067
2011,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1226637376902558
2012,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1392543735969251
2013,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1418732592194347
2014,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1167817304462645
2015,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0715976636795894
2016,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0710749878690226
2017,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0605584661374888
2018,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0936437373509885
2001,England,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.2426706094708757
2002,England,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1690846203507793
2003,England,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1822715225963508
2004,England,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1753176636530622
2005,England,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1738923069924823
2006,England,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1765911341910927
2007,England,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.198516602206185
2008,England,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.216150065116172
2009,England,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.2184059465731924
2010,England,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.2184548698453484
2011,England,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1374579013993384
2012,England,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1514196178023035
2013,England,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1689383083152716
2014,England,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1178276600358291
2015,England,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0657098257380897
2016,England,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.086849427898392
2017,England,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1132697692155421
2018,England,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0946814432124463
2001,Wales,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.3436152169311587
2002,Wales,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.3763416580108085
2003,Wales,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.1021199766757973
2004,Wales,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.2366926329756118
2005,Wales,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2006,Wales,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.1004800265803163
2007,Wales,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.2328444376291247
2008,Wales,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.1321935167672604
2009,Wales,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.3290694705140591
2010,Wales,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.4590207579022883
2011,Wales,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.1958379219246429
2012,Wales,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2013,Wales,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.194652758943321
2014,Wales,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.2263880498157201
2015,Wales,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0968027347417916
2016,Wales,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.1606090294396351
2017,Wales,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2018,Wales,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.1274440990355349
2001,England,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.24414883859432
2002,England,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1893568367429982
2003,England,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1719359227565585
2004,England,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1953320999738987
2005,England,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1734805314297704
2006,England,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1841643482643911
2007,England,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1865039918004908
2008,England,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1729904777391528
2009,England,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1833514396130863
2010,England,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.2357283488148892
2011,England,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1530622279845049
2012,England,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1594929763850142
2013,England,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1997439583953686
2014,England,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.126992683279202
2015,England,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0591950523591337
2016,England,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1025606463078899
2017,England,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1637491838467761
2018,England,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0975858630902146
2001,England,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.2412577772509657
2002,England,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1496858094858891
2003,England,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1921733519723182
2004,England,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.156121529057378
2005,England,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.174287611973497
2006,England,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1693121953727284
2007,England,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.2100795399334468
2008,England,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.2577619808432054
2009,England,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.2522348288185746
2010,England,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.2017544567559497
2011,England,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1223399993927487
2012,England,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1435920342650357
2013,England,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1390319454432792
2014,England,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1089189280838089
2015,England,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0720537898834389
2016,England,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0715124785520668
2017,England,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0639695743645769
2018,England,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0918428176585196
2001,Wales,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.3549444831333931
2002,Wales,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.423920715521645
2003,Wales,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2004,Wales,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.2085388309730213
2005,Wales,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2006,Wales,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2007,Wales,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.2042852230283922
2008,Wales,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.2027855981668181
2009,Wales,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.2688446669283421
2010,Wales,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.4680730702183159
2011,Wales,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.2658734774589142
2012,Wales,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
