Year,Series,Age,Country,Country of birth,Death classification,Deprivation quintile,Ethnicity,Observation status,Unit multiplier,Units,Unit measure,GeoCode,Value
2003-05,Maternal mortality rate,,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,13.95
2004-06,Maternal mortality rate,,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,12.56
2005-07,Maternal mortality rate,,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,11.66
2006-08,Maternal mortality rate,,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,11.39
2007-09,Maternal mortality rate,,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,10.89
2008-10,Maternal mortality rate,,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,11.03
2009-11,Maternal mortality rate,,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,10.63
2010-12,Maternal mortality rate,,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,10.12
2011-13,Maternal mortality rate,,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,9.02
2012-14,Maternal mortality rate,,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,8.54
2013-15,Maternal mortality rate,,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,8.76
2014-16,Maternal mortality rate,,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,9.78
2003-05,Maternal mortality rate,,,,Direct,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,6.76
2004-06,Maternal mortality rate,,,,Direct,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,5.73
2005-07,Maternal mortality rate,,,,Direct,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,5.4
2006-08,Maternal mortality rate,,,,Direct,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,5.24
2007-09,Maternal mortality rate,,,,Direct,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,4.8
2008-10,Maternal mortality rate,,,,Direct,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,4.18
2009-11,Maternal mortality rate,,,,Direct,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,3.78
2010-12,Maternal mortality rate,,,,Direct,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,3.71
2011-13,Maternal mortality rate,,,,Direct,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,3.5
2012-14,Maternal mortality rate,,,,Direct,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,3.46
2013-15,Maternal mortality rate,,,,Direct,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,3.82
