Year,Series,Sex,Unit measure,Unit multiplier,Observation status,Value
2015,Primary education,,Percentage (%),Units,Normal value,102.010498046875
2016,Primary education,,Percentage (%),Units,Normal value,100.882553100586
2017,Primary education,,Percentage (%),Units,Normal value,100.122863769531
2018,Primary education,,Percentage (%),Units,Normal value,100.597457885742
2019,Primary education,,Percentage (%),Units,Normal value,101.594688415527
2020,Primary education,,Percentage (%),Units,Normal value,99.4334030151367
2017,Lower secondary education,,Percentage (%),Units,Normal value,100.895210266113
2018,Lower secondary education,,Percentage (%),Units,Normal value,101.393989562988
2019,Lower secondary education,,Percentage (%),Units,Normal value,99.9539566040039
2020,Lower secondary education,,Percentage (%),Units,Normal value,99.1430816650391
2021/22,Upper secondary education,Boys,Percentage (%),Units,Normal value,66.2
2021/22,Upper secondary education,Girls,Percentage (%),Units,Normal value,71.5
2021/22,Upper secondary education,,Percentage (%),Units,Normal value,68.8
2020/21,Upper secondary education,Boys,Percentage (%),Units,Normal value,69.2
2020/21,Upper secondary education,Girls,Percentage (%),Units,Normal value,75.4
2020/21,Upper secondary education,,Percentage (%),Units,Normal value,72.2
2019/20,Upper secondary education,Boys,Percentage (%),Units,Normal value,67.6
2019/20,Upper secondary education,Girls,Percentage (%),Units,Normal value,75.0
2019/20,Upper secondary education,,Percentage (%),Units,Normal value,71.2
2018/19,Upper secondary education,Boys,Percentage (%),Units,Normal value,61.0
2018/19,Upper secondary education,Girls,Percentage (%),Units,Normal value,68.4
2018/19,Upper secondary education,,Percentage (%),Units,Normal value,64.6
2017/18,Upper secondary education,Boys,Percentage (%),Units,Normal value,60.5
2017/18,Upper secondary education,Girls,Percentage (%),Units,Normal value,68.1
2017/18,Upper secondary education,,Percentage (%),Units,Normal value,64.2
2016/17,Upper secondary education,Boys,Percentage (%),Units,Normal value,60.3
2016/17,Upper secondary education,Girls,Percentage (%),Units,Normal value,67.6
2016/17,Upper secondary education,,Percentage (%),Units,Normal value,63.9
2015/16,Upper secondary education,Boys,Percentage (%),Units,Normal value,59.0
2015/16,Upper secondary education,Girls,Percentage (%),Units,Normal value,67.0
2015/16,Upper secondary education,,Percentage (%),Units,Normal value,63.0
2014/15,Upper secondary education,Boys,Percentage (%),Units,Normal value,55.2
2014/15,Upper secondary education,Girls,Percentage (%),Units,Normal value,63.4
2014/15,Upper secondary education,,Percentage (%),Units,Normal value,59.2
2013/14,Upper secondary education,Boys,Percentage (%),Units,Normal value,54.5
2013/14,Upper secondary education,Girls,Percentage (%),Units,Normal value,63.4
2013/14,Upper secondary education,,Percentage (%),Units,Normal value,58.9
2012/13,Upper secondary education,Boys,Percentage (%),Units,Normal value,56.5
2012/13,Upper secondary education,Girls,Percentage (%),Units,Normal value,66.3
2012/13,Upper secondary education,,Percentage (%),Units,Normal value,61.3
2011/12,Upper secondary education,Boys,Percentage (%),Units,Normal value,54.7
2011/12,Upper secondary education,Girls,Percentage (%),Units,Normal value,64.0
2011/12,Upper secondary education,,Percentage (%),Units,Normal value,59.3
2010/11,Upper secondary education,Boys,Percentage (%),Units,Normal value,55.2
2010/11,Upper secondary education,Girls,Percentage (%),Units,Normal value,62.3
2010/11,Upper secondary education,,Percentage (%),Units,Normal value,58.7
