Year,Series,Units,Unit multiplier,Observation status,Value
1987,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.183732116
1988,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.178702852
1989,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.181747551
1990,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.192015502
1991,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.182807324
1992,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.172366639
1993,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.166582859
1994,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.172634287
1995,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.104288123
1996,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.100427898
1997,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.10581924
1998,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.0842805
1999,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.323806116
2000,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.306017952
2001,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.302418234
2002,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.294091501
2003,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.277366474
2004,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.246193485
2005,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.238675567
2006,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.225634629
2007,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.211945437
2008,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.205211033
2009,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.217335602
2010,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.19952634
2011,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.191700361
2012,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.18286555
2013,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.172621954
2014,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.161003135
2015,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.170602138
2016,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.170139713
2017,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.161837065
2018,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.153633249
2019,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.148890577
2020,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.122134185
