Year,Series,Units,Observation status,Unit multiplier,Value
2000,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,1.3253464512157933
2001,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,1.368923294331568
2002,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,1.3803790662164148
2003,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,1.473031224038038
2004,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,1.473066103813966
2005,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,1.4730661046045423
2006,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,1.5413616135662898
2007,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,1.5979992469195756
2008,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,1.9018223279084736
2009,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,2.115463798493388
2010,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,4.279807615395909
2011,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,5.688616970624443
2012,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,8.473450749353423
2013,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,9.498186733112725
2014,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,16.34022624272952
2015,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,16.35664490993077
2016,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,18.84938990535672
2017,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,23.467485931694203
2018,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,23.653015181324324
2019,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,24.65106347672882
2020,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,38.19800322758434
2021,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,38.20005071287396
2022,Coverage of protected areas in relation to marine area (%),Percentage (%),Normal value,Unit,38.20005071287396
2000,Protected marine area (square kilometres),Square km,Normal value,Unit,11735.015082999998
2001,Protected marine area (square kilometres),Square km,Normal value,Unit,12120.857525
2002,Protected marine area (square kilometres),Square km,Normal value,Unit,12222.290366
2003,Protected marine area (square kilometres),Square km,Normal value,Unit,13042.660367
2004,Protected marine area (square kilometres),Square km,Normal value,Unit,13042.969203
2005,Protected marine area (square kilometres),Square km,Normal value,Unit,13042.96921
2006,Protected marine area (square kilometres),Square km,Normal value,Unit,13647.678134999998
2007,Protected marine area (square kilometres),Square km,Normal value,Unit,14149.164732
2008,Protected marine area (square kilometres),Square km,Normal value,Unit,16839.305438
2009,Protected marine area (square kilometres),Square km,Normal value,Unit,18730.951111
2010,Protected marine area (square kilometres),Square km,Normal value,Unit,37894.700569
2011,Protected marine area (square kilometres),Square km,Normal value,Unit,50368.721243
2012,Protected marine area (square kilometres),Square km,Normal value,Unit,75026.47497000001
2013,Protected marine area (square kilometres),Square km,Normal value,Unit,84099.79479100001
2014,Protected marine area (square kilometres),Square km,Normal value,Unit,144681.265221
2015,Protected marine area (square kilometres),Square km,Normal value,Unit,144826.641026
2016,Protected marine area (square kilometres),Square km,Normal value,Unit,166898.15303899997
2017,Protected marine area (square kilometres),Square km,Normal value,Unit,207788.160685
2018,Protected marine area (square kilometres),Square km,Normal value,Unit,209430.89232
2019,Protected marine area (square kilometres),Square km,Normal value,Unit,218267.911342
2020,Protected marine area (square kilometres),Square km,Normal value,Unit,338216.579978
2021,Protected marine area (square kilometres),Square km,Normal value,Unit,338234.70902699995
2022,Protected marine area (square kilometres),Square km,Normal value,Unit,338234.70902699995
2000,Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Percentage (%),Normal value,Unit,72.85796
2001,Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Percentage (%),Normal value,Unit,74.00398
2002,Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Percentage (%),Normal value,Unit,74.02228
2003,Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Percentage (%),Normal value,Unit,74.25177
2004,Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Percentage (%),Normal value,Unit,74.82403
2005,Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Percentage (%),Normal value,Unit,78.14079
2006,Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Percentage (%),Normal value,Unit,78.4953
2007,Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Percentage (%),Normal value,Unit,78.50745
2008,Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Percentage (%),Normal value,Unit,78.51946
2009,Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Percentage (%),Normal value,Unit,78.53134
2010,Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Percentage (%),Normal value,Unit,78.87989
2011,Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Percentage (%),Normal value,Unit,80.2308
2012,Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Percentage (%),Normal value,Unit,80.23372
2013,Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Percentage (%),Normal value,Unit,80.23372
2014,Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Percentage (%),Normal value,Unit,80.4301
2015,Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Percentage (%),Normal value,Unit,80.43025
2016,Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Percentage (%),Normal value,Unit,80.43096
2017,Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Percentage (%),Normal value,Unit,80.78616
2018,Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Percentage (%),Normal value,Unit,81.21426
2019,Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Percentage (%),Normal value,Unit,81.23336
2020,Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Percentage (%),Normal value,Unit,81.23336
2021,Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Percentage (%),Normal value,Unit,81.23336
2022,Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Percentage (%),Normal value,Unit,81.23336
