Year,Series,Water area extent,Quality measure,Water type,Deviation level,Geography (HydroBASINs ID),Units,Observation status,Unit multiplier,Value
1984 to 1988,Open water area,,,Ephemeral,,2060048790 (Central South East England),% change from baseline,Normal value,Units,13.6100684477807
1985 to 1989,Open water area,,,Ephemeral,,2060048790 (Central South East England),% change from baseline,Normal value,Units,18.3307573415762
1986 to 1990,Open water area,,,Ephemeral,,2060048790 (Central South East England),% change from baseline,Normal value,Units,22.1285051887831
1998 to 2002,Open water area,,,Ephemeral,,2060048790 (Central South East England),% change from baseline,Normal value,Units,25.4846544491055
1999 to 2003,Open water area,,,Ephemeral,,2060048790 (Central South East England),% change from baseline,Normal value,Units,23.1441819386175
2009 to 2013,Open water area,,,Ephemeral,,2060048790 (Central South East England),% change from baseline,Normal value,Units,16.3214837712517
2010 to 2014,Open water area,,,Ephemeral,,2060048790 (Central South East England),% change from baseline,Normal value,Units,9.97571207772117
2011 to 2015,Open water area,,,Ephemeral,,2060048790 (Central South East England),% change from baseline,Normal value,Units,3.74917200264942
2012 to 2016,Open water area,,,Ephemeral,,2060048790 (Central South East England),% change from baseline,Normal value,Units,-2.42437624199617
2013 to 2017,Open water area,,,Ephemeral,,2060048790 (Central South East England),% change from baseline,Normal value,Units,-1.46610730845676
2014 to 2018,Open water area,,,Ephemeral,,2060048790 (Central South East England),% change from baseline,Normal value,Units,-9.45020975932889
2015 to 2019,Open water area,,,Ephemeral,,2060048790 (Central South East England),% change from baseline,Normal value,Units,-7.78538308677425
2016 to 2020,Open water area,,,Ephemeral,,2060048790 (Central South East England),% change from baseline,Normal value,Units,-13.8352837270921
1984 to 1988,Open water area,,,Ephemeral,,2060048980 (Central South West England),% change from baseline,Normal value,Units,41.7880085653102
1985 to 1989,Open water area,,,Ephemeral,,2060048980 (Central South West England),% change from baseline,Normal value,Units,41.124197002141
1986 to 1990,Open water area,,,Ephemeral,,2060048980 (Central South West England),% change from baseline,Normal value,Units,36.9271948608134
1998 to 2002,Open water area,,,Ephemeral,,2060048980 (Central South West England),% change from baseline,Normal value,Units,20.546038543897
1999 to 2003,Open water area,,,Ephemeral,,2060048980 (Central South West England),% change from baseline,Normal value,Units,14.5503211991432
2009 to 2013,Open water area,,,Ephemeral,,2060048980 (Central South West England),% change from baseline,Normal value,Units,-6.28479657387598
2010 to 2014,Open water area,,,Ephemeral,,2060048980 (Central South West England),% change from baseline,Normal value,Units,-14.3254817987153
2011 to 2015,Open water area,,,Ephemeral,,2060048980 (Central South West England),% change from baseline,Normal value,Units,-22.7301927194862
2012 to 2016,Open water area,,,Ephemeral,,2060048980 (Central South West England),% change from baseline,Normal value,Units,-32.2162740899359
2013 to 2017,Open water area,,,Ephemeral,,2060048980 (Central South West England),% change from baseline,Normal value,Units,-35.4710920770879
2014 to 2018,Open water area,,,Ephemeral,,2060048980 (Central South West England),% change from baseline,Normal value,Units,-39.2612419700215
2015 to 2019,Open water area,,,Ephemeral,,2060048980 (Central South West England),% change from baseline,Normal value,Units,-41.2312633832977
2016 to 2020,Open water area,,,Ephemeral,,2060048980 (Central South West England),% change from baseline,Normal value,Units,-45.117773019272
1984 to 1988,Open water area,,,Ephemeral,,2060048990 (South West England),% change from baseline,Normal value,Units,34.8263301678155
1985 to 1989,Open water area,,,Ephemeral,,2060048990 (South West England),% change from baseline,Normal value,Units,27.325354494601
1986 to 1990,Open water area,,,Ephemeral,,2060048990 (South West England),% change from baseline,Normal value,Units,23.7153636008843
1998 to 2002,Open water area,,,Ephemeral,,2060048990 (South West England),% change from baseline,Normal value,Units,8.30753219721588
1999 to 2003,Open water area,,,Ephemeral,,2060048990 (South West England),% change from baseline,Normal value,Units,8.63796019253263
2009 to 2013,Open water area,,,Ephemeral,,2060048990 (South West England),% change from baseline,Normal value,Units,-7.17445037075596
2010 to 2014,Open water area,,,Ephemeral,,2060048990 (South West England),% change from baseline,Normal value,Units,-10.6296344477691
