Year,Country,Age,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2000,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.18
2000,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,14.24
2000,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,29.15
2000,Northern Ireland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,0.17
2000,Northern Ireland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,12.59
2000,Northern Ireland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,25.39
2000,Scotland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,0.13
2000,Scotland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,14.63
2000,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,29.13
2000,United Kingdom,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,0.17
2000,United Kingdom,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,14.22
2000,United Kingdom,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,29.01
2001,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.18
2001,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,13.58
2001,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,27.81
2001,Northern Ireland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,0.06
2001,Northern Ireland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,11.87
2001,Northern Ireland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,23.87
2001,Scotland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,0.11
2001,Scotland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,14.17
2001,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,28.29
2001,United Kingdom,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,0.17
2001,United Kingdom,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,13.57
2001,United Kingdom,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,27.71
2002,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.16
2002,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,13.21
2002,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,26.94
2002,Northern Ireland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,0.08
2002,Northern Ireland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,11.65
2002,Northern Ireland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,23.02
2002,Scotland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,0.12
2002,Scotland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,13.33
2002,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,26.62
2002,United Kingdom,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,0.16
2002,United Kingdom,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,13.17
2002,United Kingdom,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,26.77
2003,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.13
2003,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,13.29
2003,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,26.75
2003,Northern Ireland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,0.08
2003,Northern Ireland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,11.6
2003,Northern Ireland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,22.72
2003,Scotland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,0.1
2003,Scotland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,13.2
2003,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,26.23
2003,United Kingdom,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,0.13
2003,United Kingdom,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,13.22
2003,United Kingdom,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,26.56
2004,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.12
2004,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,13.46
2004,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,26.78
2004,Northern Ireland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,0.06
2004,Northern Ireland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,11.68
2004,Northern Ireland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,22.75
2004,Scotland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,0.08
2004,Scotland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,13.23
2004,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,26.17
2004,United Kingdom,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,0.12
2004,United Kingdom,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,13.38
2004,United Kingdom,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,26.59
2005,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.13
2005,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,13.33
2005,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,26.26
2005,Northern Ireland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,0.1
2005,Northern Ireland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,11.07
2005,Northern Ireland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,21.45
2005,Scotland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,0.12
2005,Scotland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,13.29
2005,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,26.11
