Year,Series,Sex,Age,Country,Deprivation level,Household income,Region,Socio-economic classification,Urban or rural,Working status,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2008,Percentage of individuals who use a mobile telephone,Female,,,,,,,,,Percentage (%),Units,Normal value,,86.0
2008,Percentage of individuals who use a mobile telephone,Male,,,,,,,,,Percentage (%),Units,Normal value,,83.0
2008,Percentage of individuals who use a mobile telephone,,16 to 24,,,,,,,,Percentage (%),Units,Normal value,,95.0
2008,Percentage of individuals who use a mobile telephone,,25 to 34,,,,,,,,Percentage (%),Units,Normal value,,94.0
2008,Percentage of individuals who use a mobile telephone,,35 to 54,,,,,,,,Percentage (%),Units,Normal value,,91.0
2008,Percentage of individuals who use a mobile telephone,,55 to 64,,,,,,,,Percentage (%),Units,Normal value,,79.0
2008,Percentage of individuals who use a mobile telephone,,65 and over,,,,,,,,Percentage (%),Units,Normal value,,56.0
2008,Percentage of individuals who use a mobile telephone,,,England,,,,,,,Percentage (%),Units,Normal value,E92000001,85.0
2008,Percentage of individuals who use a mobile telephone,,,Northern Ireland,,,,,,,Percentage (%),Units,Normal value,N92000002,85.0
2008,Percentage of individuals who use a mobile telephone,,,Scotland,,,,,,,Percentage (%),Units,Normal value,S92000003,82.0
2008,Percentage of individuals who use a mobile telephone,,,Wales,,,,,,,Percentage (%),Units,Normal value,W92000004,81.0
2008,Percentage of individuals who use a mobile telephone,,,,,,,,Rural,,Percentage (%),Units,Normal value,,84.0
2008,Percentage of individuals who use a mobile telephone,,,,,,,,Urban,,Percentage (%),Units,Normal value,,84.0
2008,Percentage of individuals who use a mobile telephone,,,,,,,AB,,,Percentage (%),Units,Normal value,,89.0
2008,Percentage of individuals who use a mobile telephone,,,,,,,C1,,,Percentage (%),Units,Normal value,,86.0
2008,Percentage of individuals who use a mobile telephone,,,,,,,C2,,,Percentage (%),Units,Normal value,,87.0
2008,Percentage of individuals who use a mobile telephone,,,,,,,DE,,,Percentage (%),Units,Normal value,,76.0
2008,Percentage of individuals who use a mobile telephone,,,,,,,,,,Percentage (%),Units,Normal value,,84.0
2009,Percentage of individuals who use a mobile telephone,Female,,,,,,,,,Percentage (%),Units,Normal value,,89.0
2009,Percentage of individuals who use a mobile telephone,Male,,,,,,,,,Percentage (%),Units,Normal value,,89.0
2009,Percentage of individuals who use a mobile telephone,,16 to 24,,,,,,,,Percentage (%),Units,Normal value,,97.0
2009,Percentage of individuals who use a mobile telephone,,25 to 34,,,,,,,,Percentage (%),Units,Normal value,,98.0
2009,Percentage of individuals who use a mobile telephone,,35 to 54,,,,,,,,Percentage (%),Units,Normal value,,96.0
2009,Percentage of individuals who use a mobile telephone,,55 to 64,,,,,,,,Percentage (%),Units,Normal value,,84.0
2009,Percentage of individuals who use a mobile telephone,,65 and over,,,,,,,,Percentage (%),Units,Normal value,,64.0
2009,Percentage of individuals who use a mobile telephone,,,England,,,,,,,Percentage (%),Units,Normal value,E92000001,89.0
2009,Percentage of individuals who use a mobile telephone,,,Northern Ireland,,,,,,,Percentage (%),Units,Normal value,N92000002,93.0
2009,Percentage of individuals who use a mobile telephone,,,Scotland,,,,,,,Percentage (%),Units,Normal value,S92000003,85.0
2009,Percentage of individuals who use a mobile telephone,,,Wales,,,,,,,Percentage (%),Units,Normal value,W92000004,86.0
2009,Percentage of individuals who use a mobile telephone,,,,,,,,Rural,,Percentage (%),Units,Normal value,,89.0
2009,Percentage of individuals who use a mobile telephone,,,,,,,,Urban,,Percentage (%),Units,Normal value,,89.0
2009,Percentage of individuals who use a mobile telephone,,,,,,,AB,,,Percentage (%),Units,Normal value,,91.0
2009,Percentage of individuals who use a mobile telephone,,,,,,,DE,,,Percentage (%),Units,Normal value,,81.0
2009,Percentage of individuals who use a mobile telephone,,,,,,,C2,,,Percentage (%),Units,Normal value,,90.0
2009,Percentage of individuals who use a mobile telephone,,,,,,,C1,,,Percentage (%),Units,Normal value,,93.0
2009,Percentage of individuals who use a mobile telephone,,,,,,,,,,Percentage (%),Units,Normal value,,89.0
2010,Percentage of individuals who use a mobile telephone,Female,,,,,,,,,Percentage (%),Units,Normal value,,89.0
2010,Percentage of individuals who use a mobile telephone,Male,,,,,,,,,Percentage (%),Units,Normal value,,89.0
2010,Percentage of individuals who use a mobile telephone,,16 to 24,,,,,,,,Percentage (%),Units,Normal value,,97.0
2010,Percentage of individuals who use a mobile telephone,,25 to 34,,,,,,,,Percentage (%),Units,Normal value,,98.0
2010,Percentage of individuals who use a mobile telephone,,35 to 54,,,,,,,,Percentage (%),Units,Normal value,,96.0
2010,Percentage of individuals who use a mobile telephone,,55 to 64,,,,,,,,Percentage (%),Units,Normal value,,88.0
2010,Percentage of individuals who use a mobile telephone,,65 and over,,,,,,,,Percentage (%),Units,Normal value,,63.0
2010,Percentage of individuals who use a mobile telephone,,,England,,,,,,,Percentage (%),Units,Normal value,E92000001,90.0
2010,Percentage of individuals who use a mobile telephone,,,Northern Ireland,,,,,,,Percentage (%),Units,Normal value,N92000002,88.0
2010,Percentage of individuals who use a mobile telephone,,,Scotland,,,,,,,Percentage (%),Units,Normal value,S92000003,85.0
2010,Percentage of individuals who use a mobile telephone,,,Wales,,,,,,,Percentage (%),Units,Normal value,W92000004,89.0
2010,Percentage of individuals who use a mobile telephone,,,,,,,,Rural,,Percentage (%),Units,Normal value,,90.0
2010,Percentage of individuals who use a mobile telephone,,,,,,,,Urban,,Percentage (%),Units,Normal value,,89.0
2010,Percentage of individuals who use a mobile telephone,,,,,,,AB,,,Percentage (%),Units,Normal value,,94.0
2010,Percentage of individuals who use a mobile telephone,,,,,,,DE,,,Percentage (%),Units,Normal value,,83.0
2010,Percentage of individuals who use a mobile telephone,,,,,,,C2,,,Percentage (%),Units,Normal value,,88.0
2010,Percentage of individuals who use a mobile telephone,,,,,,,C1,,,Percentage (%),Units,Normal value,,92.0
2010,Percentage of individuals who use a mobile telephone,,,,,,,,,,Percentage (%),Units,Normal value,,89.0
2011,Percentage of mobile phone owners who use a smartphone,Female,,,,,,,,,Percentage (%),Units,Normal value,,26.0
2011,Percentage of mobile phone owners who use a smartphone,Male,,,,,,,,,Percentage (%),Units,Normal value,,29.0
2011,Percentage of mobile phone owners who use a smartphone,,16 to 24,,,,,,,,Percentage (%),Units,Normal value,,47.0
2011,Percentage of mobile phone owners who use a smartphone,,25 to 34,,,,,,,,Percentage (%),Units,Normal value,,43.0
2011,Percentage of mobile phone owners who use a smartphone,,35 to 54,,,,,,,,Percentage (%),Units,Normal value,,29.0
2011,Percentage of mobile phone owners who use a smartphone,,55 to 64,,,,,,,,Percentage (%),Units,Normal value,,16.0
2011,Percentage of mobile phone owners who use a smartphone,,65 and over,,,,,,,,Percentage (%),Units,Normal value,,3.0
2011,Percentage of mobile phone owners who use a smartphone,,,England,,,,,,,Percentage (%),Units,Normal value,E92000001,29.0
2011,Percentage of mobile phone owners who use a smartphone,,,Northern Ireland,,,,,,,Percentage (%),Units,Normal value,N92000002,21.0
2011,Percentage of mobile phone owners who use a smartphone,,,Scotland,,,,,,,Percentage (%),Units,Normal value,S92000003,18.0
2011,Percentage of mobile phone owners who use a smartphone,,,Wales,,,,,,,Percentage (%),Units,Normal value,W92000004,25.0
2011,Percentage of mobile phone owners who use a smartphone,,,,,,,,Rural,,Percentage (%),Units,Normal value,,27.0
