Year,Abuse type,Age,Place of occurrence,Ethnicity,Ethnic group,Disability status,Migratory status,Region,Household income,Highest qualification,Relationship to perpetrator,Frequency of sexual assault,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2004/05,,,,,,,,,,,,,Undefined,Units,Percentage (%),,4.19096231225
2005/06,,,,,,,,,,,,,Undefined,Units,Percentage (%),,5.01776424034617
2006/07,,,,,,,,,,,,,Undefined,Units,Percentage (%),,4.79379517868384
2007/08,,,,,,,,,,,,,Undefined,Units,Percentage (%),,4.45549788356678
2008/09,,,,,,,,,,,,,Undefined,Units,Percentage (%),,3.73153780547564
2009/10,,,,,,,,,,,,,Undefined,Units,Percentage (%),,3.35459817399144
2010/11,,,,,,,,,,,,,Undefined,Units,Percentage (%),,3.81998096821363
2011/12,,,,,,,,,,,,,Undefined,Units,Percentage (%),,4.18977866652331
2012/13,,,,,,,,,,,,,Undefined,Units,Percentage (%),,3.01801724297058
2013/14,,,,,,,,,,,,,Undefined,Units,Percentage (%),,2.22999072351882
2014/15,,,,,,,,,,,,,Undefined,Units,Percentage (%),,2.70676542756478
2015/16,,,,,,,,,,,,,Undefined,Units,Percentage (%),,3.22986503083923
2016/17,,,,,,,,,,,,,Undefined,Units,Percentage (%),,3.07941902878173
2004/05,Rape or assault by penetration (including attempts),,,,,,,,,,,,Undefined,Units,Percentage (%),,0.997931323073977
2005/06,Rape or assault by penetration (including attempts),,,,,,,,,,,,Undefined,Units,Percentage (%),,1.34774142853638
2006/07,Rape or assault by penetration (including attempts),,,,,,,,,,,,Undefined,Units,Percentage (%),,1.15178529299341
2007/08,Rape or assault by penetration (including attempts),,,,,,,,,,,,Undefined,Units,Percentage (%),,1.23312548421779
2008/09,Rape or assault by penetration (including attempts),,,,,,,,,,,,Undefined,Units,Percentage (%),,1.00774779890549
2009/10,Rape or assault by penetration (including attempts),,,,,,,,,,,,Undefined,Units,Percentage (%),,0.849241952093281
2010/11,Rape or assault by penetration (including attempts),,,,,,,,,,,,Undefined,Units,Percentage (%),,1.21962590084547
2011/12,Rape or assault by penetration (including attempts),,,,,,,,,,,,Undefined,Units,Percentage (%),,1.27252449526066
2012/13,Rape or assault by penetration (including attempts),,,,,,,,,,,,Undefined,Units,Percentage (%),,0.99524676159148
2013/14,Rape or assault by penetration (including attempts),,,,,,,,,,,,Undefined,Units,Percentage (%),,0.70527370390665
2014/15,Rape or assault by penetration (including attempts),,,,,,,,,,,,Undefined,Units,Percentage (%),,0.677535170256067
2015/16,Rape or assault by penetration (including attempts),,,,,,,,,,,,Undefined,Units,Percentage (%),,0.71594219171375
2016/17,Rape or assault by penetration (including attempts),,,,,,,,,,,,Undefined,Units,Percentage (%),,0.868450676632067
2004/05,Indecent exposure or unwanted touching,,,,,,,,,,,,Undefined,Units,Percentage (%),,3.43196453786235
2005/06,Indecent exposure or unwanted touching,,,,,,,,,,,,Undefined,Units,Percentage (%),,3.88884977847294
2006/07,Indecent exposure or unwanted touching,,,,,,,,,,,,Undefined,Units,Percentage (%),,3.96781856193896
2007/08,Indecent exposure or unwanted touching,,,,,,,,,,,,Undefined,Units,Percentage (%),,3.54280761086858
2008/09,Indecent exposure or unwanted touching,,,,,,,,,,,,Undefined,Units,Percentage (%),,2.97965005603573
2009/10,Indecent exposure or unwanted touching,,,,,,,,,,,,Undefined,Units,Percentage (%),,2.75051765631592
2010/11,Indecent exposure or unwanted touching,,,,,,,,,,,,Undefined,Units,Percentage (%),,2.9241257833519
2011/12,Indecent exposure or unwanted touching,,,,,,,,,,,,Undefined,Units,Percentage (%),,3.3450652048261
2012/13,Indecent exposure or unwanted touching,,,,,,,,,,,,Undefined,Units,Percentage (%),,2.34533556701106
2013/14,Indecent exposure or unwanted touching,,,,,,,,,,,,Undefined,Units,Percentage (%),,1.81329734758378
2014/15,Indecent exposure or unwanted touching,,,,,,,,,,,,Undefined,Units,Percentage (%),,2.37010363034848
2015/16,Indecent exposure or unwanted touching,,,,,,,,,,,,Undefined,Units,Percentage (%),,2.82457269025702
2016/17,Indecent exposure or unwanted touching,,,,,,,,,,,,Undefined,Units,Percentage (%),,2.67349397329834
2016/17,,16 to 19,,,,,,,,,,,Undefined,Units,Percentage (%),,8.76312551463021
2016/17,,20 to 24,,,,,,,,,,,Undefined,Units,Percentage (%),,7.20293266111977
2016/17,,25 to 34,,,,,,,,,,,Undefined,Units,Percentage (%),,3.24310324914843
2016/17,,35 to 44,,,,,,,,,,,Undefined,Units,Percentage (%),,1.73740430128504
2016/17,,45 to 54,,,,,,,,,,,Undefined,Units,Percentage (%),,1.32670004683913
2016/17,,55 to 59,,,,,,,,,,,Undefined,Units,Percentage (%),,1.18082620387304
2016/17,,,In own home,,,,,,,,,,Undefined,Units,Percentage (%),,38.7864039463896
2016/17,,,At the offender's home,,,,,,,,,,Undefined,Units,Percentage (%),,23.4470484590445
2016/17,,,In a park/other open public place,,,,,,,,,,Undefined,Units,Percentage (%),,5.55589406899073
2016/17,,,In a pub/club/disco,,,,,,,,,,Undefined,Units,Percentage (%),,3.89637426722419
2016/17,,,On the street,,,,,,,,,,Undefined,Units,Percentage (%),,3.42427496769312
2016/17,,,At school/university/place of study,,,,,,,,,,Undefined,Units,Percentage (%),,2.9921625676921
2016/17,,,In a car park,,,,,,,,,,Undefined,Units,Percentage (%),,1.28110409542016
2016/17,,,At work,,,,,,,,,,Undefined,Units,Percentage (%),,0.817129118333295
2016/17,,,On public transport,,,,,,,,,,Undefined,Units,Percentage (%),,0.20310806110506
2016/17,,,Somewhere else,,,,,,,,,,Undefined,Units,Percentage (%),,19.5965004481071
2016/17,,,,White,,,,,,,,,Undefined,Units,Percentage (%),,3.09793565278408
2016/17,,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,,,,Undefined,Units,Percentage (%),,3.0604976418115
2016/17,,,,White,Irish,,,,,,,,Undefined,Units,Percentage (%),,0.0
2016/17,,,,White,Any other White background,,,,,,,,Undefined,Units,Percentage (%),,3.70442742420943
2016/17,,,,Mixed/Multiple ethnic groups,,,,,,,,,Undefined,Units,Percentage (%),,8.62659119414787
2016/17,,,,Mixed/Multiple ethnic groups,White and Black Caribbean,,,,,,,,Undefined,Units,Percentage (%),,1.51918784273351
2016/17,,,,Asian/Asian British,,,,,,,,,Undefined,Units,Percentage (%),,1.47119861319926
2016/17,,,,Asian/Asian British,Indian,,,,,,,,Undefined,Units,Percentage (%),,1.38629727985519
2016/17,,,,Asian/Asian British,Pakistani,,,,,,,,Undefined,Units,Percentage (%),,2.66233454227889
2016/17,,,,Asian/Asian British,Bangladeshi,,,,,,,,Undefined,Units,Percentage (%),,0.0
2016/17,,,,Asian/Asian British,Chinese,,,,,,,,Undefined,Units,Percentage (%),,1.58401205211683
2016/17,,,,Asian/Asian British,Any other Asian background,,,,,,,,Undefined,Units,Percentage (%),,0.731222505009326
2016/17,,,,Black/African/Caribbean/Black British,,,,,,,,,Undefined,Units,Percentage (%),,3.77739492578194
2016/17,,,,Black/African/Caribbean/Black British,African,,,,,,,,Undefined,Units,Percentage (%),,2.92999873687238
2016/17,,,,Black/African/Caribbean/Black British,Caribbean,,,,,,,,Undefined,Units,Percentage (%),,7.49803377912905
2016/17,,,,Other ethnic group,,,,,,,,,Undefined,Units,Percentage (%),,3.31876277249554
2016/17,,,,Other ethnic group,Any other ethnic group,,,,,,,,Undefined,Units,Percentage (%),,2.48271334537793
2016/17,,,,,,,,North East,,,,,Undefined,Units,Percentage (%),E12000001,5.47455749941562
2016/17,,,,,,,,North West,,,,,Undefined,Units,Percentage (%),E12000002,2.20292970501806
2016/17,,,,,,,,Yorkshire and the Humber,,,,,Undefined,Units,Percentage (%),E12000003,2.12773454390767
2016/17,,,,,,,,East Midlands,,,,,Undefined,Units,Percentage (%),E12000004,2.81482627125337
2016/17,,,,,,,,West Midlands,,,,,Undefined,Units,Percentage (%),E12000005,2.76547118892744
2016/17,,,,,,,,East of England,,,,,Undefined,Units,Percentage (%),E12000006,2.51840804153813
2016/17,,,,,,,,London,,,,,Undefined,Units,Percentage (%),E12000007,3.42315151321961
2016/17,,,,,,,,South East,,,,,Undefined,Units,Percentage (%),E12000008,3.32452519468005
2016/17,,,,,,,,South West,,,,,Undefined,Units,Percentage (%),E12000009,3.91218093297578
2016/17,,,,,,,,Wales,,,,,Undefined,Units,Percentage (%),W92000004,3.38667768311056
2016/17,,,,,,,,,"Less than £10,000",,,,Undefined,Units,Percentage (%),,2.78083741331228
2016/17,,,,,,,,,"£10,000 to less than £20,000",,,,Undefined,Units,Percentage (%),,2.65298389992482
2016/17,,,,,,,,,"£20,000 to less than £30,000",,,,Undefined,Units,Percentage (%),,3.27689967851639
2016/17,,,,,,,,,"£30,000 to less than £40,000",,,,Undefined,Units,Percentage (%),,2.3270991563346
2016/17,,,,,,,,,"£40,000 to less than £50,000",,,,Undefined,Units,Percentage (%),,2.55963681765362
2016/17,,,,,,,,,"£50,000 or more",,,,Undefined,Units,Percentage (%),,2.85846875153692
2016/17,,,,,,,,,No income stated or not enough information provided,,,,Undefined,Units,Percentage (%),,4.56479123863908
2016/17,,,,,,,,,,Degree or diploma,,,Undefined,Units,Percentage (%),,3.05646935431306
2016/17,,,,,,,,,,Apprenticeship or A/AS level,,,Undefined,Units,Percentage (%),,5.36424473479569
2016/17,,,,,,,,,,O level/GCSE,,,Undefined,Units,Percentage (%),,1.99421068819884
2016/17,,,,,,,,,,Other qualification,,,Undefined,Units,Percentage (%),,2.42907868578994
2016/17,,,,,,,,,,No qualification,,,Undefined,Units,Percentage (%),,1.5068704429008
2016/17,,,,,,,,,,,Partner/ex-partner,,Undefined,Units,Percentage (%),,45.1838083791801
2016/17,,,,,,,,,,,Other known,,Undefined,Units,Percentage (%),,38.0759596551431
2016/17,,,,,,,,,,,Stranger,,Undefined,Units,Percentage (%),,13.3322169748493
2016/17,,,,,,,,,,,Family member,,Undefined,Units,Percentage (%),,4.75211208664416
2016/17,,,,,,,,,,,,Once,Undefined,Units,Percentage (%),,51.4994539545532
2016/17,,,,,,,,,,,,Twice,Undefined,Units,Percentage (%),,21.5893211931421
2016/17,,,,,,,,,,,,Three times,Undefined,Units,Percentage (%),,6.09044617833975
2016/17,,,,,,,,,,,,More than three times,Undefined,Units,Percentage (%),,20.8207786739648
2017/18,,,,,,,,,,,,,Undefined,Units,Percentage (%),,4.222980180484632
2017/18,Rape or assault by penetration (including attempts),,,,,,,,,,,,Undefined,Units,Percentage (%),,0.8990640952356715
2017/18,Indecent exposure or unwanted touching,,,,,,,,,,,,Undefined,Units,Percentage (%),,3.836737919901081
2017/18,,16 to 19,,,,,,,,,,,Undefined,Units,Percentage (%),,15.836387978548029
2017/18,,20 to 24,,,,,,,,,,,Undefined,Units,Percentage (%),,11.069502984090231
2017/18,,25 to 34,,,,,,,,,,,Undefined,Units,Percentage (%),,3.120221500191182
2017/18,,35 to 44,,,,,,,,,,,Undefined,Units,Percentage (%),,1.7208738681523397
2017/18,,45 to 54,,,,,,,,,,,Undefined,Units,Percentage (%),,2.061959230541346
2017/18,,55 to 59,,,,,,,,,,,Undefined,Units,Percentage (%),,2.644671706381268
2017/18,,,,White,,,,,,,,,Undefined,Units,Percentage (%),,4.012167298867681
2017/18,,,,Mixed/Multiple ethnic groups,,,,,,,,,Undefined,Units,Percentage (%),,6.689759389901372
2017/18,,,,Asian/Asian British,,,,,,,,,Undefined,Units,Percentage (%),,3.555798257816885
2017/18,,,,Black/African/Caribbean/Black British,,,,,,,,,Undefined,Units,Percentage (%),,9.036766606552378
2017/18,,,,Other ethnic group,,,,,,,,,Undefined,Units,Percentage (%),,0.9567551625352866
2017/18,,,,,,Disabled (GSS harmonised),,,,,,,Undefined,Units,Percentage (%),,7.531295764633005
2017/18,,,,,,Non-disabled (GSS harmonised),,,,,,,Undefined,Units,Percentage (%),,3.738088678588381
2017/18,,,,,,,Born in the UK,,,,,,Undefined,Units,Percentage (%),,4.378363290817413
2017/18,,,,,,,Not born in the UK,,,,,,Undefined,Units,Percentage (%),,3.52011698142036
2017/18,,,,,,,,North East,,,,,Undefined,Units,Percentage (%),E12000001,7.495258286417171
2017/18,,,,,,,,North West,,,,,Undefined,Units,Percentage (%),E12000002,5.718692360376775
2017/18,,,,,,,,Yorkshire and the Humber,,,,,Undefined,Units,Percentage (%),E12000003,4.071179023290663
2017/18,,,,,,,,East Midlands,,,,,Undefined,Units,Percentage (%),E12000004,3.9338829224098
2017/18,,,,,,,,West Midlands,,,,,Undefined,Units,Percentage (%),E12000005,2.943998583458157
2017/18,,,,,,,,East of England,,,,,Undefined,Units,Percentage (%),E12000006,3.727421108158493
2017/18,,,,,,,,London,,,,,Undefined,Units,Percentage (%),E12000007,3.9330873694768775
2017/18,,,,,,,,South East,,,,,Undefined,Units,Percentage (%),E12000008,1.3671578719305546
2017/18,,,,,,,,South West,,,,,Undefined,Units,Percentage (%),E12000009,4.574406093277776
2017/18,,,,,,,,Wales,,,,,Undefined,Units,Percentage (%),W92000004,4.974769114251799
2017/18,,,,,,,,,"Less than £10,000",,,,Undefined,Units,Percentage (%),,3.5697801935801534
2017/18,,,,,,,,,"£10,000 to less than £20,000",,,,Undefined,Units,Percentage (%),,4.543083061354078
2017/18,,,,,,,,,"£20,000 to less than £30,000",,,,Undefined,Units,Percentage (%),,2.902843435225998
2017/18,,,,,,,,,"£30,000 to less than £40,000",,,,Undefined,Units,Percentage (%),,5.183273295070892
2017/18,,,,,,,,,"£40,000 to less than £50,000",,,,Undefined,Units,Percentage (%),,4.05977839969003
2017/18,,,,,,,,,"£50,000 or more",,,,Undefined,Units,Percentage (%),,3.8516814472479326
2017/18,,,,,,,,,No income stated or not enough information provided,,,,Undefined,Units,Percentage (%),,5.948426610865006
