Year,Poverty reduction aid type,Observation status,Unit measure,Value
2009,Basic education,Undefined,Percentage (%),0.014760967
2010,Basic education,Undefined,Percentage (%),0.011753023
2011,Basic education,Undefined,Percentage (%),0.017068193
2012,Basic education,Undefined,Percentage (%),0.015501461
2013,Basic education,Undefined,Percentage (%),0.013958253
2014,Basic education,Undefined,Percentage (%),0.01181482
2015,Basic education,Undefined,Percentage (%),0.012276399
2016,Basic education,Undefined,Percentage (%),0.02350397
2017,Basic education,Undefined,Percentage (%),0.018304345
2018,Basic education,Undefined,Percentage (%),0.011681453
2019,Basic education,Undefined,Percentage (%),0.010098039
2009,Basic health,Undefined,Percentage (%),0.017757753
2010,Basic health,Undefined,Percentage (%),0.01824143
2011,Basic health,Undefined,Percentage (%),0.027562674
2012,Basic health,Undefined,Percentage (%),0.030349437
2013,Basic health,Undefined,Percentage (%),0.045591803
2014,Basic health,Undefined,Percentage (%),0.035046136
2015,Basic health,Undefined,Percentage (%),0.026564614
2016,Basic health,Undefined,Percentage (%),0.025673545
2017,Basic health,Undefined,Percentage (%),0.025875547
2018,Basic health,Undefined,Percentage (%),0.020832354
2019,Basic health,Undefined,Percentage (%),0.022628508
2015,Basic social services,Undefined,Percentage (%),2.95e-07
2016,Basic social services,Undefined,Percentage (%),2.62e-07
2019,Basic social services,Undefined,Percentage (%),0.000693633
2009,Development food aid,Undefined,Percentage (%),0.000648143
2010,Development food aid,Undefined,Percentage (%),0.007249225
2011,Development food aid,Undefined,Percentage (%),0.006186916
2012,Development food aid,Undefined,Percentage (%),0.004201786
2013,Development food aid,Undefined,Percentage (%),0.005782988
2014,Development food aid,Undefined,Percentage (%),0.001419746
2015,Development food aid,Undefined,Percentage (%),0.001378206
2016,Development food aid,Undefined,Percentage (%),0.001852286
2017,Development food aid,Undefined,Percentage (%),0.002415377
2018,Development food aid,Undefined,Percentage (%),0.001700041
2019,Development food aid,Undefined,Percentage (%),0.003290955
2009,Water supply and sanitation,Undefined,Percentage (%),0.005142358
2010,Water supply and sanitation,Undefined,Percentage (%),0.006260006
2011,Water supply and sanitation,Undefined,Percentage (%),0.007148302
2012,Water supply and sanitation,Undefined,Percentage (%),0.006837252
2013,Water supply and sanitation,Undefined,Percentage (%),0.007911776
2014,Water supply and sanitation,Undefined,Percentage (%),0.010796531
2015,Water supply and sanitation,Undefined,Percentage (%),0.010599914
2016,Water supply and sanitation,Undefined,Percentage (%),0.008898127
2017,Water supply and sanitation,Undefined,Percentage (%),0.008798225
2018,Water supply and sanitation,Undefined,Percentage (%),0.009877376
2019,Water supply and sanitation,Undefined,Percentage (%),0.008141867
2009,,Undefined,Percentage (%),0.038309222
2010,,Undefined,Percentage (%),0.043503683
2011,,Undefined,Percentage (%),0.057966085
2012,,Undefined,Percentage (%),0.056889935
2013,,Undefined,Percentage (%),0.073244819
2014,,Undefined,Percentage (%),0.059077233
2015,,Undefined,Percentage (%),0.050819428
2016,,Undefined,Percentage (%),0.059928189
2017,,Undefined,Percentage (%),0.055393495
2018,,Undefined,Percentage (%),0.044091224
2019,,Undefined,Percentage (%),0.044853003
