Year,Series,Age,Sex,Bank account category,Units,Unit multiplier,Observation status,Value
2013,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,16 to 24,Male,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Normal value,86.0
2013,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,25 to 34,Male,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Normal value,92.0
2013,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,35 to 44,Male,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Normal value,93.0
2013,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,45 to 54,Male,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Normal value,94.0
2013,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,55 to 59,Male,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Normal value,93.0
2013,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,60 to 64,Male,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Normal value,91.0
2013,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,65 to 74,Male,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Normal value,94.0
2013,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,75 to 84,Male,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Normal value,95.0
2013,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,85 and over,Male,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Normal value,90.0
2013,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,,Male,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Normal value,92.0
2013,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,16 to 24,Female,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Normal value,90.0
2013,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,25 to 34,Female,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Normal value,92.0
2013,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,35 to 44,Female,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Normal value,94.0
2013,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,45 to 54,Female,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Normal value,94.0
2013,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,55 to 59,Female,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Normal value,93.0
2013,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,60 to 64,Female,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Normal value,94.0
2013,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,65 to 74,Female,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Normal value,92.0
2013,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,75 to 84,Female,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Normal value,92.0
2013,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,85 and over,Female,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Normal value,89.0
2013,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,,Female,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Normal value,93.0
2013,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,16 to 24,,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Normal value,88.0
2013,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,25 to 34,,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Normal value,92.0
2013,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,35 to 44,,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Normal value,94.0
2013,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,45 to 54,,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Normal value,94.0
2013,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,55 to 59,,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Normal value,93.0
2013,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,60 to 64,,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Normal value,92.0
2013,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,65 to 74,,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Normal value,93.0
