Year,Series,Source of revenue,Units,Unit multiplier,Observation status,Value
1999,Total government revenue as a percentage of GDP,,Percentage (%),Units,Normal value,34.7476128923
2000,Total government revenue as a percentage of GDP,,Percentage (%),Units,Normal value,35.62697326398394
2001,Total government revenue as a percentage of GDP,,Percentage (%),Units,Normal value,35.41284726034918
2002,Total government revenue as a percentage of GDP,,Percentage (%),Units,Normal value,34.442366614996914
2003,Total government revenue as a percentage of GDP,,Percentage (%),Units,Normal value,34.23388855808207
2004,Total government revenue as a percentage of GDP,,Percentage (%),Units,Normal value,35.46061015940534
2005,Total government revenue as a percentage of GDP,,Percentage (%),Units,Normal value,36.57588665922968
2006,Total government revenue as a percentage of GDP,,Percentage (%),Units,Normal value,36.46869320380032
2007,Total government revenue as a percentage of GDP,,Percentage (%),Units,Normal value,36.746103868804106
2008,Total government revenue as a percentage of GDP,,Percentage (%),Units,Normal value,37.600856751479775
2009,Total government revenue as a percentage of GDP,,Percentage (%),Units,Normal value,35.39950907741814
2010,Total government revenue as a percentage of GDP,,Percentage (%),Units,Normal value,42.26628817572806
2011,Total government revenue as a percentage of GDP,,Percentage (%),Units,Normal value,36.55852123403976
2012,Total government revenue as a percentage of GDP,,Percentage (%),Units,Normal value,35.73324687311963
2013,Total government revenue as a percentage of GDP,,Percentage (%),Units,Normal value,36.6720663964555
2014,Total government revenue as a percentage of GDP,,Percentage (%),Units,Normal value,35.81691543997664
2015,Total government revenue as a percentage of GDP,,Percentage (%),Units,Normal value,35.95526455206989
2016,Total government revenue as a percentage of GDP,,Percentage (%),Units,Normal value,36.48476572056518
2017,Total government revenue as a percentage of GDP,,Percentage (%),Units,Normal value,37.10121585087084
2018,Total government revenue as a percentage of GDP,,Percentage (%),Units,Normal value,37.1156489519057
2019,Total government revenue as a percentage of GDP,,Percentage (%),Units,Normal value,36.86345893451445
2020,Total government revenue as a percentage of GDP,,Percentage (%),Units,Normal value,37.02478978844614
1999,Total government revenue as a percentage of GDP,Grants,Percentage (%),Units,Normal value,0.0004808839030845
2000,Total government revenue as a percentage of GDP,Grants,Percentage (%),Units,Normal value,0.0
2001,Total government revenue as a percentage of GDP,Grants,Percentage (%),Units,Normal value,0.0007027561216646
2002,Total government revenue as a percentage of GDP,Grants,Percentage (%),Units,Normal value,0.0010945792226971
2003,Total government revenue as a percentage of GDP,Grants,Percentage (%),Units,Normal value,0.0007960591885927
2004,Total government revenue as a percentage of GDP,Grants,Percentage (%),Units,Normal value,0.0009108442843382
2005,Total government revenue as a percentage of GDP,Grants,Percentage (%),Units,Normal value,0.0009332121593237
2006,Total government revenue as a percentage of GDP,Grants,Percentage (%),Units,Normal value,0.0016318548954626
2007,Total government revenue as a percentage of GDP,Grants,Percentage (%),Units,Normal value,0.0049803212630612
2008,Total government revenue as a percentage of GDP,Grants,Percentage (%),Units,Normal value,0.0024539738330882
2009,Total government revenue as a percentage of GDP,Grants,Percentage (%),Units,Normal value,0.0024539671284645
2010,Total government revenue as a percentage of GDP,Grants,Percentage (%),Units,Normal value,0.0023660872451085
2011,Total government revenue as a percentage of GDP,Grants,Percentage (%),Units,Normal value,0.0027106131346674
2012,Total government revenue as a percentage of GDP,Grants,Percentage (%),Units,Normal value,0.0070687066603574
2013,Total government revenue as a percentage of GDP,Grants,Percentage (%),Units,Normal value,0.0058977631188719
2014,Total government revenue as a percentage of GDP,Grants,Percentage (%),Units,Normal value,0.0066022260773974
2015,Total government revenue as a percentage of GDP,Grants,Percentage (%),Units,Normal value,0.0057823311754645
2016,Total government revenue as a percentage of GDP,Grants,Percentage (%),Units,Normal value,0.0148893674876373
2017,Total government revenue as a percentage of GDP,Grants,Percentage (%),Units,Normal value,0.0183201797021109
2018,Total government revenue as a percentage of GDP,Grants,Percentage (%),Units,Normal value,0.0068634115731126
2019,Total government revenue as a percentage of GDP,Grants,Percentage (%),Units,Normal value,0.0051853491791592
2020,Total government revenue as a percentage of GDP,Grants,Percentage (%),Units,Normal value,0.0035037231793541
1999,Total government revenue as a percentage of GDP,Social contributions,Percentage (%),Units,Normal value,5.850818272049488
2000,Total government revenue as a percentage of GDP,Social contributions,Percentage (%),Units,Normal value,5.886485993247559
2001,Total government revenue as a percentage of GDP,Social contributions,Percentage (%),Units,Normal value,5.921862303722411
2002,Total government revenue as a percentage of GDP,Social contributions,Percentage (%),Units,Normal value,5.697453250942391
2003,Total government revenue as a percentage of GDP,Social contributions,Percentage (%),Units,Normal value,5.860269322744685
2004,Total government revenue as a percentage of GDP,Social contributions,Percentage (%),Units,Normal value,6.116622984092864
2005,Total government revenue as a percentage of GDP,Social contributions,Percentage (%),Units,Normal value,6.171188438506343
2006,Total government revenue as a percentage of GDP,Social contributions,Percentage (%),Units,Normal value,6.183370174724064
2007,Total government revenue as a percentage of GDP,Social contributions,Percentage (%),Units,Normal value,6.120750152805312
2008,Total government revenue as a percentage of GDP,Social contributions,Percentage (%),Units,Normal value,6.302182337806488
2009,Total government revenue as a percentage of GDP,Social contributions,Percentage (%),Units,Normal value,6.244442248789645
2010,Total government revenue as a percentage of GDP,Social contributions,Percentage (%),Units,Normal value,6.163719538961674
2011,Total government revenue as a percentage of GDP,Social contributions,Percentage (%),Units,Normal value,6.19772657864603
2012,Total government revenue as a percentage of GDP,Social contributions,Percentage (%),Units,Normal value,6.178809068975388
2013,Total government revenue as a percentage of GDP,Social contributions,Percentage (%),Units,Normal value,6.047847147954094
2014,Total government revenue as a percentage of GDP,Social contributions,Percentage (%),Units,Normal value,5.941627733214243
2015,Total government revenue as a percentage of GDP,Social contributions,Percentage (%),Units,Normal value,6.029721182241888
2016,Total government revenue as a percentage of GDP,Social contributions,Percentage (%),Units,Normal value,6.198739467151148
2017,Total government revenue as a percentage of GDP,Social contributions,Percentage (%),Units,Normal value,6.378612857865859
2018,Total government revenue as a percentage of GDP,Social contributions,Percentage (%),Units,Normal value,6.392077288550896
2019,Total government revenue as a percentage of GDP,Social contributions,Percentage (%),Units,Normal value,6.551711232864112
2020,Total government revenue as a percentage of GDP,Social contributions,Percentage (%),Units,Normal value,6.921699836035225
1999,Total government revenue as a percentage of GDP,Taxes,Percentage (%),Units,Normal value,26.6885757372912
2000,Total government revenue as a percentage of GDP,Taxes,Percentage (%),Units,Normal value,27.377315448489824
2001,Total government revenue as a percentage of GDP,Taxes,Percentage (%),Units,Normal value,26.960096628966728
2002,Total government revenue as a percentage of GDP,Taxes,Percentage (%),Units,Normal value,26.304927879858987
2003,Total government revenue as a percentage of GDP,Taxes,Percentage (%),Units,Normal value,25.985998910991032
2004,Total government revenue as a percentage of GDP,Taxes,Percentage (%),Units,Normal value,26.67164594875438
2005,Total government revenue as a percentage of GDP,Taxes,Percentage (%),Units,Normal value,27.019507005551898
2006,Total government revenue as a percentage of GDP,Taxes,Percentage (%),Units,Normal value,27.20750870832565
2007,Total government revenue as a percentage of GDP,Taxes,Percentage (%),Units,Normal value,27.38471688167209
2008,Total government revenue as a percentage of GDP,Taxes,Percentage (%),Units,Normal value,27.978510739910867
2009,Total government revenue as a percentage of GDP,Taxes,Percentage (%),Units,Normal value,25.714346602191917
2010,Total government revenue as a percentage of GDP,Taxes,Percentage (%),Units,Normal value,26.841578628503758
2011,Total government revenue as a percentage of GDP,Taxes,Percentage (%),Units,Normal value,27.3493636986256
2012,Total government revenue as a percentage of GDP,Taxes,Percentage (%),Units,Normal value,26.563440181800125
2013,Total government revenue as a percentage of GDP,Taxes,Percentage (%),Units,Normal value,26.581611560963776
2014,Total government revenue as a percentage of GDP,Taxes,Percentage (%),Units,Normal value,26.34851809546712
2015,Total government revenue as a percentage of GDP,Taxes,Percentage (%),Units,Normal value,26.474273054180443
2016,Total government revenue as a percentage of GDP,Taxes,Percentage (%),Units,Normal value,26.89491014241655
2017,Total government revenue as a percentage of GDP,Taxes,Percentage (%),Units,Normal value,27.22857251963377
2018,Total government revenue as a percentage of GDP,Taxes,Percentage (%),Units,Normal value,27.22832095740389
2019,Total government revenue as a percentage of GDP,Taxes,Percentage (%),Units,Normal value,26.946501174368866
2020,Total government revenue as a percentage of GDP,Taxes,Percentage (%),Units,Normal value,26.492266478033788
1999,Total government revenue as a percentage of GDP,Other revenue,Percentage (%),Units,Normal value,2.2077379990613144
2000,Total government revenue as a percentage of GDP,Other revenue,Percentage (%),Units,Normal value,2.363171822246555
2001,Total government revenue as a percentage of GDP,Other revenue,Percentage (%),Units,Normal value,2.530185571538377
2002,Total government revenue as a percentage of GDP,Other revenue,Percentage (%),Units,Normal value,2.4388909049728418
2003,Total government revenue as a percentage of GDP,Other revenue,Percentage (%),Units,Normal value,2.386824265157763
2004,Total government revenue as a percentage of GDP,Other revenue,Percentage (%),Units,Normal value,2.671430382273756
2005,Total government revenue as a percentage of GDP,Other revenue,Percentage (%),Units,Normal value,3.3842580030121217
2006,Total government revenue as a percentage of GDP,Other revenue,Percentage (%),Units,Normal value,3.0761824658551364
2007,Total government revenue as a percentage of GDP,Other revenue,Percentage (%),Units,Normal value,3.235656513063641
2008,Total government revenue as a percentage of GDP,Other revenue,Percentage (%),Units,Normal value,3.317709699929338
2009,Total government revenue as a percentage of GDP,Other revenue,Percentage (%),Units,Normal value,3.438266259308123
2010,Total government revenue as a percentage of GDP,Other revenue,Percentage (%),Units,Normal value,9.258623921017517
2011,Total government revenue as a percentage of GDP,Other revenue,Percentage (%),Units,Normal value,3.0087203436334624
2012,Total government revenue as a percentage of GDP,Other revenue,Percentage (%),Units,Normal value,2.983928915683766
2013,Total government revenue as a percentage of GDP,Other revenue,Percentage (%),Units,Normal value,4.036709924418761
2014,Total government revenue as a percentage of GDP,Other revenue,Percentage (%),Units,Normal value,3.5201673852178845
2015,Total government revenue as a percentage of GDP,Other revenue,Percentage (%),Units,Normal value,3.4454879844720967
2016,Total government revenue as a percentage of GDP,Other revenue,Percentage (%),Units,Normal value,3.37622674350984
2017,Total government revenue as a percentage of GDP,Other revenue,Percentage (%),Units,Normal value,3.4757102936690973
2018,Total government revenue as a percentage of GDP,Other revenue,Percentage (%),Units,Normal value,3.488387294377792
2019,Total government revenue as a percentage of GDP,Other revenue,Percentage (%),Units,Normal value,3.360061178102316
2020,Total government revenue as a percentage of GDP,Other revenue,Percentage (%),Units,Normal value,3.607319751197776
