Year,Series,Country income classification,Observation status,Unit multiplier,Units,Value
2011,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,GBP (thousands),17771.05
2011,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,USD (thousands),28488.378
2011,Value of all resources made available to strengthen statistical capacity in developing countries,LMICs,Normal value,Thousands,GBP (thousands),2872.3
2011,Value of all resources made available to strengthen statistical capacity in developing countries,LMICs,Normal value,Thousands,USD (thousands),4604.521
2011,Value of all resources made available to strengthen statistical capacity in developing countries,Other LICs,Normal value,Thousands,GBP (thousands),477.38
2011,Value of all resources made available to strengthen statistical capacity in developing countries,Other LICs,Normal value,Thousands,USD (thousands),765.277
2011,Value of all resources made available to strengthen statistical capacity in developing countries,UMICs,Normal value,Thousands,GBP (thousands),176.47
2011,Value of all resources made available to strengthen statistical capacity in developing countries,UMICs,Normal value,Thousands,USD (thousands),282.895
2011,Value of all resources made available to strengthen statistical capacity in developing countries,Unspecified,Normal value,Thousands,GBP (thousands),27506.21
2011,Value of all resources made available to strengthen statistical capacity in developing countries,Unspecified,Normal value,Thousands,USD (thousands),44094.598
2011,Value of all resources made available to strengthen statistical capacity in developing countries,,Normal value,Thousands,GBP (thousands),48803.41
2011,Value of all resources made available to strengthen statistical capacity in developing countries,,Normal value,Thousands,USD (thousands),78235.668
2009,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,GBP (thousands),8510.87
2009,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,USD (thousands),13294.08
2009,Value of all resources made available to strengthen statistical capacity in developing countries,LMICs,Normal value,Thousands,GBP (thousands),294.22
2009,Value of all resources made available to strengthen statistical capacity in developing countries,LMICs,Normal value,Thousands,USD (thousands),459.575
2009,Value of all resources made available to strengthen statistical capacity in developing countries,Other LICs,Normal value,Thousands,GBP (thousands),2261.54
2009,Value of all resources made available to strengthen statistical capacity in developing countries,Other LICs,Normal value,Thousands,USD (thousands),3532.552
2009,Value of all resources made available to strengthen statistical capacity in developing countries,Unspecified,Normal value,Thousands,GBP (thousands),11910.69
2009,Value of all resources made available to strengthen statistical capacity in developing countries,Unspecified,Normal value,Thousands,USD (thousands),18604.639
2009,Value of all resources made available to strengthen statistical capacity in developing countries,,Normal value,Thousands,GBP (thousands),22977.32
2009,Value of all resources made available to strengthen statistical capacity in developing countries,,Normal value,Thousands,USD (thousands),35890.847
2010,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,GBP (thousands),9102.38
2010,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,USD (thousands),14057.73
2010,Value of all resources made available to strengthen statistical capacity in developing countries,LMICs,Normal value,Thousands,GBP (thousands),148.94
2010,Value of all resources made available to strengthen statistical capacity in developing countries,LMICs,Normal value,Thousands,USD (thousands),230.023
2010,Value of all resources made available to strengthen statistical capacity in developing countries,Other LICs,Normal value,Thousands,GBP (thousands),2409.04
2010,Value of all resources made available to strengthen statistical capacity in developing countries,Other LICs,Normal value,Thousands,USD (thousands),3720.525
2010,Value of all resources made available to strengthen statistical capacity in developing countries,Unspecified,Normal value,Thousands,GBP (thousands),22497.0
2010,Value of all resources made available to strengthen statistical capacity in developing countries,Unspecified,Normal value,Thousands,USD (thousands),34744.402
2010,Value of all resources made available to strengthen statistical capacity in developing countries,,Normal value,Thousands,GBP (thousands),34157.36
2010,Value of all resources made available to strengthen statistical capacity in developing countries,,Normal value,Thousands,USD (thousands),52752.68
2012,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,GBP (thousands),5008.99
2012,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,USD (thousands),7936.92
2012,Value of all resources made available to strengthen statistical capacity in developing countries,LMICs,Normal value,Thousands,GBP (thousands),2707.47
2012,Value of all resources made available to strengthen statistical capacity in developing countries,LMICs,Normal value,Thousands,USD (thousands),4290.081
2012,Value of all resources made available to strengthen statistical capacity in developing countries,Other LICs,Normal value,Thousands,GBP (thousands),2565.0
2012,Value of all resources made available to strengthen statistical capacity in developing countries,Other LICs,Normal value,Thousands,USD (thousands),4064.332
2012,Value of all resources made available to strengthen statistical capacity in developing countries,UMICs,Normal value,Thousands,GBP (thousands),41.06
2012,Value of all resources made available to strengthen statistical capacity in developing countries,UMICs,Normal value,Thousands,USD (thousands),65.061
2012,Value of all resources made available to strengthen statistical capacity in developing countries,Unspecified,Normal value,Thousands,GBP (thousands),13736.0
2012,Value of all resources made available to strengthen statistical capacity in developing countries,Unspecified,Normal value,Thousands,USD (thousands),21765.172
2012,Value of all resources made available to strengthen statistical capacity in developing countries,,Normal value,Thousands,GBP (thousands),24058.52
2012,Value of all resources made available to strengthen statistical capacity in developing countries,,Normal value,Thousands,USD (thousands),38121.566
2013,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,GBP (thousands),16159.44
