Year,Series,Unit multiplier,Observation status,Units,Value
1999,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),72.42457377429936
2000,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),73.77987606963707
2001,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),71.200647502917
2002,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),66.90267343500108
2003,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),64.37203241759869
2004,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),64.02371762028834
2005,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),63.25407276231415
2006,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),64.45802643600557
2007,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),64.60305566026649
2008,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),60.89625982930341
2009,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),52.70831649345333
2010,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),55.19424825674641
2011,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),58.58644309050727
2012,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),57.50488464147237
2013,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),61.08684333264858
2014,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),61.6503717359768
2015,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),63.412393477538096
2016,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),66.01101485179053
2017,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),66.34184305170686
2018,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),65.5641918089845
2019,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),65.46194778364615
2020,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),51.5144474641035
2021,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),59.14341815519387
2022,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),63.51191025049946
