Year,Units,Material category,Observation status,Unit multiplier,Unit measure,Value
2000,Domestic material consumption (Million metric tonnes),,Undefined,Units,Million metric tonnes,738.8485
2001,Domestic material consumption (Million metric tonnes),,Undefined,Units,Million metric tonnes,743.2789
2002,Domestic material consumption (Million metric tonnes),,Undefined,Units,Million metric tonnes,721.972
2003,Domestic material consumption (Million metric tonnes),,Undefined,Units,Million metric tonnes,723.0251
2004,Domestic material consumption (Million metric tonnes),,Undefined,Units,Million metric tonnes,751.9634
2005,Domestic material consumption (Million metric tonnes),,Undefined,Units,Million metric tonnes,732.6655
2006,Domestic material consumption (Million metric tonnes),,Undefined,Units,Million metric tonnes,724.2632
2007,Domestic material consumption (Million metric tonnes),,Undefined,Units,Million metric tonnes,718.9227
2008,Domestic material consumption (Million metric tonnes),,Undefined,Units,Million metric tonnes,674.9295
2009,Domestic material consumption (Million metric tonnes),,Undefined,Units,Million metric tonnes,591.6201
2010,Domestic material consumption (Million metric tonnes),,Undefined,Units,Million metric tonnes,575.3487
2011,Domestic material consumption (Million metric tonnes),,Undefined,Units,Million metric tonnes,575.5522
2012,Domestic material consumption (Million metric tonnes),,Undefined,Units,Million metric tonnes,557.4719
2013,Domestic material consumption (Million metric tonnes),,Undefined,Units,Million metric tonnes,572.7743
2014,Domestic material consumption (Million metric tonnes),,Undefined,Units,Million metric tonnes,588.3881
2015,Domestic material consumption (Million metric tonnes),,Undefined,Units,Million metric tonnes,566.5515
2016,Domestic material consumption (Million metric tonnes),,Undefined,Units,Million metric tonnes,558.3661
2017,Domestic material consumption (Million metric tonnes),,Undefined,Units,Million metric tonnes,569.638
2018,Domestic material consumption (Million metric tonnes),,Undefined,Units,Million metric tonnes,565.6744
2000,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,175.263
2001,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,168.8858
2002,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,175.2724
