Year,Unit measure,Unit multiplier,Observation status,Value
2000,Percentage (%),Units,Undefined,48.9
2001,Percentage (%),Units,Undefined,49.9
2002,Percentage (%),Units,Undefined,49.3
2003,Percentage (%),Units,Undefined,49.1
2004,Percentage (%),Units,Undefined,49.8
2005,Percentage (%),Units,Undefined,49.6
2006,Percentage (%),Units,Undefined,50.1
2007,Percentage (%),Units,Undefined,50.7
2008,Percentage (%),Units,Undefined,50.1
2009,Percentage (%),Units,Undefined,51.0
2010,Percentage (%),Units,Undefined,50.6
2011,Percentage (%),Units,Undefined,49.9
2012,Percentage (%),Units,Undefined,49.2
2013,Percentage (%),Units,Undefined,49.4
2014,Percentage (%),Units,Undefined,48.6
2015,Percentage (%),Units,Undefined,48.5
2016,Percentage (%),Units,Undefined,48.5
2017,Percentage (%),Units,Undefined,48.7
2018,Percentage (%),Units,Undefined,49.2
