Year,Series,Observation status,Unit multiplier,Units,Value
1990,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
1991,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
1992,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
1993,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
1994,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
1995,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
1996,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
1997,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
1998,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
1999,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
2000,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
2001,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
2002,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
2003,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
2004,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
2005,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
2006,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
2007,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
2008,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
2009,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
2010,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
2011,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
2012,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
2013,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
2014,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
2015,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
2016,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
2017,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
2018,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
2019,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
2020,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
2021,Proportion of population with access to electricity,Normal value,Units,Percentage (%),100.0
