Year,Series,Unit multiplier,Observation status,Value
1970,Official Development Assistance (ODA),Units,Undefined,0.36
1971,Official Development Assistance (ODA),Units,Undefined,0.4
1972,Official Development Assistance (ODA),Units,Undefined,0.38
1973,Official Development Assistance (ODA),Units,Undefined,0.34
1974,Official Development Assistance (ODA),Units,Undefined,0.4
1975,Official Development Assistance (ODA),Units,Undefined,0.39
1976,Official Development Assistance (ODA),Units,Undefined,0.39
1977,Official Development Assistance (ODA),Units,Undefined,0.44
1978,Official Development Assistance (ODA),Units,Undefined,0.46
1979,Official Development Assistance (ODA),Units,Undefined,0.51
1980,Official Development Assistance (ODA),Units,Undefined,0.35
1981,Official Development Assistance (ODA),Units,Undefined,0.43
1982,Official Development Assistance (ODA),Units,Undefined,0.37
1983,Official Development Assistance (ODA),Units,Undefined,0.35
1984,Official Development Assistance (ODA),Units,Undefined,0.33
1985,Official Development Assistance (ODA),Units,Undefined,0.33
1986,Official Development Assistance (ODA),Units,Undefined,0.31
1987,Official Development Assistance (ODA),Units,Undefined,0.28
1988,Official Development Assistance (ODA),Units,Undefined,0.32
1989,Official Development Assistance (ODA),Units,Undefined,0.31
1990,Official Development Assistance (ODA),Units,Undefined,0.27
1991,Official Development Assistance (ODA),Units,Undefined,0.32
1992,Official Development Assistance (ODA),Units,Undefined,0.31
1993,Official Development Assistance (ODA),Units,Undefined,0.31
1994,Official Development Assistance (ODA),Units,Undefined,0.31
1995,Official Development Assistance (ODA),Units,Undefined,0.29
1996,Official Development Assistance (ODA),Units,Undefined,0.27
1997,Official Development Assistance (ODA),Units,Undefined,0.26
1998,Official Development Assistance (ODA),Units,Undefined,0.27
1999,Official Development Assistance (ODA),Units,Undefined,0.24
2000,Official Development Assistance (ODA),Units,Undefined,0.32
2001,Official Development Assistance (ODA),Units,Undefined,0.32
2002,Official Development Assistance (ODA),Units,Undefined,0.31
2003,Official Development Assistance (ODA),Units,Undefined,0.34
2004,Official Development Assistance (ODA),Units,Undefined,0.36
2005,Official Development Assistance (ODA),Units,Undefined,0.47
2006,Official Development Assistance (ODA),Units,Undefined,0.51
2007,Official Development Assistance (ODA),Units,Undefined,0.36
2008,Official Development Assistance (ODA),Units,Undefined,0.43
2009,Official Development Assistance (ODA),Units,Undefined,0.51
2010,Official Development Assistance (ODA),Units,Undefined,0.57
2011,Official Development Assistance (ODA),Units,Undefined,0.56
2012,Official Development Assistance (ODA),Units,Undefined,0.56
2013,Official Development Assistance (ODA),Units,Undefined,0.7
2014,Official Development Assistance (ODA),Units,Undefined,0.7
2015,Official Development Assistance (ODA),Units,Undefined,0.7
2016,Official Development Assistance (ODA),Units,Undefined,0.7
2017,Official Development Assistance (ODA),Units,Undefined,0.7
2018,Official Development Assistance (ODA),Units,Undefined,0.7
2019,Official Development Assistance (ODA),Units,Undefined,0.7
2020,Official Development Assistance (ODA),Units,Undefined,0.7
2004,Foreign Direct Investment (FDI) inflow,Units,Undefined,2.5698995645246256
2005,Foreign Direct Investment (FDI) inflow,Units,Undefined,7.722240890967128
2006,Foreign Direct Investment (FDI) inflow,Units,Undefined,6.445545639497357
2007,Foreign Direct Investment (FDI) inflow,Units,Undefined,6.380793584300873
2008,Foreign Direct Investment (FDI) inflow,Units,Undefined,3.394413039708577
2009,Foreign Direct Investment (FDI) inflow,Units,Undefined,4.046415796403732
2010,Foreign Direct Investment (FDI) inflow,Units,Undefined,2.551838235880939
2011,Foreign Direct Investment (FDI) inflow,Units,Undefined,1.7169953105600984
2012,Foreign Direct Investment (FDI) inflow,Units,Undefined,2.249699079861215
2013,Foreign Direct Investment (FDI) inflow,Units,Undefined,2.0377190455922487
2014,Foreign Direct Investment (FDI) inflow,Units,Undefined,0.8951044776119403
2015,Foreign Direct Investment (FDI) inflow,Units,Undefined,1.4689093715013355
2016,Foreign Direct Investment (FDI) inflow,Units,Undefined,10.046120239517316
2017,Foreign Direct Investment (FDI) inflow,Units,Undefined,3.722471931336787
2018,Foreign Direct Investment (FDI) inflow,Units,Undefined,3.149577681134192
2019,Foreign Direct Investment (FDI) inflow,Units,Undefined,1.6497161705454313
