Year,Series,Material category,Observation status,Unit multiplier,Units,Value
1990,Material footprint,,Normal value,Millions,Metric tons,1069.0607
1991,Material footprint,,Normal value,Millions,Metric tons,1052.5189999999998
1992,Material footprint,,Normal value,Millions,Metric tons,972.9782
1993,Material footprint,,Normal value,Millions,Metric tons,932.8615
1994,Material footprint,,Normal value,Millions,Metric tons,919.5482
1995,Material footprint,,Normal value,Millions,Metric tons,858.0148
1996,Material footprint,,Normal value,Millions,Metric tons,880.1319
1997,Material footprint,,Normal value,Millions,Metric tons,1130.4663
1998,Material footprint,,Normal value,Millions,Metric tons,1237.3619
1999,Material footprint,,Normal value,Millions,Metric tons,1316.2805
2000,Material footprint,,Normal value,Millions,Metric tons,1278.0017
2001,Material footprint,,Normal value,Millions,Metric tons,1377.3076999999998
2002,Material footprint,,Normal value,Millions,Metric tons,1500.87
2003,Material footprint,,Normal value,Millions,Metric tons,1540.8267
2004,Material footprint,,Normal value,Millions,Metric tons,1525.9906
2005,Material footprint,,Normal value,Millions,Metric tons,1505.8167
2006,Material footprint,,Normal value,Millions,Metric tons,1447.6564
2007,Material footprint,,Normal value,Millions,Metric tons,1394.5046000000002
2008,Material footprint,,Normal value,Millions,Metric tons,1259.6047
2009,Material footprint,,Normal value,Millions,Metric tons,1102.9598
2010,Material footprint,,Normal value,Millions,Metric tons,1055.3853
2011,Material footprint,,Normal value,Millions,Metric tons,1103.6748
2012,Material footprint,,Normal value,Millions,Metric tons,1080.8221999999998
2013,Material footprint,,Normal value,Millions,Metric tons,1098.9078
2014,Material footprint,,Normal value,Millions,Metric tons,1217.3451
2015,Material footprint,,Normal value,Millions,Metric tons,1238.5047
2016,Material footprint,,Normal value,Millions,Metric tons,1055.4292
2017,Material footprint,,Normal value,Millions,Metric tons,1001.794
2018,Material footprint,,Normal value,Millions,Metric tons,1089.9529
2019,Material footprint,,Normal value,Millions,Metric tons,1071.8744
1990,Material footprint per capita,,Normal value,Units,Metric tons,18.9
1991,Material footprint per capita,,Normal value,Units,Metric tons,18.9
1992,Material footprint per capita,,Normal value,Units,Metric tons,17.4
1993,Material footprint per capita,,Normal value,Units,Metric tons,16.6
1994,Material footprint per capita,,Normal value,Units,Metric tons,16.4
1995,Material footprint per capita,,Normal value,Units,Metric tons,15.2
1996,Material footprint per capita,,Normal value,Units,Metric tons,15.6
1997,Material footprint per capita,,Normal value,Units,Metric tons,20.0
1998,Material footprint per capita,,Normal value,Units,Metric tons,21.8
1999,Material footprint per capita,,Normal value,Units,Metric tons,23.1
2000,Material footprint per capita,,Normal value,Units,Metric tons,22.3
2001,Material footprint per capita,,Normal value,Units,Metric tons,24.0
2002,Material footprint per capita,,Normal value,Units,Metric tons,26.0
2003,Material footprint per capita,,Normal value,Units,Metric tons,26.6
2004,Material footprint per capita,,Normal value,Units,Metric tons,26.2
2005,Material footprint per capita,,Normal value,Units,Metric tons,25.7
2006,Material footprint per capita,,Normal value,Units,Metric tons,24.5
2007,Material footprint per capita,,Normal value,Units,Metric tons,23.4
2008,Material footprint per capita,,Normal value,Units,Metric tons,21.0
2009,Material footprint per capita,,Normal value,Units,Metric tons,18.2
2010,Material footprint per capita,,Normal value,Units,Metric tons,17.3
2011,Material footprint per capita,,Normal value,Units,Metric tons,18.0
2012,Material footprint per capita,,Normal value,Units,Metric tons,17.5
2013,Material footprint per capita,,Normal value,Units,Metric tons,17.6
2014,Material footprint per capita,,Normal value,Units,Metric tons,19.4
2015,Material footprint per capita,,Normal value,Units,Metric tons,19.6
2016,Material footprint per capita,,Normal value,Units,Metric tons,16.5
2017,Material footprint per capita,,Normal value,Units,Metric tons,15.6
2018,Material footprint per capita,,Normal value,Units,Metric tons,16.9
2019,Material footprint per capita,,Normal value,Units,Metric tons,16.5
1990,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.337947860381917
1991,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.3592483730986227
1992,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.3416238139484849
1993,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.3287585384064081
1994,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.3166675843222974
1995,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.2954852646768869
1996,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.3083368190708564
1997,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.3759487673923614
1998,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.4031212450344737
1999,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.4207250010163474
2000,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.4013251761140376
2001,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.4288080021239095
2002,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.4667500367566392
2003,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.4764640846528339
2004,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.4731855352234515
2005,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.4677472079396321
2006,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.4503578377328964
2007,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.4356704315820908
2008,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.4073657037592263
2009,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.3783943567252013
2010,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.3595975276179594
2011,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.3789904441886162
2012,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.3718073732728834
