Year,Series,Safely managed element,Service level,Facility type,Urban or rural,Units,Unit multiplier,Observation status,Value
2000,Proportion of population using safely managed sanitation services (%),,,Improved latrine and other,,Percentage (%),Units,Normal value,0.0
2000,Proportion of population using safely managed sanitation services (%),,,Improved latrine and other,Rural,Percentage (%),Units,Normal value,0.0
2000,Proportion of population using safely managed sanitation services (%),,,Improved latrine and other,Urban,Percentage (%),Units,Normal value,0.0
2000,Proportion of population using safely managed sanitation services (%),,,Septic tank,,Percentage (%),Units,Normal value,2.65395
2000,Proportion of population using safely managed sanitation services (%),,,Septic tank,Rural,Percentage (%),Units,Normal value,11.83261
2000,Proportion of population using safely managed sanitation services (%),,,Septic tank,Urban,Percentage (%),Units,Normal value,0.1625
2000,Proportion of population using safely managed sanitation services (%),,,Sewer,,Percentage (%),Units,Normal value,97.17021
2000,Proportion of population using safely managed sanitation services (%),,,Sewer,Rural,Percentage (%),Units,Normal value,87.94239
2000,Proportion of population using safely managed sanitation services (%),,,Sewer,Urban,Percentage (%),Units,Normal value,99.675
2000,Proportion of population using safely managed sanitation services (%),,Basic service,,,Percentage (%),Units,Normal value,1.39385
2000,Proportion of population using safely managed sanitation services (%),,Basic service,,Rural,Percentage (%),Units,Normal value,5.96491
2000,Proportion of population using safely managed sanitation services (%),,Basic service,,Urban,Percentage (%),Units,Normal value,0.15309
2000,Proportion of population using safely managed sanitation services (%),,Limited service,,,Percentage (%),Units,Normal value,0.69417
2000,Proportion of population using safely managed sanitation services (%),,Limited service,,Rural,Percentage (%),Units,Normal value,0.30023
2000,Proportion of population using safely managed sanitation services (%),,Limited service,,Urban,Percentage (%),Units,Normal value,0.8011
2000,Proportion of population using safely managed sanitation services (%),,Open defecation,,,Percentage (%),Units,Normal value,0.0
2000,Proportion of population using safely managed sanitation services (%),,Open defecation,,Rural,Percentage (%),Units,Normal value,0.0
2000,Proportion of population using safely managed sanitation services (%),,Open defecation,,Urban,Percentage (%),Units,Normal value,0.0
