Year,Cause of death,Country,Region,Sex,Unit measure,Observation status,GeoCode,Value
2013,,England,,,"Rate per 100,000 population",Undefined,E92000001,51.4092429704933
2013,,England,,Female,"Rate per 100,000 population",Undefined,E92000001,58.5618217607329
2013,,England,,Male,"Rate per 100,000 population",Undefined,E92000001,44.041606994799096
2013,,England,East,,"Rate per 100,000 population",Undefined,E12000006,52.5882491305297
2013,,England,East,Female,"Rate per 100,000 population",Undefined,E12000006,59.8352793305329
2013,,England,East,Male,"Rate per 100,000 population",Undefined,E12000006,45.106877006078
2013,,England,East Midlands,,"Rate per 100,000 population",Undefined,E12000004,49.8205936718495
2013,,England,East Midlands,Female,"Rate per 100,000 population",Undefined,E12000004,55.7367201578993
2013,,England,East Midlands,Male,"Rate per 100,000 population",Undefined,E12000004,43.740905683672096
2013,,England,London,,"Rate per 100,000 population",Undefined,E12000007,34.3807543807544
2013,,England,London,Female,"Rate per 100,000 population",Undefined,E12000007,37.6790460286474
2013,,England,London,Male,"Rate per 100,000 population",Undefined,E12000007,31.0144510058092
2013,,England,North East,,"Rate per 100,000 population",Undefined,E12000001,53.2827702443883
2013,,England,North East,Female,"Rate per 100,000 population",Undefined,E12000001,61.32712805884999
2013,,England,North East,Male,"Rate per 100,000 population",Undefined,E12000001,44.8998748435544
2013,,England,North West,,"Rate per 100,000 population",Undefined,E12000002,56.3665798550011
2013,,England,North West,Female,"Rate per 100,000 population",Undefined,E12000002,64.4866287931273
2013,,England,North West,Male,"Rate per 100,000 population",Undefined,E12000002,47.9828326180258
2013,,England,South East,,"Rate per 100,000 population",Undefined,E12000008,56.0433061911477
2013,,England,South East,Female,"Rate per 100,000 population",Undefined,E12000008,65.8044883986307
2013,,England,South East,Male,"Rate per 100,000 population",Undefined,E12000008,45.954947037328296
2013,,England,South West,,"Rate per 100,000 population",Undefined,E12000009,63.5215798575599
2013,,England,South West,Female,"Rate per 100,000 population",Undefined,E12000009,72.3028022359431
2013,,England,South West,Male,"Rate per 100,000 population",Undefined,E12000009,54.4194501249716
2013,,England,West Midlands,,"Rate per 100,000 population",Undefined,E12000005,50.537444933920696
2013,,England,West Midlands,Female,"Rate per 100,000 population",Undefined,E12000005,56.699056176644696
2013,,England,West Midlands,Male,"Rate per 100,000 population",Undefined,E12000005,44.225693701405206
2013,,England,Yorkshire and The Humber,,"Rate per 100,000 population",Undefined,E12000003,51.8930665617565
2013,,England,Yorkshire and The Humber,Female,"Rate per 100,000 population",Undefined,E12000003,59.2340928394697
2013,,England,Yorkshire and The Humber,Male,"Rate per 100,000 population",Undefined,E12000003,44.3346007604563
2013,,Northern Ireland,,,"Rate per 100,000 population",Undefined,N92000002,44.9800513745423
2013,,Northern Ireland,,Female,"Rate per 100,000 population",Undefined,N92000002,53.6135535063264
2013,,Northern Ireland,,Male,"Rate per 100,000 population",Undefined,N92000002,36.0049046928993
2013,,Scotland,,,"Rate per 100,000 population",Undefined,S92000003,45.0475815079678
2013,,Scotland,,Female,"Rate per 100,000 population",Undefined,S92000003,51.0762495439621
2013,,Scotland,,Male,"Rate per 100,000 population",Undefined,S92000003,38.6592956276337
2013,,United Kingdom,,,"Rate per 100,000 population",Undefined,K02000001,51.736429053890696
2013,,United Kingdom,,Female,"Rate per 100,000 population",Undefined,K02000001,59.1048918416092
2013,,United Kingdom,,Male,"Rate per 100,000 population",Undefined,K02000001,44.1252021691561
2013,,Wales,,,"Rate per 100,000 population",Undefined,W92000004,73.027511030366
2013,,Wales,,Female,"Rate per 100,000 population",Undefined,W92000004,85.8856559469117
2013,,Wales,,Male,"Rate per 100,000 population",Undefined,W92000004,59.7280887011616
2013,Acute respiratory infections,England,,,"Rate per 100,000 population",Undefined,E92000001,48.6449658224699
2013,Acute respiratory infections,England,,Female,"Rate per 100,000 population",Undefined,E92000001,55.188461791759096
2013,Acute respiratory infections,England,,Male,"Rate per 100,000 population",Undefined,E92000001,41.9047260119092
2013,Acute respiratory infections,England,East,,"Rate per 100,000 population",Undefined,E12000006,50.0344427829769
2013,Acute respiratory infections,England,East,Female,"Rate per 100,000 population",Undefined,E12000006,56.7260940032415
2013,Acute respiratory infections,England,East,Male,"Rate per 100,000 population",Undefined,E12000006,43.1264085228437
2013,Acute respiratory infections,England,East Midlands,,"Rate per 100,000 population",Undefined,E12000004,46.7978688702838
2013,Acute respiratory infections,England,East Midlands,Female,"Rate per 100,000 population",Undefined,E12000004,52.347035098258
2013,Acute respiratory infections,England,East Midlands,Male,"Rate per 100,000 population",Undefined,E12000004,41.0952863882887
2013,Acute respiratory infections,England,London,,"Rate per 100,000 population",Undefined,E12000007,32.7413127413127
2013,Acute respiratory infections,England,London,Female,"Rate per 100,000 population",Undefined,E12000007,35.5152056824329
2013,Acute respiratory infections,England,London,Male,"Rate per 100,000 population",Undefined,E12000007,29.9102213260358
2013,Acute respiratory infections,England,North East,,"Rate per 100,000 population",Undefined,E12000001,49.567149314333896
2013,Acute respiratory infections,England,North East,Female,"Rate per 100,000 population",Undefined,E12000001,57.1235550217685
2013,Acute respiratory infections,England,North East,Male,"Rate per 100,000 population",Undefined,E12000001,41.6927409261577
2013,Acute respiratory infections,England,North West,,"Rate per 100,000 population",Undefined,E12000002,53.0442739494615
2013,Acute respiratory infections,England,North West,Female,"Rate per 100,000 population",Undefined,E12000002,60.2743522239158
2013,Acute respiratory infections,England,North West,Male,"Rate per 100,000 population",Undefined,E12000002,45.5793991416309
2013,Acute respiratory infections,England,South East,,"Rate per 100,000 population",Undefined,E12000008,53.518628030751
2013,Acute respiratory infections,England,South East,Female,"Rate per 100,000 population",Undefined,E12000008,62.6048821963171
2013,Acute respiratory infections,England,South East,Male,"Rate per 100,000 population",Undefined,E12000008,44.1278505018733
2013,Acute respiratory infections,England,South West,,"Rate per 100,000 population",Undefined,E12000009,60.378972423154906
2013,Acute respiratory infections,England,South West,Female,"Rate per 100,000 population",Undefined,E12000009,68.5031602791275
2013,Acute respiratory infections,England,South West,Male,"Rate per 100,000 population",Undefined,E12000009,51.9578883587064
2013,Acute respiratory infections,England,West Midlands,,"Rate per 100,000 population",Undefined,E12000005,47.682819383259904
2013,Acute respiratory infections,England,West Midlands,Female,"Rate per 100,000 population",Undefined,E12000005,53.2511405983352
2013,Acute respiratory infections,England,West Midlands,Male,"Rate per 100,000 population",Undefined,E12000005,41.978743134317696
2013,Acute respiratory infections,England,Yorkshire and The Humber,,"Rate per 100,000 population",Undefined,E12000003,48.6333576874801
2013,Acute respiratory infections,England,Yorkshire and The Humber,Female,"Rate per 100,000 population",Undefined,E12000003,55.4304073267107
2013,Acute respiratory infections,England,Yorkshire and The Humber,Male,"Rate per 100,000 population",Undefined,E12000003,41.6349809885932
2013,Acute respiratory infections,Northern Ireland,,,"Rate per 100,000 population",Undefined,N92000002,40.9903262829972
2013,Acute respiratory infections,Northern Ireland,,Female,"Rate per 100,000 population",Undefined,N92000002,48.037743941668495
2013,Acute respiratory infections,Northern Ireland,,Male,"Rate per 100,000 population",Undefined,N92000002,33.6640285363951
2013,Acute respiratory infections,Scotland,,,"Rate per 100,000 population",Undefined,S92000003,42.2508774893481
2013,Acute respiratory infections,Scotland,,Female,"Rate per 100,000 population",Undefined,S92000003,47.5738781466618
2013,Acute respiratory infections,Scotland,,Male,"Rate per 100,000 population",Undefined,S92000003,36.6103529593691
2013,Acute respiratory infections,United Kingdom,,,"Rate per 100,000 population",Undefined,K02000001,48.8287312984649
2013,Acute respiratory infections,United Kingdom,,Female,"Rate per 100,000 population",Undefined,K02000001,55.5282660886758
2013,Acute respiratory infections,United Kingdom,,Male,"Rate per 100,000 population",Undefined,K02000001,41.9084768337932
2013,Acute respiratory infections,Wales,,,"Rate per 100,000 population",Undefined,W92000004,68.0638463534908
2013,Acute respiratory infections,Wales,,Female,"Rate per 100,000 population",Undefined,W92000004,79.8238897396631
2013,Acute respiratory infections,Wales,,Male,"Rate per 100,000 population",Undefined,W92000004,55.9002111932418
2013,Diarrhoea,England,,,"Rate per 100,000 population",Undefined,E92000001,2.63989395868993
2013,Diarrhoea,England,,Female,"Rate per 100,000 population",Undefined,E92000001,3.23066903753137
2013,Diarrhoea,England,,Male,"Rate per 100,000 population",Undefined,E92000001,2.0313559960805003
2013,Diarrhoea,England,East,,"Rate per 100,000 population",Undefined,E12000006,2.46979955980443
2013,Diarrhoea,England,East,Female,"Rate per 100,000 population",Undefined,E12000006,3.0761088876393297
2013,Diarrhoea,England,East,Male,"Rate per 100,000 population",Undefined,E12000006,1.8438844499078104
2013,Diarrhoea,England,East Midlands,,"Rate per 100,000 population",Undefined,E12000004,2.93573991518974
2013,Diarrhoea,England,East Midlands,Female,"Rate per 100,000 population",Undefined,E12000004,3.3467776538230503
2013,Diarrhoea,England,East Midlands,Male,"Rate per 100,000 population",Undefined,E12000004,2.51333833061422
2013,Diarrhoea,England,London,,"Rate per 100,000 population",Undefined,E12000007,1.58004158004158
2013,Diarrhoea,England,London,Female,"Rate per 100,000 population",Undefined,E12000007,2.0932803349248497
2013,Diarrhoea,England,London,Male,"Rate per 100,000 population",Undefined,E12000007,1.05621969369629
2013,Diarrhoea,England,North East,,"Rate per 100,000 population",Undefined,E12000001,3.56239944840267
2013,Diarrhoea,England,North East,Female,"Rate per 100,000 population",Undefined,E12000001,4.05344542861432
2013,Diarrhoea,England,North East,Male,"Rate per 100,000 population",Undefined,E12000001,3.05068836045056
2013,Diarrhoea,England,North West,,"Rate per 100,000 population",Undefined,E12000002,3.2378405011614
2013,Diarrhoea,England,North West,Female,"Rate per 100,000 population",Undefined,E12000002,4.129139531661361
2013,Diarrhoea,England,North West,Male,"Rate per 100,000 population",Undefined,E12000002,2.31759656652361
2013,Diarrhoea,England,South East,,"Rate per 100,000 population",Undefined,E12000008,2.3427193740617698
2013,Diarrhoea,England,South East,Female,"Rate per 100,000 population",Undefined,E12000008,2.95348264828944
2013,Diarrhoea,England,South East,Male,"Rate per 100,000 population",Undefined,E12000008,1.7114575142236
2013,Diarrhoea,England,South West,,"Rate per 100,000 population",Undefined,E12000009,2.97524964204028
2013,Diarrhoea,England,South West,Female,"Rate per 100,000 population",Undefined,E12000009,3.5438968251068603
2013,Diarrhoea,England,South West,Male,"Rate per 100,000 population",Undefined,E12000009,2.38582140422631
2013,Diarrhoea,England,West Midlands,,"Rate per 100,000 population",Undefined,E12000005,2.6079295154185003
2013,Diarrhoea,England,West Midlands,Female,"Rate per 100,000 population",Undefined,E12000005,3.13446870755407
2013,Diarrhoea,England,West Midlands,Male,"Rate per 100,000 population",Undefined,E12000005,2.06862115700121
2013,Diarrhoea,England,Yorkshire and The Humber,,"Rate per 100,000 population",Undefined,E12000003,3.18477303808614
2013,Diarrhoea,England,Yorkshire and The Humber,Female,"Rate per 100,000 population",Undefined,E12000003,3.7298275416374302
2013,Diarrhoea,England,Yorkshire and The Humber,Male,"Rate per 100,000 population",Undefined,E12000003,2.62357414448669
2013,Diarrhoea,Northern Ireland,,,"Rate per 100,000 population",Undefined,N92000002,3.7164562496584095
2013,Diarrhoea,Northern Ireland,,Female,"Rate per 100,000 population",Undefined,N92000002,5.03967402959468
2013,Diarrhoea,Northern Ireland,,Male,"Rate per 100,000 population",Undefined,N92000002,2.34087615650429
2013,Diarrhoea,Scotland,,,"Rate per 100,000 population",Undefined,S92000003,2.62777558796479
2013,Diarrhoea,Scotland,,Female,"Rate per 100,000 population",Undefined,S92000003,3.31995622035753
2013,Diarrhoea,Scotland,,Male,"Rate per 100,000 population",Undefined,S92000003,1.89430548575405
2013,Diarrhoea,United Kingdom,,,"Rate per 100,000 population",Undefined,K02000001,2.77354431821195
2013,Diarrhoea,United Kingdom,,Female,"Rate per 100,000 population",Undefined,K02000001,3.41698237168663
2013,Diarrhoea,United Kingdom,,Male,"Rate per 100,000 population",Undefined,K02000001,2.10890178543114
2013,Diarrhoea,Wales,,,"Rate per 100,000 population",Undefined,W92000004,4.801453412924991
2013,Diarrhoea,Wales,,Female,"Rate per 100,000 population",Undefined,W92000004,5.870342011230219
2013,Diarrhoea,Wales,,Male,"Rate per 100,000 population",Undefined,W92000004,3.69588173178458
2013,Intestinal nematode infections,England,,,"Rate per 100,000 population",Undefined,E92000001,0.0
2013,Intestinal nematode infections,England,,Female,"Rate per 100,000 population",Undefined,E92000001,0.0
2013,Intestinal nematode infections,England,,Male,"Rate per 100,000 population",Undefined,E92000001,0.0
2013,Intestinal nematode infections,England,East,,"Rate per 100,000 population",Undefined,E12000006,0.0
2013,Intestinal nematode infections,England,East,Female,"Rate per 100,000 population",Undefined,E12000006,0.0
2013,Intestinal nematode infections,England,East,Male,"Rate per 100,000 population",Undefined,E12000006,0.0
2013,Intestinal nematode infections,England,East Midlands,,"Rate per 100,000 population",Undefined,E12000004,0.0
2013,Intestinal nematode infections,England,East Midlands,Female,"Rate per 100,000 population",Undefined,E12000004,0.0
2013,Intestinal nematode infections,England,East Midlands,Male,"Rate per 100,000 population",Undefined,E12000004,0.0
2013,Intestinal nematode infections,England,London,,"Rate per 100,000 population",Undefined,E12000007,0.0
2013,Intestinal nematode infections,England,London,Female,"Rate per 100,000 population",Undefined,E12000007,0.0
2013,Intestinal nematode infections,England,London,Male,"Rate per 100,000 population",Undefined,E12000007,0.0
2013,Intestinal nematode infections,England,North East,,"Rate per 100,000 population",Undefined,E12000001,0.0
2013,Intestinal nematode infections,England,North East,Female,"Rate per 100,000 population",Undefined,E12000001,0.0
2013,Intestinal nematode infections,England,North East,Male,"Rate per 100,000 population",Undefined,E12000001,0.0
2013,Intestinal nematode infections,England,North West,,"Rate per 100,000 population",Undefined,E12000002,0.0
2013,Intestinal nematode infections,England,North West,Female,"Rate per 100,000 population",Undefined,E12000002,0.0
2013,Intestinal nematode infections,England,North West,Male,"Rate per 100,000 population",Undefined,E12000002,0.0
2013,Intestinal nematode infections,England,South East,,"Rate per 100,000 population",Undefined,E12000008,0.0
2013,Intestinal nematode infections,England,South East,Female,"Rate per 100,000 population",Undefined,E12000008,0.0
2013,Intestinal nematode infections,England,South East,Male,"Rate per 100,000 population",Undefined,E12000008,0.0
2013,Intestinal nematode infections,England,South West,,"Rate per 100,000 population",Undefined,E12000009,0.0
2013,Intestinal nematode infections,England,South West,Female,"Rate per 100,000 population",Undefined,E12000009,0.0
2013,Intestinal nematode infections,England,South West,Male,"Rate per 100,000 population",Undefined,E12000009,0.0
2013,Intestinal nematode infections,England,West Midlands,,"Rate per 100,000 population",Undefined,E12000005,0.0
2013,Intestinal nematode infections,England,West Midlands,Female,"Rate per 100,000 population",Undefined,E12000005,0.0
2013,Intestinal nematode infections,England,West Midlands,Male,"Rate per 100,000 population",Undefined,E12000005,0.0
2013,Intestinal nematode infections,England,Yorkshire and The Humber,,"Rate per 100,000 population",Undefined,E12000003,0.0
2013,Intestinal nematode infections,England,Yorkshire and The Humber,Female,"Rate per 100,000 population",Undefined,E12000003,0.0
2013,Intestinal nematode infections,England,Yorkshire and The Humber,Male,"Rate per 100,000 population",Undefined,E12000003,0.0
2013,Intestinal nematode infections,Northern Ireland,,,"Rate per 100,000 population",Undefined,N92000002,0.0
2013,Intestinal nematode infections,Northern Ireland,,Female,"Rate per 100,000 population",Undefined,N92000002,0.0
2013,Intestinal nematode infections,Northern Ireland,,Male,"Rate per 100,000 population",Undefined,N92000002,0.0
2013,Intestinal nematode infections,Scotland,,,"Rate per 100,000 population",Undefined,S92000003,0.0
2013,Intestinal nematode infections,Scotland,,Female,"Rate per 100,000 population",Undefined,S92000003,0.0
2013,Intestinal nematode infections,Scotland,,Male,"Rate per 100,000 population",Undefined,S92000003,0.0
2013,Intestinal nematode infections,United Kingdom,,,"Rate per 100,000 population",Undefined,K02000001,0.0
2013,Intestinal nematode infections,United Kingdom,,Female,"Rate per 100,000 population",Undefined,K02000001,0.0
2013,Intestinal nematode infections,United Kingdom,,Male,"Rate per 100,000 population",Undefined,K02000001,0.0
2013,Intestinal nematode infections,Wales,,,"Rate per 100,000 population",Undefined,W92000004,0.0
2013,Intestinal nematode infections,Wales,,Female,"Rate per 100,000 population",Undefined,W92000004,0.0
2013,Intestinal nematode infections,Wales,,Male,"Rate per 100,000 population",Undefined,W92000004,0.0
2013,Protein-energy malnutrition,England,,,"Rate per 100,000 population",Undefined,E92000001,0.1243831893334919
2013,Protein-energy malnutrition,England,,Female,"Rate per 100,000 population",Undefined,E92000001,0.142690931442496
2013,Protein-energy malnutrition,England,,Male,"Rate per 100,000 population",Undefined,E92000001,0.105524986809377
2013,Protein-energy malnutrition,England,East,,"Rate per 100,000 population",Undefined,E12000006,0.08400678774845
2013,Protein-energy malnutrition,England,East,Female,"Rate per 100,000 population",Undefined,E12000006,0.0330764396520359
2013,Protein-energy malnutrition,England,East,Male,"Rate per 100,000 population",Undefined,E12000006,0.1365840333265039
2013,Protein-energy malnutrition,England,East Midlands,,"Rate per 100,000 population",Undefined,E12000004,0.0869848863759922
2013,Protein-energy malnutrition,England,East Midlands,Female,"Rate per 100,000 population",Undefined,E12000004,0.0429074058182442
2013,Protein-energy malnutrition,England,East Midlands,Male,"Rate per 100,000 population",Undefined,E12000004,0.13228096476917
2013,Protein-energy malnutrition,England,London,,"Rate per 100,000 population",Undefined,E12000007,0.0594000594000594
2013,Protein-energy malnutrition,England,London,Female,"Rate per 100,000 population",Undefined,E12000007,0.0705600112896017
2013,Protein-energy malnutrition,England,London,Male,"Rate per 100,000 population",Undefined,E12000007,0.048009986077104
2013,Protein-energy malnutrition,England,North East,,"Rate per 100,000 population",Undefined,E12000001,0.153221481651728
2013,Protein-energy malnutrition,England,North East,Female,"Rate per 100,000 population",Undefined,E12000001,0.150127608467197
2013,Protein-energy malnutrition,England,North East,Male,"Rate per 100,000 population",Undefined,E12000001,0.156445556946183
2013,Protein-energy malnutrition,England,North West,,"Rate per 100,000 population",Undefined,E12000002,0.0844654043781235
2013,Protein-energy malnutrition,England,North West,Female,"Rate per 100,000 population",Undefined,E12000002,0.0831370375502286
2013,Protein-energy malnutrition,England,North West,Male,"Rate per 100,000 population",Undefined,E12000002,0.0858369098712446
2013,Protein-energy malnutrition,England,South East,,"Rate per 100,000 population",Undefined,E12000008,0.1819587863348949
2013,Protein-energy malnutrition,England,South East,Female,"Rate per 100,000 population",Undefined,E12000008,0.24612355402412
2013,Protein-energy malnutrition,England,South East,Male,"Rate per 100,000 population",Undefined,E12000008,0.115639021231324
2013,Protein-energy malnutrition,England,South West,,"Rate per 100,000 population",Undefined,E12000009,0.167357792364766
2013,Protein-energy malnutrition,England,South West,Female,"Rate per 100,000 population",Undefined,E12000009,0.255745131708743
2013,Protein-energy malnutrition,England,South West,Male,"Rate per 100,000 population",Undefined,E12000009,0.0757403620389306
2013,Protein-energy malnutrition,England,West Midlands,,"Rate per 100,000 population",Undefined,E12000005,0.2466960352422909
