Year,Country,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2010,,Undefined,Units,Percentage (%),,40.3580152784
2010,England,Undefined,Units,Percentage (%),E92000001,41.1734396990597
2010,Northern Ireland,Undefined,Units,Percentage (%),N92000002,37.8082598314555
2010,Scotland,Undefined,Units,Percentage (%),S92000003,32.4944849717668
2010,Wales,Undefined,Units,Percentage (%),W92000004,44.0058915990268
2011,,Undefined,Units,Percentage (%),,42.8948444438656
2011,England,Undefined,Units,Percentage (%),E92000001,43.2853353220023
2011,Northern Ireland,Undefined,Units,Percentage (%),N92000002,40.0348309148189
2011,Scotland,Undefined,Units,Percentage (%),S92000003,37.087864731628
2011,Wales,Undefined,Units,Percentage (%),W92000004,48.9689751826946
2012,,Undefined,Units,Percentage (%),,43.871805161279
2012,England,Undefined,Units,Percentage (%),E92000001,44.106938228156
2012,Northern Ireland,Undefined,Units,Percentage (%),N92000002,40.6974236892246
2012,Scotland,Undefined,Units,Percentage (%),S92000003,38.2311568769731
2012,Wales,Undefined,Units,Percentage (%),W92000004,52.1128938779479
2013,,Undefined,Units,Percentage (%),,44.0933406323292
2013,England,Undefined,Units,Percentage (%),E92000001,44.1630492566075
2013,Northern Ireland,Undefined,Units,Percentage (%),N92000002,41.54283365649
2013,Scotland,Undefined,Units,Percentage (%),S92000003,39.6483961929596
2013,Wales,Undefined,Units,Percentage (%),W92000004,52.5375472848915
2014,,Undefined,Units,Percentage (%),,44.9155158569077
2014,England,Undefined,Units,Percentage (%),E92000001,44.8452960505942
2014,Northern Ireland,Undefined,Units,Percentage (%),N92000002,42.6458477249965
2014,Scotland,Undefined,Units,Percentage (%),S92000003,40.9588914157316
2014,Wales,Undefined,Units,Percentage (%),W92000004,54.7898828809481
2015,,Undefined,Units,Percentage (%),,44.2182521220642
2015,England,Undefined,Units,Percentage (%),E92000001,43.8807703389261
2015,Northern Ireland,Undefined,Units,Percentage (%),N92000002,42.0916040776847
2015,Scotland,Undefined,Units,Percentage (%),S92000003,42.025709912219
2015,Wales,Undefined,Units,Percentage (%),W92000004,55.4858411732672
2016,,Undefined,Units,Percentage (%),,44.6821035326539
2016,England,Undefined,Units,Percentage (%),E92000001,44.2416969231065
2016,Northern Ireland,Undefined,Units,Percentage (%),N92000002,43.299235330918
2016,Scotland,Undefined,Units,Percentage (%),S92000003,42.775874568493
2016,Wales,Undefined,Units,Percentage (%),W92000004,56.7170756563293
2017,,Undefined,Units,Percentage (%),,44.9592330633709
2017,England,Undefined,Units,Percentage (%),E92000001,44.3838908214411
2017,Northern Ireland,Undefined,Units,Percentage (%),N92000002,46.3063932662347
2017,Scotland,Undefined,Units,Percentage (%),S92000003,43.4073038325263
2017,Wales,Undefined,Units,Percentage (%),W92000004,57.0818248956513
