Year,Series,Violence type,Age,Sex,Country of birth,Disability status,Sexual orientation,Ethnicity,Ethnic group,Highest qualification,Household income,Region,Urban or rural,Observation status,Unit multiplier,Units,GeoCode,Value
2014/15,(a) Physical violence - 16 and over,Assault with minor injury,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.503974030942816
2014/15,(a) Physical violence - 16 and over,Violence with injury,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.9464811036496404
2014/15,(a) Physical violence - 16 and over,Violence without injury,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.9155887446433972
2014/15,(a) Physical violence - 16 and over,Wounding,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.4546042998741819
2014/15,(a) Physical violence - 16 and over,,16 to 24,,,,,,,,,,,Normal value,Units,Percentage (%),,4.175894954679529
2014/15,(a) Physical violence - 16 and over,,18 to 24,,,,,,,,,,,Missing value; suppressed,Units,Percentage (%),,
2014/15,(a) Physical violence - 16 and over,,25 to 34,,,,,,,,,,,Normal value,Units,Percentage (%),,2.5159128071761647
2014/15,(a) Physical violence - 16 and over,,35 to 44,,,,,,,,,,,Normal value,Units,Percentage (%),,2.0193851947759325
2014/15,(a) Physical violence - 16 and over,,45 to 54,,,,,,,,,,,Normal value,Units,Percentage (%),,1.7231589954258064
2014/15,(a) Physical violence - 16 and over,,55 to 64,,,,,,,,,,,Normal value,Units,Percentage (%),,0.7909257201260474
2014/15,(a) Physical violence - 16 and over,,65 to 74,,,,,,,,,,,Normal value,Units,Percentage (%),,0.4042600421685891
2014/15,(a) Physical violence - 16 and over,,75 and over,,,,,,,,,,,Normal value,Units,Percentage (%),,0.1423070334407488
2014/15,(a) Physical violence - 16 and over,,,Female,,,,,,,,,,Normal value,Units,Percentage (%),,1.273439522203381
2014/15,(a) Physical violence - 16 and over,,,Male,,,,,,,,,,Normal value,Units,Percentage (%),,2.3670417915407413
2014/15,(a) Physical violence - 16 and over,,,,,,,White,,,,,,Normal value,Units,Percentage (%),,1.7858373046945302
2014/15,(a) Physical violence - 16 and over,,,,,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,Normal value,Units,Percentage (%),,1.8046327357244505
2014/15,(a) Physical violence - 16 and over,,,,,,,White,Irish,,,,,Normal value,Units,Percentage (%),,1.3359583464756133
2014/15,(a) Physical violence - 16 and over,,,,,,,White,Gypsy or Irish Traveller,,,,,Missing value; suppressed,Units,Percentage (%),,
2014/15,(a) Physical violence - 16 and over,,,,,,,White,Any other White background,,,,,Normal value,Units,Percentage (%),,1.5939166895599364
2014/15,(a) Physical violence - 16 and over,,,,,,,Mixed,,,,,,Normal value,Units,Percentage (%),,5.792957331720819
2014/15,(a) Physical violence - 16 and over,,,,,,,Mixed,White and Black Caribbean,,,,,Normal value,Units,Percentage (%),,7.282570690386362
2014/15,(a) Physical violence - 16 and over,,,,,,,Mixed,White and Black African,,,,,Missing value; suppressed,Units,Percentage (%),,
2014/15,(a) Physical violence - 16 and over,,,,,,,Mixed,White and Asian,,,,,Normal value,Units,Percentage (%),,9.458545571742636
2014/15,(a) Physical violence - 16 and over,,,,,,,Mixed,Any other Mixed ethnic background,,,,,Normal value,Units,Percentage (%),,3.645864440965201
2014/15,(a) Physical violence - 16 and over,,,,,,,Asian,,,,,,Normal value,Units,Percentage (%),,1.234222986442462
2014/15,(a) Physical violence - 16 and over,,,,,,,Asian,Indian,,,,,Normal value,Units,Percentage (%),,0.8782902516433493
2014/15,(a) Physical violence - 16 and over,,,,,,,Asian,Pakistani,,,,,Normal value,Units,Percentage (%),,0.944436962117952
2014/15,(a) Physical violence - 16 and over,,,,,,,Asian,Bangladeshi,,,,,Normal value,Units,Percentage (%),,2.2860497040258934
2014/15,(a) Physical violence - 16 and over,,,,,,,Asian,Chinese,,,,,Normal value,Units,Percentage (%),,1.8845124741563823
2014/15,(a) Physical violence - 16 and over,,,,,,,Asian,Any other Asian background,,,,,Normal value,Units,Percentage (%),,1.6400551794241816
2014/15,(a) Physical violence - 16 and over,,,,,,,Black,,,,,,Normal value,Units,Percentage (%),,2.449862349834921
2014/15,(a) Physical violence - 16 and over,,,,,,,Black,African,,,,,Normal value,Units,Percentage (%),,2.7055327656662027
2014/15,(a) Physical violence - 16 and over,,,,,,,Black,Caribbean,,,,,Normal value,Units,Percentage (%),,0.7027000439685391
2014/15,(a) Physical violence - 16 and over,,,,,,,Black,Any other Black background,,,,,Normal value,Units,Percentage (%),,8.390918258454288
2014/15,(a) Physical violence - 16 and over,,,,,,,Other ethnic group,,,,,,Normal value,Units,Percentage (%),,1.1543917211091934
2014/15,(a) Physical violence - 16 and over,,,,,,,Other ethnic group,Arab,,,,,Normal value,Units,Percentage (%),,1.019139299764383
2014/15,(a) Physical violence - 16 and over,,,,,,,Other ethnic group,Any other ethnic group,,,,,Normal value,Units,Percentage (%),,1.019139299764383
2014/15,(a) Physical violence - 16 and over,,,,,,,,,Apprenticeship or A/AS level,,,,Normal value,Units,Percentage (%),,2.155675098212748
2014/15,(a) Physical violence - 16 and over,,,,,,,,,Degree or diploma,,,,Normal value,Units,Percentage (%),,2.098140653679858
2014/15,(a) Physical violence - 16 and over,,,,,,,,,No qualifications,,,,Normal value,Units,Percentage (%),,1.057963475983433
2014/15,(a) Physical violence - 16 and over,,,,,,,,,O level/GCSE,,,,Normal value,Units,Percentage (%),,1.7613990405214914
2014/15,(a) Physical violence - 16 and over,,,,,,,,,Other qualification,,,,Normal value,Units,Percentage (%),,0.8865674349977063
2014/15,(a) Physical violence - 16 and over,,,,,,,,,,"Less than £10,000",,,Normal value,Units,Percentage (%),,3.2637877774686177
2014/15,(a) Physical violence - 16 and over,,,,,,,,,,"£10,000 to less than £20,000",,,Normal value,Units,Percentage (%),,1.568418591969888
2014/15,(a) Physical violence - 16 and over,,,,,,,,,,"£20,000 to less than £30,000",,,Normal value,Units,Percentage (%),,1.767100766222714
2014/15,(a) Physical violence - 16 and over,,,,,,,,,,"£30,000 to less than £40,000",,,Normal value,Units,Percentage (%),,1.676576372202487
2014/15,(a) Physical violence - 16 and over,,,,,,,,,,"£40,000 to less than £50,000",,,Normal value,Units,Percentage (%),,1.65964434234532
2014/15,(a) Physical violence - 16 and over,,,,,,,,,,"£50,000 or more",,,Normal value,Units,Percentage (%),,1.7702847698011888
2014/15,(a) Physical violence - 16 and over,,,,,,,,,,No income stated or not enough information provided,,,Normal value,Units,Percentage (%),,1.5946304522159391
2014/15,(a) Physical violence - 16 and over,,,,,,,,,,,,Rural,Normal value,Units,Percentage (%),,1.3178899894079583
2014/15,(a) Physical violence - 16 and over,,,,,,,,,,,,Urban,Normal value,Units,Percentage (%),,1.922525986148744
2014/15,(a) Physical violence - 16 and over,,,,,,,,,,,,,Normal value,Units,Percentage (%),,1.8080541271021688
2015/16,(a) Physical violence - 16 and over,Assault with minor injury,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.434795124199953
2015/16,(a) Physical violence - 16 and over,Violence with injury,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.9094217533205358
2015/16,(a) Physical violence - 16 and over,Violence without injury,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.9373279920290638
2015/16,(a) Physical violence - 16 and over,Wounding,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.48836506826774
2015/16,(a) Physical violence - 16 and over,,16 to 24,,,,,,,,,,,Normal value,Units,Percentage (%),,3.744081680500931
2015/16,(a) Physical violence - 16 and over,,25 to 34,,,,,,,,,,,Normal value,Units,Percentage (%),,2.4238077986345368
2015/16,(a) Physical violence - 16 and over,,35 to 44,,,,,,,,,,,Normal value,Units,Percentage (%),,1.870449082064096
2015/16,(a) Physical violence - 16 and over,,45 to 54,,,,,,,,,,,Normal value,Units,Percentage (%),,2.035212195780001
2015/16,(a) Physical violence - 16 and over,,55 to 64,,,,,,,,,,,Normal value,Units,Percentage (%),,1.1255162490818555
2015/16,(a) Physical violence - 16 and over,,65 to 74,,,,,,,,,,,Normal value,Units,Percentage (%),,0.4548772857758748
2015/16,(a) Physical violence - 16 and over,,75 and over,,,,,,,,,,,Normal value,Units,Percentage (%),,0.0658112426903471
2015/16,(a) Physical violence - 16 and over,,,Female,,,,,,,,,,Normal value,Units,Percentage (%),,1.3947515471493714
2015/16,(a) Physical violence - 16 and over,,,Male,,,,,,,,,,Normal value,Units,Percentage (%),,2.2174384589104394
2015/16,(a) Physical violence - 16 and over,,,,,,,Asian,Any other Asian background,,,,,Normal value,Units,Percentage (%),,0.7401343033773803
2015/16,(a) Physical violence - 16 and over,,,,,,,Asian,Bangladeshi,,,,,Normal value,Units,Percentage (%),,0.2250237967441998
2015/16,(a) Physical violence - 16 and over,,,,,,,Asian,Chinese,,,,,Normal value,Units,Percentage (%),,0.4298786340688291
2015/16,(a) Physical violence - 16 and over,,,,,,,Asian,Indian,,,,,Normal value,Units,Percentage (%),,0.7836073355827883
2015/16,(a) Physical violence - 16 and over,,,,,,,Asian,Pakistani,,,,,Normal value,Units,Percentage (%),,2.353246079050248
2015/16,(a) Physical violence - 16 and over,,,,,,,Asian,,,,,,Normal value,Units,Percentage (%),,1.1001187540827748
2015/16,(a) Physical violence - 16 and over,,,,,,,Black,African,,,,,Normal value,Units,Percentage (%),,0.7056015246379719
2015/16,(a) Physical violence - 16 and over,,,,,,,Black,Any other Black background,,,,,Normal value,Units,Percentage (%),,3.419834818057776
2015/16,(a) Physical violence - 16 and over,,,,,,,Black,Caribbean,,,,,Normal value,Units,Percentage (%),,5.099722433398035
2015/16,(a) Physical violence - 16 and over,,,,,,,Black,,,,,,Normal value,Units,Percentage (%),,2.23541988284578
