Year,Series,Institution,Observation status,Unit multiplier,Units,Value
2000,"Proportion of members of developing countries in international organisations, by organisation",African Development Bank,Normal value,Units,Percentage (%),1.2987
2005,"Proportion of members of developing countries in international organisations, by organisation",African Development Bank,Normal value,Units,Percentage (%),1.2987
2010,"Proportion of members of developing countries in international organisations, by organisation",African Development Bank,Normal value,Units,Percentage (%),1.2987
2014,"Proportion of members of developing countries in international organisations, by organisation",African Development Bank,Normal value,Units,Percentage (%),1.26582
2015,"Proportion of members of developing countries in international organisations, by organisation",African Development Bank,Normal value,Units,Percentage (%),1.25
2016,"Proportion of members of developing countries in international organisations, by organisation",African Development Bank,Normal value,Units,Percentage (%),1.25
2017,"Proportion of members of developing countries in international organisations, by organisation",African Development Bank,Normal value,Units,Percentage (%),1.25
2018,"Proportion of members of developing countries in international organisations, by organisation",African Development Bank,Normal value,Units,Percentage (%),1.25
2019,"Proportion of members of developing countries in international organisations, by organisation",African Development Bank,Normal value,Units,Percentage (%),1.25
2000,"Proportion of voting rights of developing countries in international organisations, by organisation",African Development Bank,Normal value,Units,Percentage (%),1.75
2005,"Proportion of voting rights of developing countries in international organisations, by organisation",African Development Bank,Normal value,Units,Percentage (%),1.677
2010,"Proportion of voting rights of developing countries in international organisations, by organisation",African Development Bank,Normal value,Units,Percentage (%),1.649
2014,"Proportion of voting rights of developing countries in international organisations, by organisation",African Development Bank,Normal value,Units,Percentage (%),1.689
2015,"Proportion of voting rights of developing countries in international organisations, by organisation",African Development Bank,Normal value,Units,Percentage (%),1.75
2016,"Proportion of voting rights of developing countries in international organisations, by organisation",African Development Bank,Normal value,Units,Percentage (%),1.7519
2017,"Proportion of voting rights of developing countries in international organisations, by organisation",African Development Bank,Normal value,Units,Percentage (%),1.7519
2018,"Proportion of voting rights of developing countries in international organisations, by organisation",African Development Bank,Normal value,Units,Percentage (%),1.8106
2019,"Proportion of voting rights of developing countries in international organisations, by organisation",African Development Bank,Normal value,Units,Percentage (%),1.80802
2000,"Proportion of members of developing countries in international organisations, by organisation",Asian Development Bank,Normal value,Units,Percentage (%),1.6949
2005,"Proportion of members of developing countries in international organisations, by organisation",Asian Development Bank,Normal value,Units,Percentage (%),1.5625
2010,"Proportion of members of developing countries in international organisations, by organisation",Asian Development Bank,Normal value,Units,Percentage (%),1.4925
2015,"Proportion of members of developing countries in international organisations, by organisation",Asian Development Bank,Normal value,Units,Percentage (%),1.4925
2016,"Proportion of members of developing countries in international organisations, by organisation",Asian Development Bank,Normal value,Units,Percentage (%),1.4925
2017,"Proportion of members of developing countries in international organisations, by organisation",Asian Development Bank,Normal value,Units,Percentage (%),1.4925
2018,"Proportion of members of developing countries in international organisations, by organisation",Asian Development Bank,Normal value,Units,Percentage (%),1.4925
2019,"Proportion of members of developing countries in international organisations, by organisation",Asian Development Bank,Normal value,Units,Percentage (%),1.47059
2020,"Proportion of members of developing countries in international organisations, by organisation",Asian Development Bank,Normal value,Units,Percentage (%),1.47059
2000,"Proportion of voting rights of developing countries in international organisations, by organisation",Asian Development Bank,Normal value,Units,Percentage (%),2.003
2005,"Proportion of voting rights of developing countries in international organisations, by organisation",Asian Development Bank,Normal value,Units,Percentage (%),1.96
2010,"Proportion of voting rights of developing countries in international organisations, by organisation",Asian Development Bank,Normal value,Units,Percentage (%),2.154
2016,"Proportion of voting rights of developing countries in international organisations, by organisation",Asian Development Bank,Normal value,Units,Percentage (%),1.934
2017,"Proportion of voting rights of developing countries in international organisations, by organisation",Asian Development Bank,Normal value,Units,Percentage (%),1.932
2018,"Proportion of voting rights of developing countries in international organisations, by organisation",Asian Development Bank,Normal value,Units,Percentage (%),1.932
2019,"Proportion of voting rights of developing countries in international organisations, by organisation",Asian Development Bank,Normal value,Units,Percentage (%),1.9286
2020,"Proportion of voting rights of developing countries in international organisations, by organisation",Asian Development Bank,Normal value,Units,Percentage (%),1.92422
2010,"Proportion of members of developing countries in international organisations, by organisation",Financial Stability Board,Normal value,Units,Percentage (%),4.17
2015,"Proportion of members of developing countries in international organisations, by organisation",Financial Stability Board,Normal value,Units,Percentage (%),4.17
2016,"Proportion of members of developing countries in international organisations, by organisation",Financial Stability Board,Normal value,Units,Percentage (%),4.17
2017,"Proportion of members of developing countries in international organisations, by organisation",Financial Stability Board,Normal value,Units,Percentage (%),4.17
2018,"Proportion of members of developing countries in international organisations, by organisation",Financial Stability Board,Normal value,Units,Percentage (%),4.17
2019,"Proportion of members of developing countries in international organisations, by organisation",Financial Stability Board,Normal value,Units,Percentage (%),4.17
2020,"Proportion of members of developing countries in international organisations, by organisation",Financial Stability Board,Normal value,Units,Percentage (%),4.17
2021,"Proportion of members of developing countries in international organisations, by organisation",Financial Stability Board,Normal value,Units,Percentage (%),4.17
2010,"Proportion of voting rights of developing countries in international organisations, by organisation",Financial Stability Board,Normal value,Units,Percentage (%),5.77
2015,"Proportion of voting rights of developing countries in international organisations, by organisation",Financial Stability Board,Normal value,Units,Percentage (%),5.26
2016,"Proportion of voting rights of developing countries in international organisations, by organisation",Financial Stability Board,Normal value,Units,Percentage (%),5.26
2017,"Proportion of voting rights of developing countries in international organisations, by organisation",Financial Stability Board,Normal value,Units,Percentage (%),5.26
2018,"Proportion of voting rights of developing countries in international organisations, by organisation",Financial Stability Board,Normal value,Units,Percentage (%),5.26
2019,"Proportion of voting rights of developing countries in international organisations, by organisation",Financial Stability Board,Normal value,Units,Percentage (%),5.26
2020,"Proportion of voting rights of developing countries in international organisations, by organisation",Financial Stability Board,Normal value,Units,Percentage (%),5.26
