Year,Series,IHR core capacity,Observation status,Unit multiplier,Units,Value
2018,Average of International Health Regulations (IHR) core capacities,,Normal value,Units,Percentage (%),93.0
2018,Average of International Health Regulations (IHR) core capacities,Legislation and financing,Normal value,Units,Percentage (%),100.0
2018,Average of International Health Regulations (IHR) core capacities,IHR coordination and national IHR focal point functions,Normal value,Units,Percentage (%),90.0
2018,Average of International Health Regulations (IHR) core capacities,Zoonotic events and the human–animal interface,Normal value,Units,Percentage (%),100.0
2018,Average of International Health Regulations (IHR) core capacities,Food safety,Normal value,Units,Percentage (%),100.0
2018,Average of International Health Regulations (IHR) core capacities,Laboratory,Normal value,Units,Percentage (%),100.0
2018,Average of International Health Regulations (IHR) core capacities,Surveillance,Normal value,Units,Percentage (%),100.0
2018,Average of International Health Regulations (IHR) core capacities,Human resources,Normal value,Units,Percentage (%),100.0
2018,Average of International Health Regulations (IHR) core capacities,National health emergency framework,Normal value,Units,Percentage (%),100.0
2018,Average of International Health Regulations (IHR) core capacities,Health service provision,Normal value,Units,Percentage (%),100.0
2018,Average of International Health Regulations (IHR) core capacities,Risk communication,Normal value,Units,Percentage (%),100.0
2018,Average of International Health Regulations (IHR) core capacities,Points of entry,Normal value,Units,Percentage (%),40.0
2018,Average of International Health Regulations (IHR) core capacities,Chemical events,Normal value,Units,Percentage (%),80.0
2018,Average of International Health Regulations (IHR) core capacities,Radiation emergencies,Normal value,Units,Percentage (%),100.0
2019,Average of International Health Regulations (IHR) core capacities,,Normal value,Units,Percentage (%),93.0
2019,Average of International Health Regulations (IHR) core capacities,Legislation and financing,Normal value,Units,Percentage (%),100.0
2019,Average of International Health Regulations (IHR) core capacities,IHR coordination and national IHR focal point functions,Normal value,Units,Percentage (%),90.0
2019,Average of International Health Regulations (IHR) core capacities,Zoonotic events and the human–animal interface,Normal value,Units,Percentage (%),100.0
2019,Average of International Health Regulations (IHR) core capacities,Food safety,Normal value,Units,Percentage (%),100.0
2019,Average of International Health Regulations (IHR) core capacities,Laboratory,Normal value,Units,Percentage (%),100.0
2019,Average of International Health Regulations (IHR) core capacities,Surveillance,Normal value,Units,Percentage (%),100.0
2019,Average of International Health Regulations (IHR) core capacities,Human resources,Normal value,Units,Percentage (%),100.0
2019,Average of International Health Regulations (IHR) core capacities,National health emergency framework,Normal value,Units,Percentage (%),100.0
2019,Average of International Health Regulations (IHR) core capacities,Health service provision,Normal value,Units,Percentage (%),100.0
2019,Average of International Health Regulations (IHR) core capacities,Risk communication,Normal value,Units,Percentage (%),100.0
2019,Average of International Health Regulations (IHR) core capacities,Points of entry,Normal value,Units,Percentage (%),40.0
2019,Average of International Health Regulations (IHR) core capacities,Chemical events,Normal value,Units,Percentage (%),80.0
2019,Average of International Health Regulations (IHR) core capacities,Radiation emergencies,Normal value,Units,Percentage (%),100.0
2020,Average of International Health Regulations (IHR) core capacities,,Normal value,Units,Percentage (%),95.0
2020,Average of International Health Regulations (IHR) core capacities,Legislation and financing,Normal value,Units,Percentage (%),100.0
2020,Average of International Health Regulations (IHR) core capacities,IHR coordination and national IHR focal point functions,Normal value,Units,Percentage (%),90.0
2020,Average of International Health Regulations (IHR) core capacities,Zoonotic events and the human–animal interface,Normal value,Units,Percentage (%),100.0
2020,Average of International Health Regulations (IHR) core capacities,Food safety,Normal value,Units,Percentage (%),100.0
2020,Average of International Health Regulations (IHR) core capacities,Laboratory,Normal value,Units,Percentage (%),100.0
2020,Average of International Health Regulations (IHR) core capacities,Surveillance,Normal value,Units,Percentage (%),100.0
2020,Average of International Health Regulations (IHR) core capacities,Human resources,Normal value,Units,Percentage (%),100.0
2020,Average of International Health Regulations (IHR) core capacities,National health emergency framework,Normal value,Units,Percentage (%),100.0
2020,Average of International Health Regulations (IHR) core capacities,Health service provision,Normal value,Units,Percentage (%),100.0
2020,Average of International Health Regulations (IHR) core capacities,Risk communication,Normal value,Units,Percentage (%),100.0
2020,Average of International Health Regulations (IHR) core capacities,Points of entry,Normal value,Units,Percentage (%),60.0
2020,Average of International Health Regulations (IHR) core capacities,Chemical events,Normal value,Units,Percentage (%),80.0
2020,Average of International Health Regulations (IHR) core capacities,Radiation emergencies,Normal value,Units,Percentage (%),100.0
2021,Average of International Health Regulations (IHR) core capacities,,Normal value,Units,Percentage (%),93.0
2021,Average of International Health Regulations (IHR) core capacities,IHR coordination and national IHR focal point functions,Normal value,Units,Percentage (%),73.0
2021,Average of International Health Regulations (IHR) core capacities,Zoonotic events and the human–animal interface,Normal value,Units,Percentage (%),100.0
2021,Average of International Health Regulations (IHR) core capacities,Food safety,Normal value,Units,Percentage (%),100.0
2021,Average of International Health Regulations (IHR) core capacities,Laboratory,Normal value,Units,Percentage (%),100.0
2021,Average of International Health Regulations (IHR) core capacities,Surveillance,Normal value,Units,Percentage (%),100.0
2021,Average of International Health Regulations (IHR) core capacities,Human resources,Normal value,Units,Percentage (%),100.0
2021,Average of International Health Regulations (IHR) core capacities,National health emergency framework,Normal value,Units,Percentage (%),100.0
2021,Average of International Health Regulations (IHR) core capacities,Health service provision,Normal value,Units,Percentage (%),100.0
2021,Average of International Health Regulations (IHR) core capacities,Risk communication,Normal value,Units,Percentage (%),80.0
2021,Average of International Health Regulations (IHR) core capacities,Points of entry,Normal value,Units,Percentage (%),67.0
2021,Average of International Health Regulations (IHR) core capacities,Chemical events,Normal value,Units,Percentage (%),100.0
2021,Average of International Health Regulations (IHR) core capacities,Radiation emergencies,Normal value,Units,Percentage (%),100.0
