Year,Region,Sex,Age,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2008,,,,Undefined,Units,"Rate per 100,000 population",,1.19654500332
2008,,Male,,Undefined,Units,"Rate per 100,000 population",,1.63554633499
2008,,Female,,Undefined,Units,"Rate per 100,000 population",,0.716426682049
2008,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,1.76647665095
2008,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,1.2834585831299998
2008,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,0.963500836494
2008,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,1.76761039338
2008,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,0.9849996421960001
2008,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,0.845333872298
2008,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,0.7459645139219999
2008,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,1.17337590828
2008,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,0.700576652427
2008,London,Male,,Undefined,Units,"Rate per 100,000 population",E12000007,2.44307060708
2008,London,Female,,Undefined,Units,"Rate per 100,000 population",E12000007,1.05939043683
2008,East Midlands,Male,,Undefined,Units,"Rate per 100,000 population",E12000004,1.6447804263799999
2008,East Midlands,Female,,Undefined,Units,"Rate per 100,000 population",E12000004,0.754756184894
2008,East of England,Female,,Undefined,Units,"Rate per 100,000 population",E12000006,0.688519352902
2008,East of England,Male,,Undefined,Units,"Rate per 100,000 population",E12000006,1.2127412017399999
2008,North West,Female,,Undefined,Units,"Rate per 100,000 population",E12000002,1.04244791564
2008,North West,Male,,Undefined,Units,"Rate per 100,000 population",E12000002,2.4932469672599997
2008,South East,Female,,Undefined,Units,"Rate per 100,000 population",E12000008,0.558678464714
2008,South East,Male,,Undefined,Units,"Rate per 100,000 population",E12000008,1.3315427714499999
2008,South West,Female,,Undefined,Units,"Rate per 100,000 population",E12000009,0.601863519924
2008,South West,Male,,Undefined,Units,"Rate per 100,000 population",E12000009,1.0209555044
2008,West Midlands,Female,,Undefined,Units,"Rate per 100,000 population",E12000005,0.5015612886399999
2008,West Midlands,Male,,Undefined,Units,"Rate per 100,000 population",E12000005,0.9611986294789999
2008,Yorkshire and The Humber,Female,,Undefined,Units,"Rate per 100,000 population",E12000003,0.491032611364
2008,Yorkshire and The Humber,Male,,Undefined,Units,"Rate per 100,000 population",E12000003,1.8814727070800001
