Year,Series,Mechanism,Observation status,Unit multiplier,Units,Value
2020,Mechanisms in place to enhance policy coherence for sustainable development,,Normal value,Units,Percentage (%),68.75
2020,Mechanisms in place to enhance policy coherence for sustainable development,1 Institutionalisation of political commitment,Normal value,Units,Percentage (%),100.0
2020,Mechanisms in place to enhance policy coherence for sustainable development,2 Long-term considerations in decision-making,Normal value,Units,Percentage (%),80.0
2020,Mechanisms in place to enhance policy coherence for sustainable development,3 Inter-ministerial and cross-sectoral coordination,Normal value,Units,Percentage (%),30.0
2020,Mechanisms in place to enhance policy coherence for sustainable development,4 Participatory processes,Normal value,Units,Percentage (%),80.0
2020,Mechanisms in place to enhance policy coherence for sustainable development,5 Policy linkages,Normal value,Units,Percentage (%),30.0
2020,Mechanisms in place to enhance policy coherence for sustainable development,6 Alignment across government levels,Normal value,Units,Percentage (%),100.0
2020,Mechanisms in place to enhance policy coherence for sustainable development,7 Monitoring and reporting for policy coherence,Normal value,Units,Percentage (%),80.0
2020,Mechanisms in place to enhance policy coherence for sustainable development,8 Financing for policy coherence,Normal value,Units,Percentage (%),50.0
2022,Mechanisms in place to enhance policy coherence for sustainable development,,Normal value,Units,Percentage (%),68.75
2022,Mechanisms in place to enhance policy coherence for sustainable development,1 Institutionalisation of political commitment,Normal value,Units,Percentage (%),100.0
2022,Mechanisms in place to enhance policy coherence for sustainable development,2 Long-term considerations in decision-making,Normal value,Units,Percentage (%),70.0
2022,Mechanisms in place to enhance policy coherence for sustainable development,3 Inter-ministerial and cross-sectoral coordination,Normal value,Units,Percentage (%),80.0
2022,Mechanisms in place to enhance policy coherence for sustainable development,4 Participatory processes,Normal value,Units,Percentage (%),80.0
2022,Mechanisms in place to enhance policy coherence for sustainable development,5 Policy linkages,Normal value,Units,Percentage (%),20.0
2022,Mechanisms in place to enhance policy coherence for sustainable development,6 Alignment across government levels,Normal value,Units,Percentage (%),50.0
2022,Mechanisms in place to enhance policy coherence for sustainable development,7 Monitoring and reporting for policy coherence,Normal value,Units,Percentage (%),100.0
2022,Mechanisms in place to enhance policy coherence for sustainable development,8 Financing for policy coherence,Normal value,Units,Percentage (%),50.0
