Year,Series,Unit multiplier,Units,Observation status,Value
2000,Percentage of population using safely managed drinking water services,Units,Percentage (%),Estimated value,100.0
2001,Percentage of population using safely managed drinking water services,Units,Percentage (%),Estimated value,100.0
2002,Percentage of population using safely managed drinking water services,Units,Percentage (%),Estimated value,100.0
2003,Percentage of population using safely managed drinking water services,Units,Percentage (%),Estimated value,100.0
2004,Percentage of population using safely managed drinking water services,Units,Percentage (%),Estimated value,100.0
2005,Percentage of population using safely managed drinking water services,Units,Percentage (%),Estimated value,100.0
2006,Percentage of population using safely managed drinking water services,Units,Percentage (%),Estimated value,99.99818
2007,Percentage of population using safely managed drinking water services,Units,Percentage (%),Estimated value,99.98605
2008,Percentage of population using safely managed drinking water services,Units,Percentage (%),Estimated value,99.97393
2009,Percentage of population using safely managed drinking water services,Units,Percentage (%),Estimated value,99.9618
2010,Percentage of population using safely managed drinking water services,Units,Percentage (%),Estimated value,99.94968
2011,Percentage of population using safely managed drinking water services,Units,Percentage (%),Estimated value,99.93754
2012,Percentage of population using safely managed drinking water services,Units,Percentage (%),Estimated value,99.92542
2013,Percentage of population using safely managed drinking water services,Units,Percentage (%),Estimated value,99.91329
2014,Percentage of population using safely managed drinking water services,Units,Percentage (%),Estimated value,99.90116
2015,Percentage of population using safely managed drinking water services,Units,Percentage (%),Estimated value,99.88904
2016,Percentage of population using safely managed drinking water services,Units,Percentage (%),Estimated value,99.87691
2017,Percentage of population using safely managed drinking water services,Units,Percentage (%),Estimated value,99.86478
2018,Percentage of population using safely managed drinking water services,Units,Percentage (%),Estimated value,99.85266
2019,Percentage of population using safely managed drinking water services,Units,Percentage (%),Estimated value,99.84053
2020,Percentage of population using safely managed drinking water services,Units,Percentage (%),Estimated value,99.82841
2021,Percentage of population using safely managed drinking water services,Units,Percentage (%),Estimated value,99.81627
2022,Percentage of population using safely managed drinking water services,Units,Percentage (%),Estimated value,99.80415
