Year,Age,Disability status,Region,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2012,,,,Undefined,Units,Percentage (%),,35.7
2013,,,,Undefined,Units,Percentage (%),,35.5
2014,,,,Undefined,Units,Percentage (%),,36.6
2015,,,,Undefined,Units,Percentage (%),,37.3
2016,,,,Undefined,Units,Percentage (%),,37.3
2017,,,,Undefined,Units,Percentage (%),,37.9
2014,,Disabled (GSS harmonised),,Undefined,Units,Percentage (%),,42.3
2015,,Disabled (GSS harmonised),,Undefined,Units,Percentage (%),,46.3
2016,,Disabled (GSS harmonised),,Undefined,Units,Percentage (%),,44.2
2017,,Disabled (GSS harmonised),,Undefined,Units,Percentage (%),,46.6
2014,,Non-disabled (GSS harmonised),,Undefined,Units,Percentage (%),,36.2
2015,,Non-disabled (GSS harmonised),,Undefined,Units,Percentage (%),,36.8
2016,,Non-disabled (GSS harmonised),,Undefined,Units,Percentage (%),,36.9
2017,,Non-disabled (GSS harmonised),,Undefined,Units,Percentage (%),,37.1
2012,16 to 24,,,Undefined,Units,Percentage (%),,51.5
2013,16 to 24,,,Undefined,Units,Percentage (%),,45.7
2014,16 to 24,,,Undefined,Units,Percentage (%),,50.9
2015,16 to 24,,,Undefined,Units,Percentage (%),,46.9
2016,16 to 24,,,Undefined,Units,Percentage (%),,47.3
2017,16 to 24,,,Undefined,Units,Percentage (%),,48.3
2012,25 to 34,,,Undefined,Units,Percentage (%),,38.6
2013,25 to 34,,,Undefined,Units,Percentage (%),,38.7
2014,25 to 34,,,Undefined,Units,Percentage (%),,38.0
2015,25 to 34,,,Undefined,Units,Percentage (%),,40.7
2016,25 to 34,,,Undefined,Units,Percentage (%),,40.2
2017,25 to 34,,,Undefined,Units,Percentage (%),,41.0
2012,35 to 44,,,Undefined,Units,Percentage (%),,35.1
2013,35 to 44,,,Undefined,Units,Percentage (%),,34.4
2014,35 to 44,,,Undefined,Units,Percentage (%),,35.4
2015,35 to 44,,,Undefined,Units,Percentage (%),,36.0
2016,35 to 44,,,Undefined,Units,Percentage (%),,35.4
2017,35 to 44,,,Undefined,Units,Percentage (%),,35.9
2012,45 to 54,,,Undefined,Units,Percentage (%),,35.6
2013,45 to 54,,,Undefined,Units,Percentage (%),,35.0
2014,45 to 54,,,Undefined,Units,Percentage (%),,36.5
2015,45 to 54,,,Undefined,Units,Percentage (%),,36.9
2016,45 to 54,,,Undefined,Units,Percentage (%),,38.5
2017,45 to 54,,,Undefined,Units,Percentage (%),,38.4
2012,55 to 64,,,Undefined,Units,Percentage (%),,31.4
2013,55 to 64,,,Undefined,Units,Percentage (%),,33.4
2014,55 to 64,,,Undefined,Units,Percentage (%),,35.3
2015,55 to 64,,,Undefined,Units,Percentage (%),,36.5
2016,55 to 64,,,Undefined,Units,Percentage (%),,34.9
2017,55 to 64,,,Undefined,Units,Percentage (%),,35.8
2012,65 and over,,,Undefined,Units,Percentage (%),,32.5
2013,65 and over,,,Undefined,Units,Percentage (%),,32.2
2014,65 and over,,,Undefined,Units,Percentage (%),,31.8
2015,65 and over,,,Undefined,Units,Percentage (%),,29.1
2016,65 and over,,,Undefined,Units,Percentage (%),,31.1
2017,65 and over,,,Undefined,Units,Percentage (%),,32.4
2012,,,North East,Undefined,Units,Percentage (%),E12000001,36.7
2013,,,North East,Undefined,Units,Percentage (%),E12000001,36.6
2014,,,North East,Undefined,Units,Percentage (%),E12000001,38.4
2015,,,North East,Undefined,Units,Percentage (%),E12000001,42.9
2016,,,North East,Undefined,Units,Percentage (%),E12000001,38.3
2017,,,North East,Undefined,Units,Percentage (%),E12000001,39.9
2012,,,North West,Undefined,Units,Percentage (%),E12000002,35.0
2013,,,North West,Undefined,Units,Percentage (%),E12000002,35.5
2014,,,North West,Undefined,Units,Percentage (%),E12000002,36.7
2015,,,North West,Undefined,Units,Percentage (%),E12000002,38.8
2016,,,North West,Undefined,Units,Percentage (%),E12000002,39.5
2017,,,North West,Undefined,Units,Percentage (%),E12000002,38.5
2012,,,Yorkshire and the Humber,Undefined,Units,Percentage (%),E12000003,36.1
2013,,,Yorkshire and the Humber,Undefined,Units,Percentage (%),E12000003,35.0
2014,,,Yorkshire and the Humber,Undefined,Units,Percentage (%),E12000003,34.7
2015,,,Yorkshire and the Humber,Undefined,Units,Percentage (%),E12000003,33.9
2016,,,Yorkshire and the Humber,Undefined,Units,Percentage (%),E12000003,37.7
2017,,,Yorkshire and the Humber,Undefined,Units,Percentage (%),E12000003,38.0
2012,,,East Midlands,Undefined,Units,Percentage (%),E12000004,34.3
2013,,,East Midlands,Undefined,Units,Percentage (%),E12000004,33.4
