Year,Food security level,Age,Age group,Country,Region,Ethnic group,Ethnicity,Highest qualification,Household composition - children,Number of adults,Number of children,Household composition - adults over State Pension age,Household composition - disabled adults,Household composition - unemployed adults,State support,State support detail,Total gross weekly income,Tenure,Tenure sub-category,Observation status,Units,GeoCode,Value
2019/2020,Low,,,England,,,,,,,,,,,,,,,,Normal value,Percentage of households (%),E92000001,4.0
2019/2020,Low,,,Great Britain,,,,,,,,,,,,,,,,Normal value,Percentage of households (%),K03000001,4.0
2019/2020,Low,,,Northern Ireland,,,,,,,,,,,,,,,,Normal value,Percentage of households (%),N92000002,3.0
2019/2020,Low,,,Scotland,,,,,,,,,,,,,,,,Normal value,Percentage of households (%),S92000003,4.0
2019/2020,Low,,,Wales,,,,,,,,,,,,,,,,Normal value,Percentage of households (%),W92000004,4.0
2019/2020,Low,,,,,,,,,,,,,,,,,,,Normal value,Percentage of households (%),,4.0
2019/2020,Low,,,England,East,,,,,,,,,,,,,,,Normal value,Percentage of households (%),E12000006,2.0
2019/2020,Low,,,England,East Midlands,,,,,,,,,,,,,,,Normal value,Percentage of households (%),E12000004,4.0
2019/2020,Low,,,England,Inner London,,,,,,,,,,,,,,,Normal value,Percentage of households (%),E13000001,5.0
2019/2020,Low,,,England,London,,,,,,,,,,,,,,,Normal value,Percentage of households (%),E12000007,5.0
2019/2020,Low,,,England,North East,,,,,,,,,,,,,,,Normal value,Percentage of households (%),E12000001,4.0
2019/2020,Low,,,England,North West,,,,,,,,,,,,,,,Normal value,Percentage of households (%),E12000002,5.0
2019/2020,Low,,,England,Outer London,,,,,,,,,,,,,,,Normal value,Percentage of households (%),E13000002,6.0
2019/2020,Low,,,England,South East,,,,,,,,,,,,,,,Normal value,Percentage of households (%),E12000008,3.0
2019/2020,Low,,,England,South West,,,,,,,,,,,,,,,Normal value,Percentage of households (%),E12000009,2.0
2019/2020,Low,,,England,West Midlands,,,,,,,,,,,,,,,Normal value,Percentage of households (%),E12000005,4.0
2019/2020,Low,,,England,Yorkshire and The Humber,,,,,,,,,,,,,,,Normal value,Percentage of households (%),E12000003,4.0
2019/2020,Low,,,,,,,,Without children,,,,,,,,,,,Normal value,Percentage of households (%),,3.0
2019/2020,Low,,,,,,,,Without children,One adult,,,,,,,,,,Normal value,Percentage of households (%),,4.0
2019/2020,Low,,,,,,,,Without children,Two adults,,,,,,,,,,Normal value,Percentage of households (%),,2.0
2019/2020,Low,,,,,,,,Without children,Three or more adults,,,,,,,,,,Normal value,Percentage of households (%),,3.0
2019/2020,Low,,,,,,,,With children,,,,,,,,,,,Normal value,Percentage of households (%),,6.0
2019/2020,Low,,,,,,,,With children,One adult,,,,,,,,,,Normal value,Percentage of households (%),,16.0
2019/2020,Low,,,,,,,,With children,One adult,One child,,,,,,,,,Normal value,Percentage of households (%),,14.0
2019/2020,Low,,,,,,,,With children,One adult,Two children,,,,,,,,,Normal value,Percentage of households (%),,15.0
2019/2020,Low,,,,,,,,With children,One adult,Three or more children,,,,,,,,,Normal value,Percentage of households (%),,22.0
2019/2020,Low,,,,,,,,With children,Two adults,,,,,,,,,,Normal value,Percentage of households (%),,4.0
2019/2020,Low,,,,,,,,With children,Two adults,One child,,,,,,,,,Normal value,Percentage of households (%),,3.0
2019/2020,Low,,,,,,,,With children,Two adults,Two children,,,,,,,,,Normal value,Percentage of households (%),,3.0
2019/2020,Low,,,,,,,,With children,Two adults,Three or more children,,,,,,,,,Normal value,Percentage of households (%),,7.0
2019/2020,Low,,,,,,,,With children,Three or more adults,,,,,,,,,,Normal value,Percentage of households (%),,4.0
2019/2020,Low,,,,,,,,With children,Three or more adults,One child,,,,,,,,,Normal value,Percentage of households (%),,3.0
2019/2020,Low,,,,,,,,With children,Three or more adults,Two children,,,,,,,,,Normal value,Percentage of households (%),,4.0
2019/2020,Low,,,,,,,,With children,Three or more adults,Three or more children,,,,,,,,,Missing value; suppressed,Percentage of households (%),,
2019/2020,Low,16 to 24,,,,,,,,,,,,,,,,,,Normal value,Percentage of households (%),,7.0
2019/2020,Low,25 to 34,,,,,,,,,,,,,,,,,,Normal value,Percentage of households (%),,5.0
2019/2020,Low,35 to 44,,,,,,,,,,,,,,,,,,Normal value,Percentage of households (%),,6.0
