Year,Units,Sex,Age,Country,Region,Malaria species,Fatality,Country of birth,Ethnicity,Region of travel,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2000,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.4762023639999997
2001,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.45778330799999
2002,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.26788154
2003,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.884131912
2004,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.7622851460000004
2005,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.901680088
2006,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.8835847039999996
2007,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.522869107
2008,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.215976081
2009,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.401201944
2010,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.802764893
2011,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.643590372
2012,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.161524765
2013,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.341447137
2014,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.455231805
2015,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.150206219
2016,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.464657978
2017,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.713497556
2000,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.027171097999999998
2001,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.015225073
2002,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.015160275
2003,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.026829133999999998
2004,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.008340233
2005,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.016552653
2006,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.01315204
2007,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.00815407
2008,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.009705005
2009,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.009636931
2010,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.011153698
2011,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.012641197
2012,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.00313947
2013,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.010919473999999998
2014,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.004644196
2015,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.00921517
2016,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.009139646
2017,"Rate per 100,000 population",,,,,,Fatal,,,,Undefined,Units,"Rate per 100,000 population",,0.009085371
2000,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,2.640691097
2001,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,2.659312798
2002,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,2.467755905
