Year,Units,Sex,Relationship to perpetrator,Age,Ethnicity,Income,Disability status,Country of birth,Region,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2004/05,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,2.3037422586300003
2005/06,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,2.518203361812256
2006/07,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,2.615723951008618
2007/08,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,2.220040955473805
2008/09,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,1.887869890969026
2009/10,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,1.8663253703843976
2010/11,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,1.9124697866567124
2011/12,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,2.1201791277459545
2012/13,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,1.5687532752688806
2013/14,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,1.2473063626980463
2014/15,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,1.5052141786840456
2015/16,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,1.715373385729858
2016/17,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,1.7389021559517732
2017/18,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,2.5064321792101403
2018/19,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,2.4742472714024086
2019/20,Percentage of adults aged 16 to 59 (%),,,,,,,,,Undefined,Units,Percentage (%),,1.9405244339460421
2004/05,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,1.164250799331341
2005/06,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,1.0515830206046854
2006/07,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,1.2179705540777277
2007/08,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,0.7407243398470063
2008/09,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,0.6913240502662868
2009/10,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,1.0221486451691502
2010/11,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,0.8525419993938651
2011/12,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,0.8019246449108717
2012/13,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,0.7889063825956348
2013/14,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,0.6741722037520375
2014/15,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,0.6232282040002418
2015/16,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,0.5897704524117864
2016/17,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,0.8018492776244551
2017/18,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,1.1853964199235367
2018/19,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,1.1064151964944418
2019/20,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,0.822212196229098
2004/05,Percentage of adults aged 16 to 59 (%),Women,,,,,,,,Undefined,Units,Percentage (%),,3.431964537862358
2005/06,Percentage of adults aged 16 to 59 (%),Women,,,,,,,,Undefined,Units,Percentage (%),,3.888849778472944
2006/07,Percentage of adults aged 16 to 59 (%),Women,,,,,,,,Undefined,Units,Percentage (%),,3.9678185619389694
2007/08,Percentage of adults aged 16 to 59 (%),Women,,,,,,,,Undefined,Units,Percentage (%),,3.542807610868581
2008/09,Percentage of adults aged 16 to 59 (%),Women,,,,,,,,Undefined,Units,Percentage (%),,2.9796500560357337
2009/10,Percentage of adults aged 16 to 59 (%),Women,,,,,,,,Undefined,Units,Percentage (%),,2.7505176563159295
2010/11,Percentage of adults aged 16 to 59 (%),Women,,,,,,,,Undefined,Units,Percentage (%),,2.9241257833519048
