Year,Age,Observation status,Sex,Unit measure,Unit multiplier,Value
2005,,Undefined,,Percentage (%),Units,19.0
2005,15 and under,Undefined,,Percentage (%),Units,23.3
2005,16 to 24,Undefined,,Percentage (%),Units,23.4
2005,25 to 49,Undefined,,Percentage (%),Units,14.4
2005,50 to 64,Undefined,,Percentage (%),Units,15.6
2005,65 to 74,Undefined,,Percentage (%),Units,21.4
2005,75 and over,Undefined,,Percentage (%),Units,28.7
2005,,Undefined,Female,Percentage (%),Units,19.4
2005,15 and under,Undefined,Female,Percentage (%),Units,22.3
2005,16 to 24,Undefined,Female,Percentage (%),Units,22.4
2005,25 to 49,Undefined,Female,Percentage (%),Units,15.3
2005,50 to 64,Undefined,Female,Percentage (%),Units,15.4
2005,65 to 74,Undefined,Female,Percentage (%),Units,23.2
2005,75 and over,Undefined,Female,Percentage (%),Units,31.0
2005,,Undefined,Male,Percentage (%),Units,18.6
2005,15 and under,Undefined,Male,Percentage (%),Units,24.4
2005,16 to 24,Undefined,Male,Percentage (%),Units,24.3
2005,25 to 49,Undefined,Male,Percentage (%),Units,13.5
2005,50 to 64,Undefined,Male,Percentage (%),Units,15.8
2005,65 to 74,Undefined,Male,Percentage (%),Units,19.4
2005,75 and over,Undefined,Male,Percentage (%),Units,25.2
2006,,Undefined,,Percentage (%),Units,19.0
2006,15 and under,Undefined,,Percentage (%),Units,24.5
2006,16 to 24,Undefined,,Percentage (%),Units,21.0
2006,25 to 49,Undefined,,Percentage (%),Units,13.8
2006,50 to 64,Undefined,,Percentage (%),Units,15.8
2006,65 to 74,Undefined,,Percentage (%),Units,21.7
2006,75 and over,Undefined,,Percentage (%),Units,31.1
2006,,Undefined,Female,Percentage (%),Units,19.9
2006,15 and under,Undefined,Female,Percentage (%),Units,23.7
2006,16 to 24,Undefined,Female,Percentage (%),Units,22.6
2006,25 to 49,Undefined,Female,Percentage (%),Units,14.5
2006,50 to 64,Undefined,Female,Percentage (%),Units,16.3
2006,65 to 74,Undefined,Female,Percentage (%),Units,24.5
2006,75 and over,Undefined,Female,Percentage (%),Units,33.4
