Year,Units,Decent homes criteria,Urbanisation sub-category,Sub-national area,Age of oldest person,Age of youngest person,Income group,Disability status,Ethnicity of household reference person (HRP),Unit measure,Observation status,Unit multiplier,Value
2008,Dwelling (%),,,,,,,,,Percentage (%),Undefined,Units,33.094906615700005
2008,Dwelling (%),,city centre,,,,,,,Percentage (%),Undefined,Units,45.89786468078096
2008,Dwelling (%),,other urban centre,,,,,,,Percentage (%),Undefined,Units,37.539853862074594
2008,Dwelling (%),,suburban residential,,,,,,,Percentage (%),Undefined,Units,28.57192780361831
2008,Dwelling (%),,rural residential,,,,,,,Percentage (%),Undefined,Units,33.53517034226057
2008,Dwelling (%),,village centre,,,,,,,Percentage (%),Undefined,Units,47.37874389721371
2008,Dwelling (%),,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,60.59117892075472
2008,Dwelling (%),,,North,,,,,,Percentage (%),Undefined,Units,32.36277581498629
2008,Dwelling (%),,,South East,,,,,,Percentage (%),Undefined,Units,32.45276596356708
2008,Dwelling (%),,,Rest of England,,,,,,Percentage (%),Undefined,Units,34.100711754263436
2008,Dwelling (%),Minimum Standard (HHSRS),,,,,,,,Percentage (%),Undefined,Units,21.771587522288062
2008,Dwelling (%),Minimum Standard (HHSRS),city centre,,,,,,,Percentage (%),Undefined,Units,28.492784318847068
2008,Dwelling (%),Minimum Standard (HHSRS),other urban centre,,,,,,,Percentage (%),Undefined,Units,22.87285186618755
2008,Dwelling (%),Minimum Standard (HHSRS),suburban residential,,,,,,,Percentage (%),Undefined,Units,17.576168808141812
2008,Dwelling (%),Minimum Standard (HHSRS),rural residential,,,,,,,Percentage (%),Undefined,Units,25.585377938902308
2008,Dwelling (%),Minimum Standard (HHSRS),village centre,,,,,,,Percentage (%),Undefined,Units,38.455670687917596
2008,Dwelling (%),Minimum Standard (HHSRS),Other Rural Area,,,,,,,Percentage (%),Undefined,Units,54.11940672387375
2008,Dwelling (%),Minimum Standard (HHSRS),,North,,,,,,Percentage (%),Undefined,Units,22.624181711676282
2008,Dwelling (%),Minimum Standard (HHSRS),,South East,,,,,,Percentage (%),Undefined,Units,18.66882328864072
2008,Dwelling (%),Minimum Standard (HHSRS),,Rest of England,,,,,,Percentage (%),Undefined,Units,23.44866895458284
2008,Dwelling (%),Repair,,,,,,,,Percentage (%),Undefined,Units,6.3716517866175675
2008,Dwelling (%),Repair,city centre,,,,,,,Percentage (%),Undefined,Units,11.881386296593881
2008,Dwelling (%),Repair,other urban centre,,,,,,,Percentage (%),Undefined,Units,8.509467924324746
2008,Dwelling (%),Repair,suburban residential,,,,,,,Percentage (%),Undefined,Units,5.315992209032293
2008,Dwelling (%),Repair,rural residential,,,,,,,Percentage (%),Undefined,Units,4.577005265162861
2008,Dwelling (%),Repair,village centre,,,,,,,Percentage (%),Undefined,Units,9.148174746383594
2008,Dwelling (%),Repair,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,11.28995613345218
2008,Dwelling (%),Repair,,North,,,,,,Percentage (%),Undefined,Units,6.607437450548033
2008,Dwelling (%),Repair,,South East,,,,,,Percentage (%),Undefined,Units,6.839099540409384
2008,Dwelling (%),Repair,,Rest of England,,,,,,Percentage (%),Undefined,Units,5.854921912282956
2008,Dwelling (%),Modern facilities and services,,,,,,,,Percentage (%),Undefined,Units,3.2676199238846135
2008,Dwelling (%),Modern facilities and services,city centre,,,,,,,Percentage (%),Undefined,Units,10.14681206862775
2008,Dwelling (%),Modern facilities and services,other urban centre,,,,,,,Percentage (%),Undefined,Units,4.566502598249414
2008,Dwelling (%),Modern facilities and services,suburban residential,,,,,,,Percentage (%),Undefined,Units,2.619975945455359
2008,Dwelling (%),Modern facilities and services,rural residential,,,,,,,Percentage (%),Undefined,Units,2.2012432349941733
2008,Dwelling (%),Modern facilities and services,village centre,,,,,,,Percentage (%),Undefined,Units,4.365280049244734
2008,Dwelling (%),Modern facilities and services,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,3.3728598309419358
2008,Dwelling (%),Modern facilities and services,,North,,,,,,Percentage (%),Undefined,Units,2.458977049404856
2008,Dwelling (%),Modern facilities and services,,South East,,,,,,Percentage (%),Undefined,Units,3.7148392811233415
2008,Dwelling (%),Modern facilities and services,,Rest of England,,,,,,Percentage (%),Undefined,Units,3.523062801990192
2008,Dwelling (%),Thermal comfort,,,,,,,,Percentage (%),Undefined,Units,12.75599276563148
2008,Dwelling (%),Thermal comfort,city centre,,,,,,,Percentage (%),Undefined,Units,19.32561843625698
2008,Dwelling (%),Thermal comfort,other urban centre,,,,,,,Percentage (%),Undefined,Units,14.207706641505931
2008,Dwelling (%),Thermal comfort,suburban residential,,,,,,,Percentage (%),Undefined,Units,10.89452856897904
2008,Dwelling (%),Thermal comfort,rural residential,,,,,,,Percentage (%),Undefined,Units,12.61221193347222
2008,Dwelling (%),Thermal comfort,village centre,,,,,,,Percentage (%),Undefined,Units,20.460824487184922
2008,Dwelling (%),Thermal comfort,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,24.09033712577989
2008,Dwelling (%),Thermal comfort,,North,,,,,,Percentage (%),Undefined,Units,11.38960124151133
2008,Dwelling (%),Thermal comfort,,South East,,,,,,Percentage (%),Undefined,Units,13.75862294213495
2008,Dwelling (%),Thermal comfort,,Rest of England,,,,,,Percentage (%),Undefined,Units,13.004947989916529
2009,Dwelling (%),,,,,,,,,Percentage (%),Undefined,Units,30.09449243504444
2009,Dwelling (%),,city centre,,,,,,,Percentage (%),Undefined,Units,40.37118485854782
2009,Dwelling (%),,other urban centre,,,,,,,Percentage (%),Undefined,Units,34.19030300395809
2009,Dwelling (%),,suburban residential,,,,,,,Percentage (%),Undefined,Units,25.7960330462114
2009,Dwelling (%),,rural residential,,,,,,,Percentage (%),Undefined,Units,31.49167397157459
2009,Dwelling (%),,village centre,,,,,,,Percentage (%),Undefined,Units,39.348328868078646
2009,Dwelling (%),,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,60.491527979701694
2009,Dwelling (%),,,North,,,,,,Percentage (%),Undefined,Units,28.16244171606121
2009,Dwelling (%),,,South East,,,,,,Percentage (%),Undefined,Units,29.5624318098619
2009,Dwelling (%),,,Rest of England,,,,,,Percentage (%),Undefined,Units,31.87070333084578
2009,Dwelling (%),Minimum Standard (HHSRS),,,,,,,,Percentage (%),Undefined,Units,20.19868815777138
2009,Dwelling (%),Minimum Standard (HHSRS),city centre,,,,,,,Percentage (%),Undefined,Units,25.76934396556189
2009,Dwelling (%),Minimum Standard (HHSRS),other urban centre,,,,,,,Percentage (%),Undefined,Units,20.93275084704423
2009,Dwelling (%),Minimum Standard (HHSRS),suburban residential,,,,,,,Percentage (%),Undefined,Units,16.399801409816142
2009,Dwelling (%),Minimum Standard (HHSRS),rural residential,,,,,,,Percentage (%),Undefined,Units,23.947172785163552
2009,Dwelling (%),Minimum Standard (HHSRS),village centre,,,,,,,Percentage (%),Undefined,Units,31.25638913542663
2009,Dwelling (%),Minimum Standard (HHSRS),Other Rural Area,,,,,,,Percentage (%),Undefined,Units,55.66526552203249
2009,Dwelling (%),Minimum Standard (HHSRS),,North,,,,,,Percentage (%),Undefined,Units,20.1152288421339
2009,Dwelling (%),Minimum Standard (HHSRS),,South East,,,,,,Percentage (%),Undefined,Units,16.9389475085471
