Year,Age at which FGM took place,Country of birth,Units,Local Authority,FGM type,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2015/16,,,Percentage,,,%,,,,0.0218656554349
2016/17,,,Percentage,,,%,,,,0.0236865118411058
2017/18,,,Percentage,,,%,,,,0.0223834057867969
2018/19,,,Percentage,,,%,,,,0.023111253105113
2015/16,Not Recorded,,Individuals,,,,,,,3060.0
2016/17,Not Recorded,,Individuals,,,,,,,2855.0
2017/18,Not Recorded,,Individuals,,,,,,,2730.0
2018/19,Not Recorded,,Individuals,,,,,,,2695.0
2015/16,Not Known,,Individuals,,,,,,,1235.0
2016/17,Not Known,,Individuals,,,,,,,1355.0
2017/18,Not Known,,Individuals,,,,,,,1230.0
2018/19,Not Known,,Individuals,,,,,,,1200.0
2015/16,under 1,,Individuals,,,,,,,305.0
2016/17,under 1,,Individuals,,,,,,,430.0
2017/18,under 1,,Individuals,,,,,,,390.0
2018/19,under 1,,Individuals,,,,,,,380.0
2015/16,1 to 4,,Individuals,,,,,,,450.0
2016/17,1 to 4,,Individuals,,,,,,,545.0
2017/18,1 to 4,,Individuals,,,,,,,505.0
2018/19,1 to 4,,Individuals,,,,,,,685.0
2015/16,5 to 9,,Individuals,,,,,,,825.0
2016/17,5 to 9,,Individuals,,,,,,,1050.0
2017/18,5 to 9,,Individuals,,,,,,,885.0
2018/19,5 to 9,,Individuals,,,,,,,805.0
2015/16,10 to 14,,Individuals,,,,,,,175.0
2016/17,10 to 14,,Individuals,,,,,,,235.0
2017/18,10 to 14,,Individuals,,,,,,,210.0
2018/19,10 to 14,,Individuals,,,,,,,170.0
2015/16,15 to 17,,Individuals,,,,,,,20.0
2016/17,15 to 17,,Individuals,,,,,,,30.0
2017/18,15 to 17,,Individuals,,,,,,,20.0
2018/19,15 to 17,,Individuals,,,,,,,25.0
2015/16,18 and over,,Individuals,,,,,,,130.0
2016/17,18 and over,,Individuals,,,,,,,160.0
2017/18,18 and over,,Individuals,,,,,,,295.0
2018/19,18 and over,,Individuals,,,,,,,455.0
2015/16,,Country of birth not recorded,Individuals,,,,,,,2225.0
2016/17,,Country of birth not recorded,Individuals,,,,,,,2070.0
2017/18,,Country of birth not recorded,Individuals,,,,,,,1690.0
2018/19,,Country of birth not recorded,Individuals,,,,,,,1580.0
2015/16,,Country of birth not known,Individuals,,,,,,,1135.0
2016/17,,Country of birth not known,Individuals,,,,,,,1200.0
2017/18,,Country of birth not known,Individuals,,,,,,,1045.0
2018/19,,Country of birth not known,Individuals,,,,,,,1120.0
2015/16,,Born in Eastern Africa,Individuals,,,,,,,1585.0
2016/17,,Born in Eastern Africa,Individuals,,,,,,,1915.0
2017/18,,Born in Eastern Africa,Individuals,,,,,,,1780.0
2018/19,,Born in Eastern Africa,Individuals,,,,,,,1920.0
2015/16,,Born in Northern Africa,Individuals,,,,,,,325.0
2016/17,,Born in Northern Africa,Individuals,,,,,,,420.0
2017/18,,Born in Northern Africa,Individuals,,,,,,,440.0
2018/19,,Born in Northern Africa,Individuals,,,,,,,540.0
2015/16,,Born in Western Africa,Individuals,,,,,,,665.0
2016/17,,Born in Western Africa,Individuals,,,,,,,665.0
2017/18,,Born in Western Africa,Individuals,,,,,,,805.0
2018/19,,Born in Western Africa,Individuals,,,,,,,745.0
2015/16,,Born elsewhere in Africa,Individuals,,,,,,,15.0
2016/17,,Born elsewhere in Africa,Individuals,,,,,,,25.0
2017/18,,Born elsewhere in Africa,Individuals,,,,,,,40.0
2018/19,,Born elsewhere in Africa,Individuals,,,,,,,15.0
2015/16,,Born in UK,Individuals,,,,,,,45.0
2016/17,,Born in UK,Individuals,,,,,,,120.0
2017/18,,Born in UK,Individuals,,,,,,,145.0
2018/19,,Born in UK,Individuals,,,,,,,150.0
2015/16,,Born in Western Asia,Individuals,,,,,,,135.0
2016/17,,Born in Western Asia,Individuals,,,,,,,175.0
2017/18,,Born in Western Asia,Individuals,,,,,,,235.0
2018/19,,Born in Western Asia,Individuals,,,,,,,240.0
2015/16,,Born elsewhere in Asia,Individuals,,,,,,,35.0
2016/17,,Born elsewhere in Asia,Individuals,,,,,,,60.0
2017/18,,Born elsewhere in Asia,Individuals,,,,,,,45.0
2018/19,,Born elsewhere in Asia,Individuals,,,,,,,70.0
2015/16,,Other country of birth,Individuals,,,,,,,20.0
2016/17,,Other country of birth,Individuals,,,,,,,25.0
2017/18,,Other country of birth,Individuals,,,,,,,35.0
2018/19,,Other country of birth,Individuals,,,,,,,35.0
2015/16,,,Individuals,,Not recorded,,,,,230.0
2016/17,,,Individuals,,Not recorded,,,,,280.0
2017/18,,,Individuals,,Not recorded,,,,,190.0
2018/19,,,Individuals,,Not recorded,,,,,250.0
2015/16,,,Individuals,,Not known,,,,,2655.0
2016/17,,,Individuals,,Not known,,,,,2740.0
2017/18,,,Individuals,,Not known,,,,,2620.0
2018/19,,,Individuals,,Not known,,,,,2365.0
2015/16,,,Individuals,,Type 1,,,,,1185.0
2016/17,,,Individuals,,Type 1,,,,,1315.0
2017/18,,,Individuals,,Type 1,,,,,1350.0
2018/19,,,Individuals,,Type 1,,,,,1435.0
2015/16,,,Individuals,,Type 2,,,,,1040.0
2016/17,,,Individuals,,Type 2,,,,,1075.0
