Year,Series,Sex,Unit measure,Unit multiplier,Observation status,Value
2015,Primary education,,Percentage (%),Units,Undefined,102.010498046875
2016,Primary education,,Percentage (%),Units,Undefined,100.882553100586
2017,Primary education,,Percentage (%),Units,Undefined,100.122863769531
2018,Primary education,,Percentage (%),Units,Undefined,100.597457885742
2017,Lower secondary education,,Percentage (%),Units,Undefined,100.895210266113
2018,Lower secondary education,,Percentage (%),Units,Undefined,101.393989562988
2018 to 2019,Upper secondary education,Boys,Percentage (%),Units,Undefined,61.0
2018 to 2019,Upper secondary education,Girls,Percentage (%),Units,Undefined,68.4
2018 to 2019,Upper secondary education,,Percentage (%),Units,Undefined,64.6
2017 to 2018,Upper secondary education,Boys,Percentage (%),Units,Undefined,60.5
2017 to 2018,Upper secondary education,Girls,Percentage (%),Units,Undefined,68.1
2017 to 2018,Upper secondary education,,Percentage (%),Units,Undefined,64.2
2016 to 2017,Upper secondary education,Boys,Percentage (%),Units,Undefined,60.3
2016 to 2017,Upper secondary education,Girls,Percentage (%),Units,Undefined,67.6
2016 to 2017,Upper secondary education,,Percentage (%),Units,Undefined,63.9
2015 to 2016,Upper secondary education,Boys,Percentage (%),Units,Undefined,59.0
2015 to 2016,Upper secondary education,Girls,Percentage (%),Units,Undefined,67.0
2015 to 2016,Upper secondary education,,Percentage (%),Units,Undefined,63.0
2014 to 2015,Upper secondary education,Boys,Percentage (%),Units,Undefined,55.2
2014 to 2015,Upper secondary education,Girls,Percentage (%),Units,Undefined,63.4
2014 to 2015,Upper secondary education,,Percentage (%),Units,Undefined,59.2
2013 to 2014,Upper secondary education,Boys,Percentage (%),Units,Undefined,54.5
2013 to 2014,Upper secondary education,Girls,Percentage (%),Units,Undefined,63.4
2013 to 2014,Upper secondary education,,Percentage (%),Units,Undefined,58.9
2012 to 2013,Upper secondary education,Boys,Percentage (%),Units,Undefined,56.5
2012 to 2013,Upper secondary education,Girls,Percentage (%),Units,Undefined,66.3
2012 to 2013,Upper secondary education,,Percentage (%),Units,Undefined,61.3
2011 to 2012,Upper secondary education,Boys,Percentage (%),Units,Undefined,54.7
2011 to 2012,Upper secondary education,Girls,Percentage (%),Units,Undefined,64.0
2011 to 2012,Upper secondary education,,Percentage (%),Units,Undefined,59.3
2010 to 2011,Upper secondary education,Boys,Percentage (%),Units,Undefined,55.2
2010 to 2011,Upper secondary education,Girls,Percentage (%),Units,Undefined,62.3
2010 to 2011,Upper secondary education,,Percentage (%),Units,Undefined,58.7
