Year,Series,Units,Unit multiplier,Observation status,Value
1990,Proportion of fish stocks that are overexploited,Percentage (%),Units,Normal value,42.1052631579
1991,Proportion of fish stocks that are overexploited,Percentage (%),Units,Normal value,43.85964912280701
1992,Proportion of fish stocks that are overexploited,Percentage (%),Units,Normal value,42.10526315789473
1993,Proportion of fish stocks that are overexploited,Percentage (%),Units,Normal value,52.63157894736842
1994,Proportion of fish stocks that are overexploited,Percentage (%),Units,Normal value,52.63157894736842
1995,Proportion of fish stocks that are overexploited,Percentage (%),Units,Normal value,56.14035087719298
1996,Proportion of fish stocks that are overexploited,Percentage (%),Units,Normal value,59.64912280701754
1997,Proportion of fish stocks that are overexploited,Percentage (%),Units,Normal value,54.38596491228071
1998,Proportion of fish stocks that are overexploited,Percentage (%),Units,Normal value,59.64912280701754
1999,Proportion of fish stocks that are overexploited,Percentage (%),Units,Normal value,63.1578947368421
2000,Proportion of fish stocks that are overexploited,Percentage (%),Units,Normal value,59.64912280701754
2001,Proportion of fish stocks that are overexploited,Percentage (%),Units,Normal value,61.40350877192983
2002,Proportion of fish stocks that are overexploited,Percentage (%),Units,Normal value,54.38596491228071
2003,Proportion of fish stocks that are overexploited,Percentage (%),Units,Normal value,50.877192982456144
2004,Proportion of fish stocks that are overexploited,Percentage (%),Units,Normal value,52.63157894736842
2005,Proportion of fish stocks that are overexploited,Percentage (%),Units,Normal value,56.14035087719298
2006,Proportion of fish stocks that are overexploited,Percentage (%),Units,Normal value,56.14035087719298
2007,Proportion of fish stocks that are overexploited,Percentage (%),Units,Normal value,56.14035087719298
2008,Proportion of fish stocks that are overexploited,Percentage (%),Units,Normal value,54.38596491228071
2009,Proportion of fish stocks that are overexploited,Percentage (%),Units,Normal value,54.38596491228071
2010,Proportion of fish stocks that are overexploited,Percentage (%),Units,Normal value,47.368421052631575
2011,Proportion of fish stocks that are overexploited,Percentage (%),Units,Normal value,42.10526315789473
2012,Proportion of fish stocks that are overexploited,Percentage (%),Units,Normal value,42.10526315789473
2013,Proportion of fish stocks that are overexploited,Percentage (%),Units,Normal value,31.57894736842105
2014,Proportion of fish stocks that are overexploited,Percentage (%),Units,Normal value,40.35087719298245
2015,Proportion of fish stocks that are overexploited,Percentage (%),Units,Normal value,35.08771929824561
2016,Proportion of fish stocks that are overexploited,Percentage (%),Units,Normal value,29.82456140350877
2017,Proportion of fish stocks that are overexploited,Percentage (%),Units,Normal value,35.08771929824561
2018,Proportion of fish stocks that are overexploited,Percentage (%),Units,Normal value,22.807017543859647
2019,Proportion of fish stocks that are overexploited,Percentage (%),Units,Normal value,26.31578947368421
1990,Proportion of fish stocks that are fully exploited,Percentage (%),Units,Normal value,0.0
1991,Proportion of fish stocks that are fully exploited,Percentage (%),Units,Normal value,1.7543859649122806
1992,Proportion of fish stocks that are fully exploited,Percentage (%),Units,Normal value,3.508771929824561
1993,Proportion of fish stocks that are fully exploited,Percentage (%),Units,Normal value,3.508771929824561
1994,Proportion of fish stocks that are fully exploited,Percentage (%),Units,Normal value,1.7543859649122806
1995,Proportion of fish stocks that are fully exploited,Percentage (%),Units,Normal value,3.508771929824561
1996,Proportion of fish stocks that are fully exploited,Percentage (%),Units,Normal value,1.7543859649122806
1997,Proportion of fish stocks that are fully exploited,Percentage (%),Units,Normal value,3.508771929824561
1998,Proportion of fish stocks that are fully exploited,Percentage (%),Units,Normal value,3.508771929824561
1999,Proportion of fish stocks that are fully exploited,Percentage (%),Units,Normal value,1.7543859649122806
2000,Proportion of fish stocks that are fully exploited,Percentage (%),Units,Normal value,3.508771929824561
2001,Proportion of fish stocks that are fully exploited,Percentage (%),Units,Normal value,3.508771929824561
2002,Proportion of fish stocks that are fully exploited,Percentage (%),Units,Normal value,5.263157894736842
2003,Proportion of fish stocks that are fully exploited,Percentage (%),Units,Normal value,5.263157894736842
2004,Proportion of fish stocks that are fully exploited,Percentage (%),Units,Normal value,5.263157894736842
2005,Proportion of fish stocks that are fully exploited,Percentage (%),Units,Normal value,7.017543859649122
2006,Proportion of fish stocks that are fully exploited,Percentage (%),Units,Normal value,8.771929824561402
2007,Proportion of fish stocks that are fully exploited,Percentage (%),Units,Normal value,3.508771929824561
2008,Proportion of fish stocks that are fully exploited,Percentage (%),Units,Normal value,3.508771929824561
2009,Proportion of fish stocks that are fully exploited,Percentage (%),Units,Normal value,3.508771929824561
2010,Proportion of fish stocks that are fully exploited,Percentage (%),Units,Normal value,3.508771929824561
2011,Proportion of fish stocks that are fully exploited,Percentage (%),Units,Normal value,8.771929824561402
2012,Proportion of fish stocks that are fully exploited,Percentage (%),Units,Normal value,5.263157894736842
2013,Proportion of fish stocks that are fully exploited,Percentage (%),Units,Normal value,8.771929824561402
2014,Proportion of fish stocks that are fully exploited,Percentage (%),Units,Normal value,5.263157894736842
2015,Proportion of fish stocks that are fully exploited,Percentage (%),Units,Normal value,7.017543859649122
2016,Proportion of fish stocks that are fully exploited,Percentage (%),Units,Normal value,8.771929824561402
2017,Proportion of fish stocks that are fully exploited,Percentage (%),Units,Normal value,8.771929824561402
2018,Proportion of fish stocks that are fully exploited,Percentage (%),Units,Normal value,8.771929824561402
2019,Proportion of fish stocks that are fully exploited,Percentage (%),Units,Normal value,7.017543859649122
1990,Proportion of fish stocks that are not fully exploited,Percentage (%),Units,Normal value,8.771929824561402
1991,Proportion of fish stocks that are not fully exploited,Percentage (%),Units,Normal value,8.771929824561402
1992,Proportion of fish stocks that are not fully exploited,Percentage (%),Units,Normal value,10.526315789473683
1993,Proportion of fish stocks that are not fully exploited,Percentage (%),Units,Normal value,7.017543859649122
1994,Proportion of fish stocks that are not fully exploited,Percentage (%),Units,Normal value,10.526315789473683
1995,Proportion of fish stocks that are not fully exploited,Percentage (%),Units,Normal value,3.508771929824561
1996,Proportion of fish stocks that are not fully exploited,Percentage (%),Units,Normal value,5.263157894736842
1997,Proportion of fish stocks that are not fully exploited,Percentage (%),Units,Normal value,5.263157894736842
1998,Proportion of fish stocks that are not fully exploited,Percentage (%),Units,Normal value,3.508771929824561
1999,Proportion of fish stocks that are not fully exploited,Percentage (%),Units,Normal value,3.508771929824561
2000,Proportion of fish stocks that are not fully exploited,Percentage (%),Units,Normal value,5.263157894736842
2001,Proportion of fish stocks that are not fully exploited,Percentage (%),Units,Normal value,7.017543859649122
2002,Proportion of fish stocks that are not fully exploited,Percentage (%),Units,Normal value,12.280701754385964
2003,Proportion of fish stocks that are not fully exploited,Percentage (%),Units,Normal value,19.29824561403509
2004,Proportion of fish stocks that are not fully exploited,Percentage (%),Units,Normal value,15.789473684210526
2005,Proportion of fish stocks that are not fully exploited,Percentage (%),Units,Normal value,12.280701754385964
2006,Proportion of fish stocks that are not fully exploited,Percentage (%),Units,Normal value,10.526315789473683
2007,Proportion of fish stocks that are not fully exploited,Percentage (%),Units,Normal value,15.789473684210526
2008,Proportion of fish stocks that are not fully exploited,Percentage (%),Units,Normal value,17.543859649122805
2009,Proportion of fish stocks that are not fully exploited,Percentage (%),Units,Normal value,19.29824561403509
2010,Proportion of fish stocks that are not fully exploited,Percentage (%),Units,Normal value,24.561403508771928
2011,Proportion of fish stocks that are not fully exploited,Percentage (%),Units,Normal value,24.561403508771928
2012,Proportion of fish stocks that are not fully exploited,Percentage (%),Units,Normal value,29.82456140350877
2013,Proportion of fish stocks that are not fully exploited,Percentage (%),Units,Normal value,38.59649122807017
2014,Proportion of fish stocks that are not fully exploited,Percentage (%),Units,Normal value,33.33333333333333
2015,Proportion of fish stocks that are not fully exploited,Percentage (%),Units,Normal value,36.84210526315789
2016,Proportion of fish stocks that are not fully exploited,Percentage (%),Units,Normal value,40.35087719298245
2017,Proportion of fish stocks that are not fully exploited,Percentage (%),Units,Normal value,35.08771929824561
2018,Proportion of fish stocks that are not fully exploited,Percentage (%),Units,Normal value,47.368421052631575
2019,Proportion of fish stocks that are not fully exploited,Percentage (%),Units,Normal value,43.85964912280701
1990,Proportion of fish stocks with unknown level of exploitation,Percentage (%),Units,Normal value,49.122807017543856
1991,Proportion of fish stocks with unknown level of exploitation,Percentage (%),Units,Normal value,45.614035087719294
1992,Proportion of fish stocks with unknown level of exploitation,Percentage (%),Units,Normal value,43.85964912280701
1993,Proportion of fish stocks with unknown level of exploitation,Percentage (%),Units,Normal value,36.84210526315789
1994,Proportion of fish stocks with unknown level of exploitation,Percentage (%),Units,Normal value,35.08771929824561
1995,Proportion of fish stocks with unknown level of exploitation,Percentage (%),Units,Normal value,36.84210526315789
1996,Proportion of fish stocks with unknown level of exploitation,Percentage (%),Units,Normal value,33.33333333333333
1997,Proportion of fish stocks with unknown level of exploitation,Percentage (%),Units,Normal value,36.84210526315789
1998,Proportion of fish stocks with unknown level of exploitation,Percentage (%),Units,Normal value,33.33333333333333
1999,Proportion of fish stocks with unknown level of exploitation,Percentage (%),Units,Normal value,31.57894736842105
2000,Proportion of fish stocks with unknown level of exploitation,Percentage (%),Units,Normal value,31.57894736842105
2001,Proportion of fish stocks with unknown level of exploitation,Percentage (%),Units,Normal value,28.07017543859649
2002,Proportion of fish stocks with unknown level of exploitation,Percentage (%),Units,Normal value,28.07017543859649
2003,Proportion of fish stocks with unknown level of exploitation,Percentage (%),Units,Normal value,24.561403508771928
2004,Proportion of fish stocks with unknown level of exploitation,Percentage (%),Units,Normal value,26.31578947368421
2005,Proportion of fish stocks with unknown level of exploitation,Percentage (%),Units,Normal value,24.561403508771928
2006,Proportion of fish stocks with unknown level of exploitation,Percentage (%),Units,Normal value,24.561403508771928
2007,Proportion of fish stocks with unknown level of exploitation,Percentage (%),Units,Normal value,24.561403508771928
2008,Proportion of fish stocks with unknown level of exploitation,Percentage (%),Units,Normal value,24.561403508771928
2009,Proportion of fish stocks with unknown level of exploitation,Percentage (%),Units,Normal value,22.807017543859647
2010,Proportion of fish stocks with unknown level of exploitation,Percentage (%),Units,Normal value,24.561403508771928
2011,Proportion of fish stocks with unknown level of exploitation,Percentage (%),Units,Normal value,24.561403508771928
2012,Proportion of fish stocks with unknown level of exploitation,Percentage (%),Units,Normal value,22.807017543859647
2013,Proportion of fish stocks with unknown level of exploitation,Percentage (%),Units,Normal value,21.052631578947366
2014,Proportion of fish stocks with unknown level of exploitation,Percentage (%),Units,Normal value,21.052631578947366
2015,Proportion of fish stocks with unknown level of exploitation,Percentage (%),Units,Normal value,21.052631578947366
2016,Proportion of fish stocks with unknown level of exploitation,Percentage (%),Units,Normal value,21.052631578947366
2017,Proportion of fish stocks with unknown level of exploitation,Percentage (%),Units,Normal value,21.052631578947366
2018,Proportion of fish stocks with unknown level of exploitation,Percentage (%),Units,Normal value,21.052631578947366
2019,Proportion of fish stocks with unknown level of exploitation,Percentage (%),Units,Normal value,22.807017543859647
1990,Proportion of fish stocks that are not within biologically sustainable levels,Percentage (%),Units,Normal value,22.807
1991,Proportion of fish stocks that are not within biologically sustainable levels,Percentage (%),Units,Normal value,24.561
1992,Proportion of fish stocks that are not within biologically sustainable levels,Percentage (%),Units,Normal value,24.561
1993,Proportion of fish stocks that are not within biologically sustainable levels,Percentage (%),Units,Normal value,28.07
1994,Proportion of fish stocks that are not within biologically sustainable levels,Percentage (%),Units,Normal value,26.316
1995,Proportion of fish stocks that are not within biologically sustainable levels,Percentage (%),Units,Normal value,29.825
1996,Proportion of fish stocks that are not within biologically sustainable levels,Percentage (%),Units,Normal value,35.088
1997,Proportion of fish stocks that are not within biologically sustainable levels,Percentage (%),Units,Normal value,29.825
1998,Proportion of fish stocks that are not within biologically sustainable levels,Percentage (%),Units,Normal value,28.07
1999,Proportion of fish stocks that are not within biologically sustainable levels,Percentage (%),Units,Normal value,29.825
2000,Proportion of fish stocks that are not within biologically sustainable levels,Percentage (%),Units,Normal value,36.842
2001,Proportion of fish stocks that are not within biologically sustainable levels,Percentage (%),Units,Normal value,31.579
2002,Proportion of fish stocks that are not within biologically sustainable levels,Percentage (%),Units,Normal value,35.088
2003,Proportion of fish stocks that are not within biologically sustainable levels,Percentage (%),Units,Normal value,29.825
2004,Proportion of fish stocks that are not within biologically sustainable levels,Percentage (%),Units,Normal value,33.333
2005,Proportion of fish stocks that are not within biologically sustainable levels,Percentage (%),Units,Normal value,35.088
2006,Proportion of fish stocks that are not within biologically sustainable levels,Percentage (%),Units,Normal value,33.333
2007,Proportion of fish stocks that are not within biologically sustainable levels,Percentage (%),Units,Normal value,36.842
2008,Proportion of fish stocks that are not within biologically sustainable levels,Percentage (%),Units,Normal value,31.579
2009,Proportion of fish stocks that are not within biologically sustainable levels,Percentage (%),Units,Normal value,28.07
