Year,Death classification,Country of birth,Age,Deprivation quintile,Ethnicity,Observation status,Value
2003-05,,,,,,Undefined,13.95
2004-06,,,,,,Undefined,12.56
2005-07,,,,,,Undefined,11.66
2006-08,,,,,,Undefined,11.39
2007-09,,,,,,Undefined,10.89
2008-10,,,,,,Undefined,11.03
2009-11,,,,,,Undefined,10.63
2010-12,,,,,,Undefined,10.12
2011-13,,,,,,Undefined,9.02
2012-14,,,,,,Undefined,8.54
2013-15,,,,,,Undefined,8.76
2014-16,,,,,,Undefined,9.78
2003-05,Direct,,,,,Undefined,6.76
2004-06,Direct,,,,,Undefined,5.73
2005-07,Direct,,,,,Undefined,5.4
2006-08,Direct,,,,,Undefined,5.24
2007-09,Direct,,,,,Undefined,4.8
2008-10,Direct,,,,,Undefined,4.18
2009-11,Direct,,,,,Undefined,3.78
2010-12,Direct,,,,,Undefined,3.71
2011-13,Direct,,,,,Undefined,3.5
2012-14,Direct,,,,,Undefined,3.46
2013-15,Direct,,,,,Undefined,3.82
2014-16,Direct,,,,,Undefined,4.26
2003-05,Indirect,,,,,Undefined,7.19
2004-06,Indirect,,,,,Undefined,6.83
2005-07,Indirect,,,,,Undefined,6.26
2006-08,Indirect,,,,,Undefined,6.15
2007-09,Indirect,,,,,Undefined,6.09
2008-10,Indirect,,,,,Undefined,6.85
2009-11,Indirect,,,,,Undefined,6.85
2010-12,Indirect,,,,,Undefined,6.41
2011-13,Indirect,,,,,Undefined,5.52
2012-14,Indirect,,,,,Undefined,5.08
2013-15,Indirect,,,,,Undefined,4.94
2014-16,Indirect,,,,,Undefined,5.52
2009-11,,,19 and under,,,Undefined,10.36
2009-11,,,20 to 24,,,Undefined,7.98
2009-11,,,25 to 29,,,Undefined,8.05
2009-11,,,30 to 34,,,Undefined,10.09
2009-11,,,35 to 39,,,Undefined,15.53
2009-11,,,40 and over,,,Undefined,26.3
2010-12,,,19 and under,,,Undefined,8.03
2010-12,,,20 to 24,,,Undefined,6.72
2010-12,,,25 to 29,,,Undefined,9.01
2010-12,,,30 to 34,,,Undefined,9.99
2010-12,,,35 to 39,,,Undefined,13.16
2010-12,,,40 and over,,,Undefined,25.48
2011-13,,,19 and under,,,Undefined,7.2
2011-13,,,20 to 24,,,Undefined,5.4
2011-13,,,25 to 29,,,Undefined,7.6
2011-13,,,30 to 34,,,Undefined,9.0
2011-13,,,35 to 39,,,Undefined,13.6
2011-13,,,40 and over,,,Undefined,19.9
2012-14,,,19 and under,,,Undefined,5.0
2012-14,,,20 to 24,,,Undefined,5.95
2012-14,,,25 to 29,,,Undefined,7.14
2012-14,,,30 to 34,,,Undefined,7.88
2012-14,,,35 to 39,,,Undefined,13.62
2012-14,,,40 and over,,,Undefined,17.88
2013-15,,,19 and under,,,Undefined,9.0
2013-15,,,20 to 24,,,Undefined,6.37
2013-15,,,25 to 29,,,Undefined,6.9
2013-15,,,30 to 34,,,Undefined,7.72
2013-15,,,35 to 39,,,Undefined,13.39
2013-15,,,40 and over,,,Undefined,20.17
2014-16,,,19 and under,,,Undefined,11.1
2014-16,,,20 to 24,,,Undefined,7.26
2014-16,,,25 to 29,,,Undefined,8.14
2014-16,,,30 to 34,,,Undefined,8.32
2014-16,,,35 to 39,,,Undefined,14.16
2014-16,,,40 and over,,,Undefined,22.17
2009-11,,,,Quintile 1 (least deprived),,Undefined,7.52
2009-11,,,,Quintile 2,,Undefined,9.29
2009-11,,,,Quintile 3,,Undefined,10.23
2009-11,,,,Quintile 4,,Undefined,12.64
2009-11,,,,Quintile 5 (most deprived),,Undefined,13.07
2010-12,,,,Quintile 1 (least deprived),,Undefined,9.14
2010-12,,,,Quintile 2,,Undefined,8.25
2010-12,,,,Quintile 3,,Undefined,8.76
2010-12,,,,Quintile 4,,Undefined,10.28
2010-12,,,,Quintile 5 (most deprived),,Undefined,12.22
2011-13,,,,Quintile 1 (least deprived),,Undefined,7.6
