Year,Series,Country income classification,Sector,Type of study,Units,Observation status,Value
2009,"Total official flows for scholarships, by recipient countries",LDCs,,,GBP (£ thousands),Normal value,33.47
2010,"Total official flows for scholarships, by recipient countries",LDCs,,,GBP (£ thousands),Normal value,30.57
2011,"Total official flows for scholarships, by recipient countries",LDCs,,,GBP (£ thousands),Normal value,1098.9
2012,"Total official flows for scholarships, by recipient countries",LDCs,,,GBP (£ thousands),Normal value,3072.08
2013,"Total official flows for scholarships, by recipient countries",LDCs,,,GBP (£ thousands),Normal value,2457.87
2014,"Total official flows for scholarships, by recipient countries",LDCs,,,GBP (£ thousands),Normal value,2157.01
2015,"Total official flows for scholarships, by recipient countries",LDCs,,,GBP (£ thousands),Normal value,5050.66
2016,"Total official flows for scholarships, by recipient countries",LDCs,,,GBP (£ thousands),Normal value,82.57
2009,"Total official flows for scholarships, by recipient countries",LDCs,,,Constant USD ($ thousands),Normal value,53.851
2010,"Total official flows for scholarships, by recipient countries",LDCs,,,Constant USD ($ thousands),Normal value,48.517
2011,"Total official flows for scholarships, by recipient countries",LDCs,,,Constant USD ($ thousands),Normal value,1708.72
2012,"Total official flows for scholarships, by recipient countries",LDCs,,,Constant USD ($ thousands),Normal value,4701.113
2013,"Total official flows for scholarships, by recipient countries",LDCs,,,Constant USD ($ thousands),Normal value,3678.844
2014,"Total official flows for scholarships, by recipient countries",LDCs,,,Constant USD ($ thousands),Normal value,3177.986
2015,"Total official flows for scholarships, by recipient countries",LDCs,,,Constant USD ($ thousands),Normal value,7403.427
2016,"Total official flows for scholarships, by recipient countries",LDCs,,,Constant USD ($ thousands),Normal value,118.776
2017,"Total official flows for scholarships, by recipient countries",LDCs,,,GBP (£ thousands),Normal value,8603.584
2018,"Total official flows for scholarships, by recipient countries",LDCs,,,GBP (£ thousands),Normal value,11063.35
2019,"Total official flows for scholarships, by recipient countries",LDCs,,,GBP (£ thousands),Normal value,11724.012
2020,"Total official flows for scholarships, by recipient countries",LDCs,,,GBP (£ thousands),Normal value,7962.719
2021,"Total official flows for scholarships, by recipient countries",LDCs,,,GBP (£ thousands),Normal value,11254.644
2017,"Total official flows for scholarships, by recipient countries",LDCs,,,Constant USD ($ thousands),Normal value,12155.066
2018,"Total official flows for scholarships, by recipient countries",LDCs,,,Constant USD ($ thousands),Normal value,15323.871
2019,"Total official flows for scholarships, by recipient countries",LDCs,,,Constant USD ($ thousands),Normal value,15918.189
2020,"Total official flows for scholarships, by recipient countries",LDCs,,,Constant USD ($ thousands),Normal value,10212.542
2021,"Total official flows for scholarships, by recipient countries",LDCs,,,Constant USD ($ thousands),Normal value,14319.611
2009,"Total official flows for scholarships, by recipient countries",LMICs,,,GBP (£ thousands),Normal value,1.11
2010,"Total official flows for scholarships, by recipient countries",LMICs,,,GBP (£ thousands),Normal value,9.14
2011,"Total official flows for scholarships, by recipient countries",LMICs,,,GBP (£ thousands),Normal value,2815.51
2012,"Total official flows for scholarships, by recipient countries",LMICs,,,GBP (£ thousands),Normal value,7186.1
2013,"Total official flows for scholarships, by recipient countries",LMICs,,,GBP (£ thousands),Normal value,6090.38
2014,"Total official flows for scholarships, by recipient countries",LMICs,,,GBP (£ thousands),Normal value,6876.64
2015,"Total official flows for scholarships, by recipient countries",LMICs,,,GBP (£ thousands),Normal value,16174.48
2016,"Total official flows for scholarships, by recipient countries",LMICs,,,GBP (£ thousands),Normal value,2612.1
2009,"Total official flows for scholarships, by recipient countries",LMICs,,,Constant USD ($ thousands),Normal value,1.786
2010,"Total official flows for scholarships, by recipient countries",LMICs,,,Constant USD ($ thousands),Normal value,14.506
2011,"Total official flows for scholarships, by recipient countries",LMICs,,,Constant USD ($ thousands),Normal value,4377.939
2012,"Total official flows for scholarships, by recipient countries",LMICs,,,Constant USD ($ thousands),Normal value,10996.676
2013,"Total official flows for scholarships, by recipient countries",LMICs,,,Constant USD ($ thousands),Normal value,9115.842
2014,"Total official flows for scholarships, by recipient countries",LMICs,,,Constant USD ($ thousands),Normal value,10131.556
2015,"Total official flows for scholarships, by recipient countries",LMICs,,,Constant USD ($ thousands),Normal value,23709.096
2016,"Total official flows for scholarships, by recipient countries",LMICs,,,Constant USD ($ thousands),Normal value,3757.47
2017,"Total official flows for scholarships, by recipient countries",LMICs,,,GBP (£ thousands),Normal value,26449.826
2018,"Total official flows for scholarships, by recipient countries",LMICs,,,GBP (£ thousands),Normal value,27340.516
2019,"Total official flows for scholarships, by recipient countries",LMICs,,,GBP (£ thousands),Normal value,24590.677
2020,"Total official flows for scholarships, by recipient countries",LMICs,,,GBP (£ thousands),Normal value,22095.628
2021,"Total official flows for scholarships, by recipient countries",LMICs,,,GBP (£ thousands),Normal value,21737.72
2017,"Total official flows for scholarships, by recipient countries",LMICs,,,Constant USD ($ thousands),Normal value,37368.077
2018,"Total official flows for scholarships, by recipient countries",LMICs,,,Constant USD ($ thousands),Normal value,37869.413
2019,"Total official flows for scholarships, by recipient countries",LMICs,,,Constant USD ($ thousands),Normal value,33387.806
2020,"Total official flows for scholarships, by recipient countries",LMICs,,,Constant USD ($ thousands),Normal value,28338.627
2021,"Total official flows for scholarships, by recipient countries",LMICs,,,Constant USD ($ thousands),Normal value,27657.534
2010,"Total official flows for scholarships, by recipient countries",Other LICs,,,GBP (£ thousands),Normal value,36.63
2011,"Total official flows for scholarships, by recipient countries",Other LICs,,,GBP (£ thousands),Normal value,354.94
2012,"Total official flows for scholarships, by recipient countries",Other LICs,,,GBP (£ thousands),Normal value,745.08
2013,"Total official flows for scholarships, by recipient countries",Other LICs,,,GBP (£ thousands),Normal value,570.43
2014,"Total official flows for scholarships, by recipient countries",Other LICs,,,GBP (£ thousands),Normal value,429.25
2015,"Total official flows for scholarships, by recipient countries",Other LICs,,,GBP (£ thousands),Normal value,1558.87
2010,"Total official flows for scholarships, by recipient countries",Other LICs,,,Constant USD ($ thousands),Normal value,58.135
2011,"Total official flows for scholarships, by recipient countries",Other LICs,,,Constant USD ($ thousands),Normal value,551.909
2012,"Total official flows for scholarships, by recipient countries",Other LICs,,,Constant USD ($ thousands),Normal value,1140.174
2013,"Total official flows for scholarships, by recipient countries",Other LICs,,,Constant USD ($ thousands),Normal value,853.797
2014,"Total official flows for scholarships, by recipient countries",Other LICs,,,Constant USD ($ thousands),Normal value,632.427
