Year,Region,Local authority,Age,Main method of contraception,Type of contraception,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2014/15,,,15 and under,User dependent,Contraceptive patch,Normal value,Thousands,Number,,0.48
2014/15,,,16 to 17,User dependent,Contraceptive patch,Normal value,Thousands,Number,,1.606
2014/15,,,18 to 19,User dependent,Contraceptive patch,Normal value,Thousands,Number,,2.229
2014/15,,,20 to 24,User dependent,Contraceptive patch,Normal value,Thousands,Number,,4.823
2014/15,,,25 to 34,User dependent,Contraceptive patch,Normal value,Thousands,Number,,3.923
2014/15,,,35 to 44,User dependent,Contraceptive patch,Normal value,Thousands,Number,,0.669
2014/15,,,45 and over,User dependent,Contraceptive patch,Normal value,Thousands,Number,,0.056
2014/15,,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,,13.786
2015/16,,,15 and under,User dependent,Contraceptive patch,Normal value,Thousands,Number,,0.399
2015/16,,,16 to 17,User dependent,Contraceptive patch,Normal value,Thousands,Number,,1.407
2015/16,,,18 to 19,User dependent,Contraceptive patch,Normal value,Thousands,Number,,2.227
2015/16,,,20 to 24,User dependent,Contraceptive patch,Normal value,Thousands,Number,,4.963
2015/16,,,25 to 34,User dependent,Contraceptive patch,Normal value,Thousands,Number,,4.169
2015/16,,,35 to 44,User dependent,Contraceptive patch,Normal value,Thousands,Number,,0.726
2015/16,,,45 and over,User dependent,Contraceptive patch,Normal value,Thousands,Number,,0.07
2015/16,,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,,13.962
2016/17,,,15 and under,User dependent,Contraceptive patch,Normal value,Thousands,Number,,0.298
2016/17,,,16 to 17,User dependent,Contraceptive patch,Normal value,Thousands,Number,,1.341
2016/17,,,18 to 19,User dependent,Contraceptive patch,Normal value,Thousands,Number,,2.106
2016/17,,,20 to 24,User dependent,Contraceptive patch,Normal value,Thousands,Number,,5.022
2016/17,,,25 to 34,User dependent,Contraceptive patch,Normal value,Thousands,Number,,4.292
2016/17,,,35 to 44,User dependent,Contraceptive patch,Normal value,Thousands,Number,,0.734
2016/17,,,45 and over,User dependent,Contraceptive patch,Normal value,Thousands,Number,,0.061
2016/17,,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,,13.854
2017/18,,,15 and under,User dependent,Contraceptive patch,Normal value,Thousands,Number,,0.3
2017/18,,,16 to 17,User dependent,Contraceptive patch,Normal value,Thousands,Number,,1.092
2017/18,,,18 to 19,User dependent,Contraceptive patch,Normal value,Thousands,Number,,1.83
2017/18,,,20 to 24,User dependent,Contraceptive patch,Normal value,Thousands,Number,,4.74
2017/18,,,25 to 34,User dependent,Contraceptive patch,Normal value,Thousands,Number,,4.212
2017/18,,,35 to 44,User dependent,Contraceptive patch,Normal value,Thousands,Number,,0.762
2017/18,,,45 and over,User dependent,Contraceptive patch,Normal value,Thousands,Number,,0.052
2017/18,,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,,12.989
2018/19,,,15 and under,User dependent,Contraceptive patch,Normal value,Thousands,Number,,0.249
2018/19,,,16 to 17,User dependent,Contraceptive patch,Normal value,Thousands,Number,,1.023
2018/19,,,18 to 19,User dependent,Contraceptive patch,Normal value,Thousands,Number,,1.658
2018/19,,,20 to 24,User dependent,Contraceptive patch,Normal value,Thousands,Number,,4.613
2018/19,,,25 to 34,User dependent,Contraceptive patch,Normal value,Thousands,Number,,4.502
2018/19,,,35 to 44,User dependent,Contraceptive patch,Normal value,Thousands,Number,,0.805
2018/19,,,45 and over,User dependent,Contraceptive patch,Normal value,Thousands,Number,,0.055
2018/19,,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,,12.905
2019/20,,,15 and under,User dependent,Contraceptive patch,Normal value,Thousands,Number,,0.327
2019/20,,,16 to 17,User dependent,Contraceptive patch,Normal value,Thousands,Number,,1.119
2019/20,,,18 to 19,User dependent,Contraceptive patch,Normal value,Thousands,Number,,1.761
2019/20,,,20 to 24,User dependent,Contraceptive patch,Normal value,Thousands,Number,,4.524
2019/20,,,25 to 34,User dependent,Contraceptive patch,Normal value,Thousands,Number,,4.262
2019/20,,,35 to 44,User dependent,Contraceptive patch,Normal value,Thousands,Number,,0.795
2019/20,,,45 and over,User dependent,Contraceptive patch,Normal value,Thousands,Number,,0.06
2019/20,,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,,12.848
2019/20,North East,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.37
2019/20,North West,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,2.355
2019/20,Yorkshire and The Humber,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.79
2019/20,East Midlands,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000004,0.67
2019/20,West Midlands,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000005,1.295
2019/20,East of England,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000006,0.925
2019/20,London,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,4.305
2019/20,South East,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,1.255
2019/20,South West,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000009,0.55
2019/20,North East,County Durham,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.055
2019/20,North East,Gateshead,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.035
2019/20,North East,Hartlepool,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.035
2019/20,North East,Middlesbrough,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.015
