Year,Urban or Rural,Observation status,Unit multiplier,Unit measure,Value
1990,,Undefined,Units,Percentage (%),100.0
1991,,Undefined,Units,Percentage (%),100.0
1992,,Undefined,Units,Percentage (%),100.0
1993,,Undefined,Units,Percentage (%),100.0
1994,,Undefined,Units,Percentage (%),100.0
1995,,Undefined,Units,Percentage (%),100.0
1996,,Undefined,Units,Percentage (%),100.0
1997,,Undefined,Units,Percentage (%),100.0
1998,,Undefined,Units,Percentage (%),100.0
1999,,Undefined,Units,Percentage (%),100.0
2000,,Undefined,Units,Percentage (%),100.0
2001,,Undefined,Units,Percentage (%),100.0
2002,,Undefined,Units,Percentage (%),100.0
2003,,Undefined,Units,Percentage (%),100.0
2004,,Undefined,Units,Percentage (%),100.0
2005,,Undefined,Units,Percentage (%),100.0
2006,,Undefined,Units,Percentage (%),100.0
2007,,Undefined,Units,Percentage (%),100.0
2008,,Undefined,Units,Percentage (%),100.0
2009,,Undefined,Units,Percentage (%),100.0
2010,,Undefined,Units,Percentage (%),100.0
2011,,Undefined,Units,Percentage (%),100.0
2012,,Undefined,Units,Percentage (%),100.0
2013,,Undefined,Units,Percentage (%),100.0
2014,,Undefined,Units,Percentage (%),100.0
2015,,Undefined,Units,Percentage (%),100.0
2016,,Undefined,Units,Percentage (%),100.0
2017,,Undefined,Units,Percentage (%),100.0
2018,,Undefined,Units,Percentage (%),100.0
1990,Urban,Undefined,Units,Percentage (%),99.8986892700195
1991,Urban,Undefined,Units,Percentage (%),99.9480056762695
1992,Urban,Undefined,Units,Percentage (%),99.9824676513672
1993,Urban,Undefined,Units,Percentage (%),99.997200012207
1994,Urban,Undefined,Units,Percentage (%),100.0
1995,Urban,Undefined,Units,Percentage (%),100.0
1996,Urban,Undefined,Units,Percentage (%),100.0
1997,Urban,Undefined,Units,Percentage (%),100.0
1998,Urban,Undefined,Units,Percentage (%),99.9996032714844
1999,Urban,Undefined,Units,Percentage (%),99.9938659667969
2000,Urban,Undefined,Units,Percentage (%),99.9709625244141
2001,Urban,Undefined,Units,Percentage (%),99.9254608154297
2002,Urban,Undefined,Units,Percentage (%),99.8642807006836
2003,Urban,Undefined,Units,Percentage (%),99.811767578125
2004,Urban,Undefined,Units,Percentage (%),99.7770462036133
2005,Urban,Undefined,Units,Percentage (%),99.7654571533203
2006,Urban,Undefined,Units,Percentage (%),99.7746963500977
2007,Urban,Undefined,Units,Percentage (%),99.8005142211914
2008,Urban,Undefined,Units,Percentage (%),99.8386764526367
2009,Urban,Undefined,Units,Percentage (%),99.8849487304688
2010,Urban,Undefined,Units,Percentage (%),99.9330368041992
2011,Urban,Undefined,Units,Percentage (%),99.9709091186523
2012,Urban,Undefined,Units,Percentage (%),99.9921569824219
2013,Urban,Undefined,Units,Percentage (%),99.9990539550781
2014,Urban,Undefined,Units,Percentage (%),100.0
2015,Urban,Undefined,Units,Percentage (%),100.0
2016,Urban,Undefined,Units,Percentage (%),100.0
2017,Urban,Undefined,Units,Percentage (%),100.0
2018,Urban,Undefined,Units,Percentage (%),100.0
1990,Rural,Undefined,Units,Percentage (%),100.0
1991,Rural,Undefined,Units,Percentage (%),100.0
1992,Rural,Undefined,Units,Percentage (%),100.0
1993,Rural,Undefined,Units,Percentage (%),100.0
1994,Rural,Undefined,Units,Percentage (%),100.0
1995,Rural,Undefined,Units,Percentage (%),100.0
1996,Rural,Undefined,Units,Percentage (%),100.0
1997,Rural,Undefined,Units,Percentage (%),100.0
1998,Rural,Undefined,Units,Percentage (%),100.0
1999,Rural,Undefined,Units,Percentage (%),100.0
2000,Rural,Undefined,Units,Percentage (%),100.0
2001,Rural,Undefined,Units,Percentage (%),100.0
2002,Rural,Undefined,Units,Percentage (%),100.0
2003,Rural,Undefined,Units,Percentage (%),100.0
2004,Rural,Undefined,Units,Percentage (%),100.0
2005,Rural,Undefined,Units,Percentage (%),100.0
2006,Rural,Undefined,Units,Percentage (%),100.0
2007,Rural,Undefined,Units,Percentage (%),100.0
2008,Rural,Undefined,Units,Percentage (%),100.0
2009,Rural,Undefined,Units,Percentage (%),100.0
2010,Rural,Undefined,Units,Percentage (%),100.0
2011,Rural,Undefined,Units,Percentage (%),100.0
2012,Rural,Undefined,Units,Percentage (%),100.0
2013,Rural,Undefined,Units,Percentage (%),100.0
2014,Rural,Undefined,Units,Percentage (%),100.0
2015,Rural,Undefined,Units,Percentage (%),100.0
2016,Rural,Undefined,Units,Percentage (%),100.0
2017,Rural,Undefined,Units,Percentage (%),100.0
2018,Rural,Undefined,Units,Percentage (%),100.0
