Year,Units,Value
2000,"Incidence per 100,000",3.47620236354589
2001,"Incidence per 100,000",3.467934295
2002,"Incidence per 100,000",3.2763026460000004
2003,"Incidence per 100,000",2.8874837139999996
2004,"Incidence per 100,000",2.76895567
2005,"Incidence per 100,000",2.9033342
2006,"Incidence per 100,000",2.890159156
2007,"Incidence per 100,000",2.524498892
2008,"Incidence per 100,000",2.215975078
2009,"Incidence per 100,000",2.401201404
2010,"Incidence per 100,000",2.805949697
2011,"Incidence per 100,000",2.649912855
2012,"Incidence per 100,000",2.163095518
2013,"Incidence per 100,000",2.3414454559999998
2014,"Incidence per 100,000",2.45522998
2015,"Incidence per 100,000",2.1502073409999998
2016,"Incidence per 100,000",2.464656251
2017,"Incidence per 100,000",2.7134975561638304
2014,"Incidence per 100,000",2.4490395430408
2015,"Incidence per 100,000",2.13638346433669
2016,"Incidence per 100,000",2.45704160552877
2017,"Incidence per 100,000",2.6922983565063
2014,"Incidence per 100,000",2.45523180484368
2015,"Incidence per 100,000",2.15020621859911
2016,"Incidence per 100,000",2.46465797752359
2017,"Incidence per 100,000",2.7134975561638304
2000,Number of cases,2047.0
2001,Number of cases,2044.0
2002,Number of cases,1940.0
2003,Number of cases,1720.0
2004,Number of cases,1656.0
2005,Number of cases,1753.0
2006,Number of cases,1754.0
2007,Number of cases,1547.0
2008,Number of cases,1370.0
2009,Number of cases,1495.0
2010,Number of cases,1759.0
2011,Number of cases,1673.0
2012,Number of cases,1377.0
2013,Number of cases,1501.0
2014,Number of cases,1586.0
2015,Number of cases,1400.0
2016,Number of cases,1618.0
2017,Number of cases,1792.0
2014,Number of cases,1582.0
2015,Number of cases,1391.0
2016,Number of cases,1613.0
2017,Number of cases,1778.0
2014,Number of cases,1586.0
2015,Number of cases,1400.0
2016,Number of cases,1618.0
2017,Number of cases,1792.0
