Year,Units,Value
2004/05,(b) Sexual violence (%),2.6
2005/06,(b) Sexual violence (%),3.0
2006/07,(b) Sexual violence (%),2.9
2007/08,(b) Sexual violence (%),2.6
2008/09,(b) Sexual violence (%),2.2
2009/10,(b) Sexual violence (%),2.1
2010/11,(b) Sexual violence (%),2.3
2011/12,(b) Sexual violence (%),2.4
2012/13,(b) Sexual violence (%),1.9
2013/14,(b) Sexual violence (%),1.5
2014/15,(b) Sexual violence (%),1.7
2015/16,(b) Sexual violence (%),2.0
2016/17,(b) Sexual violence (%),2.0
2017/18,(b) Sexual violence (%),2.7
