Year,Series,Observation status,Unit multiplier,Units,Value
2005,Tier 1 capital to assets,Normal value,Units,Percentage (%),4.216892901544426
2005,Tier 1 capital to risk-weighted assets,Normal value,Units,Percentage (%),8.907095147969963
2005,Nonperforming loans net of provisions to capital,Missing value,Units,Percentage (%),
2005,Nonperforming loans to total gross loans,Normal value,Units,Percentage (%),0.9934706305598238
2005,Return on assets,Normal value,Units,Percentage (%),0.9491621720221298
2005,Liquid assets to short-term liabilities,Normal value,Units,Percentage (%),55.62307997850954
2005,Net open position in foreign exchange to capital,Normal value,Units,Percentage (%),5.827067669172932
2006,Tier 1 capital to assets,Missing value,Units,Percentage (%),
2006,Tier 1 capital to risk-weighted assets,Missing value,Units,Percentage (%),
2006,Nonperforming loans net of provisions to capital,Missing value,Units,Percentage (%),
2006,Nonperforming loans to total gross loans,Missing value,Units,Percentage (%),
2006,Return on assets,Missing value,Units,Percentage (%),
2006,Liquid assets to short-term liabilities,Missing value,Units,Percentage (%),
2006,Net open position in foreign exchange to capital,Missing value,Units,Percentage (%),
2007,Tier 1 capital to assets,Missing value,Units,Percentage (%),
2007,Tier 1 capital to risk-weighted assets,Missing value,Units,Percentage (%),
2007,Nonperforming loans net of provisions to capital,Missing value,Units,Percentage (%),
2007,Nonperforming loans to total gross loans,Missing value,Units,Percentage (%),
2007,Return on assets,Missing value,Units,Percentage (%),
2007,Liquid assets to short-term liabilities,Missing value,Units,Percentage (%),
2007,Net open position in foreign exchange to capital,Missing value,Units,Percentage (%),
2008,Tier 1 capital to assets,Normal value,Units,Percentage (%),3.282959315687492
2008,Tier 1 capital to risk-weighted assets,Normal value,Units,Percentage (%),9.60975120920988
2008,Nonperforming loans net of provisions to capital,Normal value,Units,Percentage (%),8.648486970731566
2008,Nonperforming loans to total gross loans,Normal value,Units,Percentage (%),1.5569736898483897
2008,Return on assets,Normal value,Units,Percentage (%),0.307910579187623
2008,Liquid assets to short-term liabilities,Normal value,Units,Percentage (%),42.31731357390849
2008,Net open position in foreign exchange to capital,Normal value,Units,Percentage (%),59.314818057136186
2009,Tier 1 capital to assets,Normal value,Units,Percentage (%),4.215605731688948
2009,Tier 1 capital to risk-weighted assets,Normal value,Units,Percentage (%),11.569073748288734
2009,Nonperforming loans net of provisions to capital,Normal value,Units,Percentage (%),14.797584918773346
2009,Nonperforming loans to total gross loans,Normal value,Units,Percentage (%),3.5086570182085914
2009,Return on assets,Normal value,Units,Percentage (%),0.0313446214570776
2009,Liquid assets to short-term liabilities,Normal value,Units,Percentage (%),38.03672194743797
2009,Net open position in foreign exchange to capital,Normal value,Units,Percentage (%),1.3610893927547565
2010,Tier 1 capital to assets,Normal value,Units,Percentage (%),4.46978809972292
2010,Tier 1 capital to risk-weighted assets,Normal value,Units,Percentage (%),13.232288291755614
2010,Nonperforming loans net of provisions to capital,Normal value,Units,Percentage (%),16.864936339013415
2010,Nonperforming loans to total gross loans,Normal value,Units,Percentage (%),3.95483378788783
2010,Return on assets,Normal value,Units,Percentage (%),0.0675826891071337
2010,Liquid assets to short-term liabilities,Normal value,Units,Percentage (%),37.902900768554254
2010,Net open position in foreign exchange to capital,Normal value,Units,Percentage (%),7.205741218622705
2011,Tier 1 capital to assets,Normal value,Units,Percentage (%),4.315052266729069
2011,Tier 1 capital to risk-weighted assets,Normal value,Units,Percentage (%),13.311546199454174
2011,Nonperforming loans net of provisions to capital,Normal value,Units,Percentage (%),16.113406224566408
2011,Nonperforming loans to total gross loans,Normal value,Units,Percentage (%),3.9618682056152017
2011,Return on assets,Normal value,Units,Percentage (%),0.1651694953538472
2011,Liquid assets to short-term liabilities,Normal value,Units,Percentage (%),40.88649660603751
