Year,Units,Waste type,Sector,Household Waste disposal routes,Observation status,Unit measure,Unit multiplier,Value
2007,Food and inedible waste (Kilotonnes),Household,,,estimate,Kilotonnes,Thousands,8085.0
2008,Food and inedible waste (Kilotonnes),Household,,,estimate,Kilotonnes,Thousands,
2010,Food and inedible waste (Kilotonnes),Household,,,estimate,Kilotonnes,Thousands,
2013,Food and inedible waste (Kilotonnes),Household,,,estimate,Kilotonnes,Thousands,
2014,Food and inedible waste (Kilotonnes),Household,,,estimate,Kilotonnes,Thousands,
2016,Food and inedible waste (Kilotonnes),Household,,,estimate,Kilotonnes,Thousands,
2009,Food and inedible waste (Kilotonnes),Household,,,estimate,Kilotonnes,Thousands,
2011,Food and inedible waste (Kilotonnes),Household,,,estimate,Kilotonnes,Thousands,
2012,Food and inedible waste (Kilotonnes),Household,,,estimate,Kilotonnes,Thousands,
2015,Food and inedible waste (Kilotonnes),Household,,,estimate,Kilotonnes,Thousands,7050.0
2017,Food and inedible waste (Kilotonnes),Household,,,estimate,Kilotonnes,Thousands,
2018,Food and inedible waste (Kilotonnes),Household,,,estimate,Kilotonnes,Thousands,6646.0
2007,Food and inedible waste (Kilotonnes),Household,,LA collected residual waste,estimate,Kilotonnes,Thousands,5488.0
2009,Food and inedible waste (Kilotonnes),Household,,LA collected residual waste,estimate,Kilotonnes,Thousands,
2011,Food and inedible waste (Kilotonnes),Household,,LA collected residual waste,estimate,Kilotonnes,Thousands,
2012,Food and inedible waste (Kilotonnes),Household,,LA collected residual waste,estimate,Kilotonnes,Thousands,
2015,Food and inedible waste (Kilotonnes),Household,,LA collected residual waste,estimate,Kilotonnes,Thousands,4117.0
2017,Food and inedible waste (Kilotonnes),Household,,LA collected residual waste,estimate,Kilotonnes,Thousands,
2018,Food and inedible waste (Kilotonnes),Household,,LA collected residual waste,estimate,Kilotonnes,Thousands,3642.0
2007,Food and inedible waste (Kilotonnes),Household,,LA collected organics,estimate,Kilotonnes,Thousands,65.0
2009,Food and inedible waste (Kilotonnes),Household,,LA collected organics,estimate,Kilotonnes,Thousands,
2011,Food and inedible waste (Kilotonnes),Household,,LA collected organics,estimate,Kilotonnes,Thousands,
2012,Food and inedible waste (Kilotonnes),Household,,LA collected organics,estimate,Kilotonnes,Thousands,
2015,Food and inedible waste (Kilotonnes),Household,,LA collected organics,estimate,Kilotonnes,Thousands,639.0
2017,Food and inedible waste (Kilotonnes),Household,,LA collected organics,estimate,Kilotonnes,Thousands,
2018,Food and inedible waste (Kilotonnes),Household,,LA collected organics,estimate,Kilotonnes,Thousands,777.0
2007,Food and inedible waste (Kilotonnes),Household,,LA collected other,estimate,Kilotonnes,Thousands,146.0
2009,Food and inedible waste (Kilotonnes),Household,,LA collected other,estimate,Kilotonnes,Thousands,
2011,Food and inedible waste (Kilotonnes),Household,,LA collected other,estimate,Kilotonnes,Thousands,
2012,Food and inedible waste (Kilotonnes),Household,,LA collected other,estimate,Kilotonnes,Thousands,
2015,Food and inedible waste (Kilotonnes),Household,,LA collected other,estimate,Kilotonnes,Thousands,140.0
2017,Food and inedible waste (Kilotonnes),Household,,LA collected other,estimate,Kilotonnes,Thousands,
2018,Food and inedible waste (Kilotonnes),Household,,LA collected other,estimate,Kilotonnes,Thousands,166.0
2007,Food and inedible waste (Kilotonnes),Household,,Disposed to sewer,estimate,Kilotonnes,Thousands,1904.0
2009,Food and inedible waste (Kilotonnes),Household,,Disposed to sewer,estimate,Kilotonnes,Thousands,
2011,Food and inedible waste (Kilotonnes),Household,,Disposed to sewer,estimate,Kilotonnes,Thousands,
2012,Food and inedible waste (Kilotonnes),Household,,Disposed to sewer,estimate,Kilotonnes,Thousands,
2015,Food and inedible waste (Kilotonnes),Household,,Disposed to sewer,estimate,Kilotonnes,Thousands,1636.0
2017,Food and inedible waste (Kilotonnes),Household,,Disposed to sewer,estimate,Kilotonnes,Thousands,
2018,Food and inedible waste (Kilotonnes),Household,,Disposed to sewer,estimate,Kilotonnes,Thousands,1532.0
2007,Food and inedible waste (Kilotonnes),Household,,Home composted,estimate,Kilotonnes,Thousands,482.0
2009,Food and inedible waste (Kilotonnes),Household,,Home composted,estimate,Kilotonnes,Thousands,
2011,Food and inedible waste (Kilotonnes),Household,,Home composted,estimate,Kilotonnes,Thousands,
2012,Food and inedible waste (Kilotonnes),Household,,Home composted,estimate,Kilotonnes,Thousands,
2015,Food and inedible waste (Kilotonnes),Household,,Home composted,estimate,Kilotonnes,Thousands,518.0
2017,Food and inedible waste (Kilotonnes),Household,,Home composted,estimate,Kilotonnes,Thousands,
2018,Food and inedible waste (Kilotonnes),Household,,Home composted,estimate,Kilotonnes,Thousands,528.0
2007,Food and inedible waste (Kilotonnes),Supply chain,,,estimate,Kilotonnes,Thousands,3110.0
2009,Food and inedible waste (Kilotonnes),Supply chain,,,estimate,Kilotonnes,Thousands,
2011,Food and inedible waste (Kilotonnes),Supply chain,,,estimate,Kilotonnes,Thousands,
2012,Food and inedible waste (Kilotonnes),Supply chain,,,estimate,Kilotonnes,Thousands,
2015,Food and inedible waste (Kilotonnes),Supply chain,,,estimate,Kilotonnes,Thousands,2951.0
2017,Food and inedible waste (Kilotonnes),Supply chain,,,estimate,Kilotonnes,Thousands,
2018,Food and inedible waste (Kilotonnes),Supply chain,,,estimate,Kilotonnes,Thousands,2880.0
2007,Food and inedible waste (Kilotonnes),Supply chain,Retail,,estimate,Kilotonnes,Thousands,
2009,Food and inedible waste (Kilotonnes),Supply chain,Retail,,estimate,Kilotonnes,Thousands,290.0
2011,Food and inedible waste (Kilotonnes),Supply chain,Retail,,estimate,Kilotonnes,Thousands,
2012,Food and inedible waste (Kilotonnes),Supply chain,Retail,,estimate,Kilotonnes,Thousands,240.0
2015,Food and inedible waste (Kilotonnes),Supply chain,Retail,,estimate,Kilotonnes,Thousands,261.0
2017,Food and inedible waste (Kilotonnes),Supply chain,Retail,,estimate,Kilotonnes,Thousands,278.0
2018,Food and inedible waste (Kilotonnes),Supply chain,Retail,,estimate,Kilotonnes,Thousands,277.0
2007,Food and inedible waste (Kilotonnes),Supply chain,Manufacture,,estimate,Kilotonnes,Thousands,
2009,Food and inedible waste (Kilotonnes),Supply chain,Manufacture,,estimate,Kilotonnes,Thousands,
2011,Food and inedible waste (Kilotonnes),Supply chain,Manufacture,,estimate,Kilotonnes,Thousands,1900.0
2012,Food and inedible waste (Kilotonnes),Supply chain,Manufacture,,estimate,Kilotonnes,Thousands,
2015,Food and inedible waste (Kilotonnes),Supply chain,Manufacture,,estimate,Kilotonnes,Thousands,1668.0
2017,Food and inedible waste (Kilotonnes),Supply chain,Manufacture,,estimate,Kilotonnes,Thousands,
2018,Food and inedible waste (Kilotonnes),Supply chain,Manufacture,,estimate,Kilotonnes,Thousands,1505.0
2007,Food and inedible waste (Kilotonnes),Supply chain,Hospitality and Food Serivces,,estimate,Kilotonnes,Thousands,
2009,Food and inedible waste (Kilotonnes),Supply chain,Hospitality and Food Serivces,,estimate,Kilotonnes,Thousands,
2011,Food and inedible waste (Kilotonnes),Supply chain,Hospitality and Food Serivces,,estimate,Kilotonnes,Thousands,920.0
2012,Food and inedible waste (Kilotonnes),Supply chain,Hospitality and Food Serivces,,estimate,Kilotonnes,Thousands,
2015,Food and inedible waste (Kilotonnes),Supply chain,Hospitality and Food Serivces,,estimate,Kilotonnes,Thousands,1022.0
2017,Food and inedible waste (Kilotonnes),Supply chain,Hospitality and Food Serivces,,estimate,Kilotonnes,Thousands,
2018,Food and inedible waste (Kilotonnes),Supply chain,Hospitality and Food Serivces,,estimate,Kilotonnes,Thousands,1098.0
2007,Food and inedible waste (Kilotonnes),,,,estimate,Kilotonnes,Thousands,11195.0
2009,Food and inedible waste (Kilotonnes),,,,estimate,Kilotonnes,Thousands,
2011,Food and inedible waste (Kilotonnes),,,,estimate,Kilotonnes,Thousands,
2012,Food and inedible waste (Kilotonnes),,,,estimate,Kilotonnes,Thousands,
2015,Food and inedible waste (Kilotonnes),,,,estimate,Kilotonnes,Thousands,10001.0
2017,Food and inedible waste (Kilotonnes),,,,estimate,Kilotonnes,Thousands,
2018,Food and inedible waste (Kilotonnes),,,,estimate,Kilotonnes,Thousands,9525.0
2007,Food and inedible waste (Kilogrammes per person),Household,,,estimate,Kg per person,Units,132.0
2009,Food and inedible waste (Kilogrammes per person),Household,,,estimate,Kg per person,Units,
2011,Food and inedible waste (Kilogrammes per person),Household,,,estimate,Kg per person,Units,
2012,Food and inedible waste (Kilogrammes per person),Household,,,estimate,Kg per person,Units,
2015,Food and inedible waste (Kilogrammes per person),Household,,,estimate,Kg per person,Units,108.3
2017,Food and inedible waste (Kilogrammes per person),Household,,,estimate,Kg per person,Units,
2018,Food and inedible waste (Kilogrammes per person),Household,,,estimate,Kg per person,Units,100.0
2007,Food and inedible waste (Kilogrammes per person),Household,,LA collected residual waste,estimate,Kg per person,Units,89.6
2009,Food and inedible waste (Kilogrammes per person),Household,,LA collected residual waste,estimate,Kg per person,Units,
2011,Food and inedible waste (Kilogrammes per person),Household,,LA collected residual waste,estimate,Kg per person,Units,
2012,Food and inedible waste (Kilogrammes per person),Household,,LA collected residual waste,estimate,Kg per person,Units,
2015,Food and inedible waste (Kilogrammes per person),Household,,LA collected residual waste,estimate,Kg per person,Units,63.2
2017,Food and inedible waste (Kilogrammes per person),Household,,LA collected residual waste,estimate,Kg per person,Units,
2018,Food and inedible waste (Kilogrammes per person),Household,,LA collected residual waste,estimate,Kg per person,Units,54.8
2007,Food and inedible waste (Kilogrammes per person),Household,,LA collected organics,estimate,Kg per person,Units,1.1
2009,Food and inedible waste (Kilogrammes per person),Household,,LA collected organics,estimate,Kg per person,Units,
2011,Food and inedible waste (Kilogrammes per person),Household,,LA collected organics,estimate,Kg per person,Units,
2012,Food and inedible waste (Kilogrammes per person),Household,,LA collected organics,estimate,Kg per person,Units,
2015,Food and inedible waste (Kilogrammes per person),Household,,LA collected organics,estimate,Kg per person,Units,9.8
2017,Food and inedible waste (Kilogrammes per person),Household,,LA collected organics,estimate,Kg per person,Units,
2018,Food and inedible waste (Kilogrammes per person),Household,,LA collected organics,estimate,Kg per person,Units,11.7
2007,Food and inedible waste (Kilogrammes per person),Household,,LA collected other,estimate,Kg per person,Units,2.4
2009,Food and inedible waste (Kilogrammes per person),Household,,LA collected other,estimate,Kg per person,Units,
2011,Food and inedible waste (Kilogrammes per person),Household,,LA collected other,estimate,Kg per person,Units,
2012,Food and inedible waste (Kilogrammes per person),Household,,LA collected other,estimate,Kg per person,Units,
2015,Food and inedible waste (Kilogrammes per person),Household,,LA collected other,estimate,Kg per person,Units,2.2
2017,Food and inedible waste (Kilogrammes per person),Household,,LA collected other,estimate,Kg per person,Units,
2018,Food and inedible waste (Kilogrammes per person),Household,,LA collected other,estimate,Kg per person,Units,2.5
2007,Food and inedible waste (Kilogrammes per person),Household,,Disposed to sewer,estimate,Kg per person,Units,31.1
2009,Food and inedible waste (Kilogrammes per person),Household,,Disposed to sewer,estimate,Kg per person,Units,
2011,Food and inedible waste (Kilogrammes per person),Household,,Disposed to sewer,estimate,Kg per person,Units,
2012,Food and inedible waste (Kilogrammes per person),Household,,Disposed to sewer,estimate,Kg per person,Units,
2015,Food and inedible waste (Kilogrammes per person),Household,,Disposed to sewer,estimate,Kg per person,Units,25.1
2017,Food and inedible waste (Kilogrammes per person),Household,,Disposed to sewer,estimate,Kg per person,Units,
2018,Food and inedible waste (Kilogrammes per person),Household,,Disposed to sewer,estimate,Kg per person,Units,23.1
2007,Food and inedible waste (Kilogrammes per person),Household,,Home composted,estimate,Kg per person,Units,7.9
2009,Food and inedible waste (Kilogrammes per person),Household,,Home composted,estimate,Kg per person,Units,
2011,Food and inedible waste (Kilogrammes per person),Household,,Home composted,estimate,Kg per person,Units,
