Year,Series,Observation status,Unit measure,Unit multiplier,Value
2000,Proportion of population using basic drinking water services,Normal value,Percentage (%),Units,100
2001,Proportion of population using basic drinking water services,Normal value,Percentage (%),Units,100
2002,Proportion of population using basic drinking water services,Normal value,Percentage (%),Units,100
2003,Proportion of population using basic drinking water services,Normal value,Percentage (%),Units,100
2004,Proportion of population using basic drinking water services,Normal value,Percentage (%),Units,100
2005,Proportion of population using basic drinking water services,Normal value,Percentage (%),Units,100
2006,Proportion of population using basic drinking water services,Normal value,Percentage (%),Units,100
2007,Proportion of population using basic drinking water services,Normal value,Percentage (%),Units,100
2008,Proportion of population using basic drinking water services,Normal value,Percentage (%),Units,100
2009,Proportion of population using basic drinking water services,Normal value,Percentage (%),Units,100
2010,Proportion of population using basic drinking water services,Normal value,Percentage (%),Units,100
2011,Proportion of population using basic drinking water services,Normal value,Percentage (%),Units,100
2012,Proportion of population using basic drinking water services,Normal value,Percentage (%),Units,100
2013,Proportion of population using basic drinking water services,Normal value,Percentage (%),Units,100
2014,Proportion of population using basic drinking water services,Normal value,Percentage (%),Units,100
2015,Proportion of population using basic drinking water services,Normal value,Percentage (%),Units,100
2016,Proportion of population using basic drinking water services,Normal value,Percentage (%),Units,100
2017,Proportion of population using basic drinking water services,Normal value,Percentage (%),Units,100
2018,Proportion of population using basic drinking water services,Normal value,Percentage (%),Units,100
2019,Proportion of population using basic drinking water services,Normal value,Percentage (%),Units,100
2020,Proportion of population using basic drinking water services,Normal value,Percentage (%),Units,100
2000,Proportion of population using basic sanitation services,Normal value,Percentage (%),Units,99
2001,Proportion of population using basic sanitation services,Normal value,Percentage (%),Units,99
2002,Proportion of population using basic sanitation services,Normal value,Percentage (%),Units,99
2003,Proportion of population using basic sanitation services,Normal value,Percentage (%),Units,99
2004,Proportion of population using basic sanitation services,Normal value,Percentage (%),Units,99
2005,Proportion of population using basic sanitation services,Normal value,Percentage (%),Units,99
2006,Proportion of population using basic sanitation services,Normal value,Percentage (%),Units,99
2007,Proportion of population using basic sanitation services,Normal value,Percentage (%),Units,99
2008,Proportion of population using basic sanitation services,Normal value,Percentage (%),Units,99
2009,Proportion of population using basic sanitation services,Normal value,Percentage (%),Units,99
2010,Proportion of population using basic sanitation services,Normal value,Percentage (%),Units,99
2011,Proportion of population using basic sanitation services,Normal value,Percentage (%),Units,99
2012,Proportion of population using basic sanitation services,Normal value,Percentage (%),Units,99
2013,Proportion of population using basic sanitation services,Normal value,Percentage (%),Units,99
2014,Proportion of population using basic sanitation services,Normal value,Percentage (%),Units,99
2015,Proportion of population using basic sanitation services,Normal value,Percentage (%),Units,99
2016,Proportion of population using basic sanitation services,Normal value,Percentage (%),Units,99
2017,Proportion of population using basic sanitation services,Normal value,Percentage (%),Units,99
2018,Proportion of population using basic sanitation services,Normal value,Percentage (%),Units,99
2019,Proportion of population using basic sanitation services,Normal value,Percentage (%),Units,99
2020,Proportion of population using basic sanitation services,Normal value,Percentage (%),Units,99
