Year,Series,Units,Material category,Observation status,Unit multiplier,Unit measure,Value
1990,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1085.413
1991,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1062.829
1992,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,965.168
1993,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,933.888
1994,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,927.691
1995,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,866.457
1996,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,941.921
1997,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1145.467
1998,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1331.521
1999,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1393.502
2000,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1365.742
2001,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1427.904
2002,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1344.47
2003,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1309.612
2004,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1464.399
2005,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1365.497
2006,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1352.15
2007,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1302.617
2008,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1156.109
2009,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1012.619
2010,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,954.336
2011,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,964.866
2012,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,951.984
2013,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1024.069
2014,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1112.38
2015,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1195.637
