Year,Units,Urbanisation,Household composition,Age of oldest person,Age of youngest person,Income quintile,Living in poverty,Economic activity,Disability status,Ethnicity of household reference person (HRP),Length of residence,Sub-national area,Decent homes criteria,Value
2008,Percentage (%),,,,,,,,,,,,,33.0949066157
2008,Percentage (%),City centre,,,,,,,,,,,,45.89786468078096
2008,Percentage (%),Other urban centre,,,,,,,,,,,,37.53985386207459
2008,Percentage (%),Suburban residential,,,,,,,,,,,,28.57192780361831
2008,Percentage (%),Rural residential,,,,,,,,,,,,33.53517034226057
2008,Percentage (%),Village centre,,,,,,,,,,,,47.3787438972137
2008,Percentage (%),Rural,,,,,,,,,,,,60.59117892075472
2008,Percentage (%),All city and urban centres,,,,,,,,,,,,38.73383991093317
2008,Percentage (%),Suburban residential,,,,,,,,,,,,28.57192780361831
2008,Percentage (%),All rural areas,,,,,,,,,,,,40.83419205544792
2008,Percentage (%),,Couple under 60,,,,,,,,,,,32.0785913458
2008,Percentage (%),,Couple 60 or over,,,,,,,,,,,30.1277921025
2008,Percentage (%),,Couple with children,,,,,,,,,,,30.1891902782
2008,Percentage (%),,Lone parent,,,,,,,,,,,31.1315986189
2008,Percentage (%),,Multi-person household,,,,,,,,,,,38.007913323
2008,Percentage (%),,One person under 60,,,,,,,,,,,35.492217784
2008,Percentage (%),,One person 60 or over,,,,,,,,,,,35.5729947841
2008,Percentage (%),,,59 and under,,,,,,,,,,32.555280698
2008,Percentage (%),,,60 and over,,,,,,,,,,33.1041171401
2008,Percentage (%),,,75 and over,,,,,,,,,,34.6853560054
2008,Percentage (%),,,,4 and under,,,,,,,,,30.5142304455
2008,Percentage (%),,,,15 and under,,,,,,,,,30.8066992968
2008,Percentage (%),,,,16 and over,,,,,,,,,33.4644632791
2008,Percentage (%),,,,,1st quintile (lowest),,,,,,,,36.4264860944
2008,Percentage (%),,,,,2nd quintile,,,,,,,,33.1605487248
2008,Percentage (%),,,,,3rd quintile,,,,,,,,33.6417055619
2008,Percentage (%),,,,,4th quintile,,,,,,,,29.786153927
2008,Percentage (%),,,,,5th quintile (highest),,,,,,,,30.7799220372
2008,Percentage (%),,,,,,In poverty,,,,,,,36.2905922243
2008,Percentage (%),,,,,,Not in poverty,,,,,,,31.9913642684
2008,Percentage (%),,,,,,,Workless household,,,,,,33.3932823941
2008,Percentage (%),,,,,,,Working household,,,,,,32.51917294
2008,Percentage (%),,,,,,,,Long-term illness/disability,,,,,32.6420679375
2008,Percentage (%),,,,,,,,No long-term illness/disability,,,,,32.8023144012
2008,Percentage (%),,,,,,,,,White,,,,32.6236368277
2008,Percentage (%),,,,,,,,,Black,,,,33.7940948258
2008,Percentage (%),,,,,,,,,Asian,,,,32.9704617859
2008,Percentage (%),,,,,,,,,Other,,,,36.0173033598
2008,Percentage (%),,,,,,,,,All minority,,,,34.0604445882
2008,Percentage (%),,,,,,,,,,Less than 1 year,,,34.6358770971
2008,Percentage (%),,,,,,,,,,1-4 years,,,28.9787074213
2008,Percentage (%),,,,,,,,,,5-9 years,,,30.2811316803
2008,Percentage (%),,,,,,,,,,10-19 years,,,30.3877893045
2008,Percentage (%),,,,,,,,,,20-29 years,,,36.6534687616
2008,Percentage (%),,,,,,,,,,30 or more years,,,41.6452937444
2008,Percentage (%),,,,,,,,,,,North,,32.362775815
2008,Percentage (%),,,,,,,,,,,South East,,32.4527659636
2008,Percentage (%),,,,,,,,,,,Rest of England,,34.1007117543
2009,Percentage (%),,,,,,,,,,,,,30.09449243504444
2009,Percentage (%),City centre,,,,,,,,,,,,40.37118485854782
2009,Percentage (%),Other urban centre,,,,,,,,,,,,34.19030300395809
2009,Percentage (%),Suburban residential,,,,,,,,,,,,25.7960330462114
2009,Percentage (%),Rural residential,,,,,,,,,,,,31.49167397157459
2009,Percentage (%),Village centre,,,,,,,,,,,,39.34832886807865
2009,Percentage (%),Rural,,,,,,,,,,,,60.49152797970169
2009,Percentage (%),All city and urban centres,,,,,,,,,,,,35.18234276746448
2009,Percentage (%),Suburban residential,,,,,,,,,,,,25.7960330462114
2009,Percentage (%),All rural areas,,,,,,,,,,,,37.97223298697227
2009,Percentage (%),,Couple under 60,,,,,,,,,,,29.3948589632
2009,Percentage (%),,Couple 60 or over,,,,,,,,,,,28.1264855177
2009,Percentage (%),,Couple with children,,,,,,,,,,,25.5143197954
2009,Percentage (%),,Lone parent,,,,,,,,,,,27.1271434343
2009,Percentage (%),,Multi-person household,,,,,,,,,,,33.1877154559
2009,Percentage (%),,One person under 60,,,,,,,,,,,34.4017659174
2009,Percentage (%),,One person 60 or over,,,,,,,,,,,32.5113411996
2009,Percentage (%),,,59 and under,,,,,,,,,,29.0890916902
2009,Percentage (%),,,60 and over,,,,,,,,,,30.3744867992
2009,Percentage (%),,,75 and over,,,,,,,,,,31.7591589613
2009,Percentage (%),,,,4 and under,,,,,,,,,28.5960137852
2009,Percentage (%),,,,15 and under,,,,,,,,,26.3576007569
2009,Percentage (%),,,,16 and over,,,,,,,,,30.8193058467
2009,Percentage (%),,,,,1st quintile (lowest),,,,,,,,33.0290721288
2009,Percentage (%),,,,,2nd quintile,,,,,,,,30.2566533987
2009,Percentage (%),,,,,3rd quintile,,,,,,,,31.3105174384
2009,Percentage (%),,,,,4th quintile,,,,,,,,25.9824723666
2009,Percentage (%),,,,,5th quintile (highest),,,,,,,,27.1286152965
2009,Percentage (%),,,,,,In poverty,,,,,,,33.0762979016
2009,Percentage (%),,,,,,Not in poverty,,,,,,,28.8056237964
2009,Percentage (%),,,,,,,Workless household,,,,,,29.3936528668
2009,Percentage (%),,,,,,,Working household,,,,,,29.2118201173
2009,Percentage (%),,,,,,,,Long-term illness/disability,,,,,30.2880844722
2009,Percentage (%),,,,,,,,No long-term illness/disability,,,,,29.2216789905
2009,Percentage (%),,,,,,,,,White,,,,29.6546525443
2009,Percentage (%),,,,,,,,,Black,,,,27.7853802625
2009,Percentage (%),,,,,,,,,Asian,,,,30.9571785768
2009,Percentage (%),,,,,,,,,Other,,,,25.4512178277
2009,Percentage (%),,,,,,,,,All minority,,,,28.534270177
2009,Percentage (%),,,,,,,,,,Less than 1 year,,,31.359579294
2009,Percentage (%),,,,,,,,,,1-4 years,,,27.342264945
2009,Percentage (%),,,,,,,,,,5-9 years,,,26.4789509913
2009,Percentage (%),,,,,,,,,,10-19 years,,,26.3066292255
2009,Percentage (%),,,,,,,,,,20-29 years,,,32.0981650202
2009,Percentage (%),,,,,,,,,,30 or more years,,,39.5627582012
2009,Percentage (%),,,,,,,,,,,North,,28.1624417161
2009,Percentage (%),,,,,,,,,,,South East,,29.5624318099
2009,Percentage (%),,,,,,,,,,,Rest of England,,31.8707033308
2010,Percentage (%),,,,,,,,,,,,,26.522
2010,Percentage (%),City centre,,,,,,,,,,,,34.814
2010,Percentage (%),Other urban centre,,,,,,,,,,,,30.523
2010,Percentage (%),Suburban residential,,,,,,,,,,,,23.094
2010,Percentage (%),Rural residential,,,,,,,,,,,,25.67
2010,Percentage (%),Village centre,,,,,,,,,,,,34.623
2010,Percentage (%),Rural,,,,,,,,,,,,55.764
2010,Percentage (%),All city and urban centres,,,,,,,,,,,,31.233
2010,Percentage (%),Suburban residential,,,,,,,,,,,,23.094
2010,Percentage (%),All rural areas,,,,,,,,,,,,32.782
2010,Percentage (%),,Couple under 60,,,,,,,,,,,26.313
2010,Percentage (%),,Couple 60 or over,,,,,,,,,,,23.509
2010,Percentage (%),,Couple with children,,,,,,,,,,,21.439
2010,Percentage (%),,Lone parent,,,,,,,,,,,25.503
2010,Percentage (%),,Multi-person household,,,,,,,,,,,29.167
2010,Percentage (%),,One person under 60,,,,,,,,,,,32.063
2010,Percentage (%),,One person 60 or over,,,,,,,,,,,28.469
2010,Percentage (%),,,59 and under,,,,,,,,,,25.814
2010,Percentage (%),,,60 and over,,,,,,,,,,26.144
2010,Percentage (%),,,75 and over,,,,,,,,,,26.957
2010,Percentage (%),,,,4 and under,,,,,,,,,24.656
2010,Percentage (%),,,,15 and under,,,,,,,,,22.539
2010,Percentage (%),,,,16 and over,,,,,,,,,27.287
2010,Percentage (%),,,,,1st quintile (lowest),,,,,,,,28.899
2010,Percentage (%),,,,,2nd quintile,,,,,,,,26.907
2010,Percentage (%),,,,,3rd quintile,,,,,,,,27.19
2010,Percentage (%),,,,,4th quintile,,,,,,,,23.659
2010,Percentage (%),,,,,5th quintile (highest),,,,,,,,23.059
2010,Percentage (%),,,,,,In poverty,,,,,,,29.112
2010,Percentage (%),,,,,,Not in poverty,,,,,,,25.302
2010,Percentage (%),,,,,,,Workless household,,,,,,25.895
2010,Percentage (%),,,,,,,Working household,,,,,,26.053
2010,Percentage (%),,,,,,,,Long-term illness/disability,,,,,26.083
2010,Percentage (%),,,,,,,,No long-term illness/disability,,,,,25.868
2010,Percentage (%),,,,,,,,,White,,,,26.101
2010,Percentage (%),,,,,,,,,Black,,,,25.069
2010,Percentage (%),,,,,,,,,Asian,,,,24.646
2010,Percentage (%),,,,,,,,,Other,,,,23.265
2010,Percentage (%),,,,,,,,,All minority,,,,24.401
2010,Percentage (%),,,,,,,,,,Less than 1 year,,,27.952
2010,Percentage (%),,,,,,,,,,1-4 years,,,25.13
