Year,Country,Sustainably managed status,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2004,England,,Undefined,Units,Percentage (%),E92000001,9.75928907299
2005,England,,Undefined,Units,Percentage (%),E92000001,9.79727314084877
2006,England,,Undefined,Units,Percentage (%),E92000001,9.82325727073359
2007,England,,Undefined,Units,Percentage (%),E92000001,9.845811097522972
2008,England,,Undefined,Units,Percentage (%),E92000001,9.864182834784572
2009,England,,Undefined,Units,Percentage (%),E92000001,9.882013898816586
2010,England,,Undefined,Units,Percentage (%),E92000001,9.89824442686432
2011,England,,Undefined,Units,Percentage (%),E92000001,9.917674823110108
2012,England,,Undefined,Units,Percentage (%),E92000001,9.95834144531913
2013,England,,Undefined,Units,Percentage (%),E92000001,9.962484372605012
2014,England,,Undefined,Units,Percentage (%),E92000001,9.99079310018428
2015,England,,Undefined,Units,Percentage (%),E92000001,10.01477492883525
2016,England,,Undefined,Units,Percentage (%),E92000001,10.016636406878789
2017,England,,Undefined,Units,Percentage (%),E92000001,10.023492580817576
2018,England,,Undefined,Units,Percentage (%),E92000001,10.033539300910954
2019,England,,Undefined,Units,Percentage (%),E92000001,10.045070503526295
2020,England,,Undefined,Units,Percentage (%),E92000001,10.059331024632709
2004,Wales,,Undefined,Units,Percentage (%),W92000004,14.529793317061928
2005,Wales,,Undefined,Units,Percentage (%),W92000004,14.554690498837427
2006,Wales,,Undefined,Units,Percentage (%),W92000004,14.577461102679475
2007,Wales,,Undefined,Units,Percentage (%),W92000004,14.60130455935063
2008,Wales,,Undefined,Units,Percentage (%),W92000004,14.609042471768586
2009,Wales,,Undefined,Units,Percentage (%),W92000004,14.61660313393704
2010,Wales,,Undefined,Units,Percentage (%),W92000004,14.625347589738247
2011,Wales,,Undefined,Units,Percentage (%),W92000004,14.639657094271072
2012,Wales,,Undefined,Units,Percentage (%),W92000004,14.687783364672429
2013,Wales,,Undefined,Units,Percentage (%),W92000004,14.776636821987516
2014,Wales,,Undefined,Units,Percentage (%),W92000004,14.748935097824916
2015,Wales,,Undefined,Units,Percentage (%),W92000004,14.756765766865742
2016,Wales,,Undefined,Units,Percentage (%),W92000004,14.78573334648885
2017,Wales,,Undefined,Units,Percentage (%),W92000004,14.837454051051427
2018,Wales,,Undefined,Units,Percentage (%),W92000004,14.87956128966172
2019,Wales,,Undefined,Units,Percentage (%),W92000004,14.910772121539912
2020,Wales,,Undefined,Units,Percentage (%),W92000004,14.914437268292732
2013,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,8.048749192214173
2014,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,8.081157051341863
2015,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,8.11370991207639
2016,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,8.12639755267448
2017,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,8.147495286469017
2018,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,8.164822978485835
2019,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,8.192953290211886
2020,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,8.582717609385188
2004,Scotland,,Undefined,Units,Percentage (%),S92000003,17.357540766035026
2005,Scotland,,Undefined,Units,Percentage (%),S92000003,17.429141410864464
2006,Scotland,,Undefined,Units,Percentage (%),S92000003,17.479417635801095
2007,Scotland,,Undefined,Units,Percentage (%),S92000003,17.562435742272125
2008,Scotland,,Undefined,Units,Percentage (%),S92000003,17.615107437537866
2009,Scotland,,Undefined,Units,Percentage (%),S92000003,17.658375873939107
2010,Scotland,,Undefined,Units,Percentage (%),S92000003,17.692541914226428
2011,Scotland,,Undefined,Units,Percentage (%),S92000003,17.758033524819147
