Year,Series,Region,Local authority,Sex,Unit measure,Observation status,GeoCode,Value
2010 to 2011,All state-funded schools,East Midlands,Derby,,Percentage (%),Normal value,E12000004,97.1834
2010 to 2011,All state-funded schools,East Midlands,Derbyshire,,Percentage (%),Normal value,E12000004,98.5117
2010 to 2011,All state-funded schools,East Midlands,Leicester,,Percentage (%),Normal value,E12000004,94.9856
2010 to 2011,All state-funded schools,East Midlands,Leicestershire,,Percentage (%),Normal value,E12000004,95.3266
2010 to 2011,All state-funded schools,East Midlands,Lincolnshire,,Percentage (%),Normal value,E12000004,93.4915
2010 to 2011,All state-funded schools,East Midlands,Northamptonshire,,Percentage (%),Normal value,E12000004,95.8344
2010 to 2011,All state-funded schools,East Midlands,Nottingham,,Percentage (%),Normal value,E12000004,96.0159
2010 to 2011,All state-funded schools,East Midlands,Nottinghamshire,,Percentage (%),Normal value,E12000004,97.3283
2010 to 2011,All state-funded schools,East Midlands,Rutland,,Percentage (%),Normal value,E12000004,97.171
2010 to 2011,All state-funded schools,East Midlands,,,Percentage (%),Normal value,E12000004,96.1195
2010 to 2011,All state-funded schools,East of England,Bedford,,Percentage (%),Normal value,E12000006,93.9115
2010 to 2011,All state-funded schools,East of England,Cambridgeshire,,Percentage (%),Normal value,E12000006,95.5823
2010 to 2011,All state-funded schools,East of England,Central Bedfordshire,,Percentage (%),Normal value,E12000006,95.6487
2010 to 2011,All state-funded schools,East of England,Essex,,Percentage (%),Normal value,E12000006,94.9712
2010 to 2011,All state-funded schools,East of England,Hertfordshire,,Percentage (%),Normal value,E12000006,94.5848
2010 to 2011,All state-funded schools,East of England,Luton,,Percentage (%),Normal value,E12000006,93.8883
2010 to 2011,All state-funded schools,East of England,Norfolk,,Percentage (%),Normal value,E12000006,96.6084
2010 to 2011,All state-funded schools,East of England,Peterborough,,Percentage (%),Normal value,E12000006,94.4281
2010 to 2011,All state-funded schools,East of England,Southend-on-Sea,,Percentage (%),Normal value,E12000006,89.8181
2010 to 2011,All state-funded schools,East of England,Suffolk,,Percentage (%),Normal value,E12000006,95.5029
2010 to 2011,All state-funded schools,East of England,Thurrock,,Percentage (%),Normal value,E12000006,91.731
2010 to 2011,All state-funded schools,East of England,,,Percentage (%),Normal value,E12000006,94.8849
2010 to 2011,All state-funded schools,Inner London,Camden,,Percentage (%),Normal value,E13000001,94.6161
2010 to 2011,All state-funded schools,Inner London,City of London,,Percentage (%),Normal value,E13000001,75.0
2010 to 2011,All state-funded schools,Inner London,Hackney,,Percentage (%),Normal value,E13000001,94.2588
2010 to 2011,All state-funded schools,Inner London,Hammersmith and Fulham,,Percentage (%),Normal value,E13000001,90.3614
2010 to 2011,All state-funded schools,Inner London,Haringey,,Percentage (%),Normal value,E13000001,94.9013
2010 to 2011,All state-funded schools,Inner London,Islington,,Percentage (%),Normal value,E13000001,95.0103
2010 to 2011,All state-funded schools,Inner London,Kensington and Chelsea,,Percentage (%),Normal value,E13000001,88.984
