Year,Type of hate crime,Sex,Age,Ethnicity,Disability status,Household income,Urban or Rural,GeoCode,Observation status,Unit multiplier,Unit measure,Value
2007/08 to 2008/09,,,,,,,,,Undefined,Units,Percentage (%),0.287176010159
2009/10 to 2011/12,,,,,,,,,Undefined,Units,Percentage (%),0.2654872541178945
2012/13 to 2014/15,,,,,,,,,Undefined,Units,Percentage (%),0.2081524832730917
2015/16 to 2017/18,,,,,,,,,Undefined,Units,Percentage (%),0.1620190463094633
2007/08 to 2008/09,Race,,,,,,,,Undefined,Units,Percentage (%),0.1625374552930453
2009/10 to 2011/12,Race,,,,,,,,Undefined,Units,Percentage (%),0.1494752652911649
2012/13 to 2014/15,Race,,,,,,,,Undefined,Units,Percentage (%),0.1088220032026191
2015/16 to 2017/18,Race,,,,,,,,Undefined,Units,Percentage (%),0.0950212289806831
2007/08 to 2008/09,Religion,,,,,,,,Undefined,Units,Percentage (%),0.0286519532146283
2009/10 to 2011/12,Religion,,,,,,,,Undefined,Units,Percentage (%),0.0381151762725205
2012/13 to 2014/15,Religion,,,,,,,,Undefined,Units,Percentage (%),0.0305658939110663
2015/16 to 2017/18,Religion,,,,,,,,Undefined,Units,Percentage (%),0.0325510541265504
2007/08 to 2008/09,Sexual orientation,,,,,,,,Undefined,Units,Percentage (%),0.0691941737152112
2009/10 to 2011/12,Sexual orientation,,,,,,,,Undefined,Units,Percentage (%),0.0355916224397171
2012/13 to 2014/15,Sexual orientation,,,,,,,,Undefined,Units,Percentage (%),0.0262219223277641
2015/16 to 2017/18,Sexual orientation,,,,,,,,Undefined,Units,Percentage (%),0.0248606926947334
2007/08 to 2008/09,Disability,,,,,,,,Undefined,Units,Percentage (%),0.0501954125820261
2009/10 to 2011/12,Disability,,,,,,,,Undefined,Units,Percentage (%),0.0451899438218508
2012/13 to 2014/15,Disability,,,,,,,,Undefined,Units,Percentage (%),0.0640559444379131
2015/16 to 2017/18,Disability,,,,,,,,Undefined,Units,Percentage (%),0.0345649511104777
2015/16 to 2017/18,,Men,,,,,,,Undefined,Units,Percentage (%),0.2259976205360793
2015/16 to 2017/18,,Women,,,,,,,Undefined,Units,Percentage (%),0.1006932244880102
2015/16 to 2017/18,,,16 to 24,,,,,,Undefined,Units,Percentage (%),0.3361929373037517
2015/16 to 2017/18,,,25 to 34,,,,,,Undefined,Units,Percentage (%),0.2169173212056159
2015/16 to 2017/18,,,35 to 44,,,,,,Undefined,Units,Percentage (%),0.204208766861029
2015/16 to 2017/18,,,45 to 54,,,,,,Undefined,Units,Percentage (%),0.1405507039701664
2015/16 to 2017/18,,,55 to 64,,,,,,Undefined,Units,Percentage (%),0.1058369781043175
2015/16 to 2017/18,,,65 to 74,,,,,,Undefined,Units,Percentage (%),0.042918249621871
2015/16 to 2017/18,,,75 and over,,,,,,Undefined,Units,Percentage (%),0.0291304077154702
2015/16 to 2017/18,,,,White,,,,,Undefined,Units,Percentage (%),0.1276095944693009
2015/16 to 2017/18,,,,Mixed/Multiple ethnic groups,,,,,Undefined,Units,Percentage (%),0.2999048008028006
2015/16 to 2017/18,,,,Asian/Asian British,,,,,Undefined,Units,Percentage (%),0.3856963761802586
2015/16 to 2017/18,,,,Black/African/Caribbean/Black British,,,,,Undefined,Units,Percentage (%),0.3633650137852481
2015/16 to 2017/18,,,,Other ethnic group,,,,,Undefined,Units,Percentage (%),0.6262869838531681
2015/16 to 2017/18,,,,,Long-term health condition,,,,Undefined,Units,Percentage (%),0.3089117283086101
2015/16 to 2017/18,,,,,Disabled (GSS harmonised),,,,Undefined,Units,Percentage (%),0.3638352657792506
2015/16 to 2017/18,,,,,Long-term health condition - Does not limit activities,,,,Undefined,Units,Percentage (%),0.115138963975565
2015/16 to 2017/18,,,,,No long-term health condition,,,,Undefined,Units,Percentage (%),0.1236602105785139
2015/16 to 2017/18,,,,,,"Less than £10,000",,,Undefined,Units,Percentage (%),0.2987746637072328
2015/16 to 2017/18,,,,,,"£10,000 to less than £20,000",,,Undefined,Units,Percentage (%),0.1535208305340129
2015/16 to 2017/18,,,,,,"£20,000 to less than £30,000",,,Undefined,Units,Percentage (%),0.1764984618964399
2015/16 to 2017/18,,,,,,"£30,000 to less than £40,000",,,Undefined,Units,Percentage (%),0.2126125061554389
2015/16 to 2017/18,,,,,,"£40,000 to less than £50,000",,,Undefined,Units,Percentage (%),0.12829201391262
2015/16 to 2017/18,,,,,,"£50,000 or more",,,Undefined,Units,Percentage (%),0.0720813370446605
2015/16 to 2017/18,,,,,,No income stated or not enough information provided,,,Undefined,Units,Percentage (%),0.1999357124890921
2015/16 to 2017/18,,,,,,,Urban,,Undefined,Units,Percentage (%),0.1864108544688427
2015/16 to 2017/18,,,,,,,Rural,,Undefined,Units,Percentage (%),0.0556773727437803
