Year,Treatment connection,Water treatment category,Observation status,Unit multiplier,Unit measure,Value
2000,Independent,,Undefined,Units,Percentage (%),3.40000009537
2000,Public sewage,,Undefined,Units,Percentage (%),94.599998474121
2000,Public sewage,Tertiary,Undefined,Units,Percentage (%),27.0
2000,Public sewage,Secondary,Undefined,Units,Percentage (%),64.0
2000,Public sewage,Primary,Undefined,Units,Percentage (%),3.5999999046326
2000,,,Undefined,Units,Percentage (%),97.99999857
2001,Independent,,Undefined,Units,Percentage (%),0.69999998807907
2001,Public sewage,,Undefined,Units,Percentage (%),99.199996948242
2001,Public sewage,Tertiary,Undefined,Units,Percentage (%),31.5
2001,Public sewage,Secondary,Undefined,Units,Percentage (%),66.199996948242
2001,Public sewage,Primary,Undefined,Units,Percentage (%),1.5
2001,,,Undefined,Units,Percentage (%),99.89999694
2002,Independent,,Undefined,Units,Percentage (%),0.30000001192093
2002,Public sewage,,Undefined,Units,Percentage (%),99.699996948242
2002,Public sewage,Tertiary,Undefined,Units,Percentage (%),38.700000762939
2002,Public sewage,Secondary,Undefined,Units,Percentage (%),60.200000762939
2002,Public sewage,Primary,Undefined,Units,Percentage (%),0.80000001192093
2002,,,Undefined,Units,Percentage (%),99.99999696
2003,Independent,,Undefined,Units,Percentage (%),0.9200000166893
2003,Public sewage,,Undefined,Units,Percentage (%),99.080001831055
2003,Public sewage,Tertiary,Undefined,Units,Percentage (%),38.229999542236
2003,Public sewage,Secondary,Undefined,Units,Percentage (%),60.680000305176
2003,Public sewage,Primary,Undefined,Units,Percentage (%),0.17000000178814
2003,,,Undefined,Units,Percentage (%),100.0000018
2004,Independent,,Undefined,Units,Percentage (%),0.79000002145767
2004,Public sewage,,Undefined,Units,Percentage (%),99.209999084473
2004,Public sewage,Tertiary,Undefined,Units,Percentage (%),43.459999084473
2004,Public sewage,Secondary,Undefined,Units,Percentage (%),55.650001525879
2004,Public sewage,Primary,Undefined,Units,Percentage (%),0.10000000149012
2004,,,Undefined,Units,Percentage (%),99.99999911
2005,Independent,,Undefined,Units,Percentage (%),0.64999997615814
2005,Public sewage,,Undefined,Units,Percentage (%),99.349998474121
2005,Public sewage,Tertiary,Undefined,Units,Percentage (%),42.889999389648
2005,Public sewage,Secondary,Undefined,Units,Percentage (%),56.369998931885
2005,Public sewage,Primary,Undefined,Units,Percentage (%),0.09000000357628
2005,,,Undefined,Units,Percentage (%),99.99999845
2008,Independent,,Undefined,Units,Percentage (%),3.1
2008,Public sewage,,Undefined,Units,Percentage (%),96.9
2008,Public sewage,Tertiary,Undefined,Units,Percentage (%),46.9
2008,Public sewage,Secondary,Undefined,Units,Percentage (%),49.9
2008,Public sewage,Primary,Undefined,Units,Percentage (%),0.1
2008,,,Undefined,Units,Percentage (%),99.99999714
2009,Independent,,Undefined,Units,Percentage (%),3.0
2009,Public sewage,,Undefined,Units,Percentage (%),97.0
2009,Public sewage,Tertiary,Undefined,Units,Percentage (%),47.7
2009,Public sewage,Secondary,Undefined,Units,Percentage (%),49.3
2009,Public sewage,Primary,Undefined,Units,Percentage (%),0.0
2009,,,Undefined,Units,Percentage (%),100.0000019
2010,Public sewage,,Undefined,Units,Percentage (%),99.5
2010,Public sewage,Tertiary,Undefined,Units,Percentage (%),49.9
2010,Public sewage,Secondary,Undefined,Units,Percentage (%),49.6
2010,Public sewage,Primary,Undefined,Units,Percentage (%),0.0
2010,,,Undefined,Units,Percentage (%),99.5
2012,Independent,,Undefined,Units,Percentage (%),1.5
2012,Public sewage,,Undefined,Units,Percentage (%),98.5
2012,,,Undefined,Units,Percentage (%),100.0
2014,Public sewage,,Undefined,Units,Percentage (%),100.0
2014,Public sewage,Tertiary,Undefined,Units,Percentage (%),56.9
2014,Public sewage,Secondary,Undefined,Units,Percentage (%),43.0
2014,Public sewage,Primary,Undefined,Units,Percentage (%),0.1
