Year,Series,Sex,Relationship to perpetrator,Age,Ethnicity,Income,Disability status,Country of birth,Region,Units,Unit multiplier,Observation status,GeoCode,Value
2004/05,Percentage of adults aged 16 to 59 (%),Female,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0522859722877996
2004/05,Percentage of adults aged 16 to 59 (%),Female,Partner,,,,,,,Percentage (%),Units,Normal value,,0.4636297297425751
2004/05,Percentage of adults aged 16 to 59 (%),Female,,,,,,,,Percentage (%),Units,Normal value,,3.431964537862358
2004/05,Percentage of adults aged 16 to 59 (%),Male,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0065362339244938
2004/05,Percentage of adults aged 16 to 59 (%),Male,Partner,,,,,,,Percentage (%),Units,Normal value,,0.221249273355011
2004/05,Percentage of adults aged 16 to 59 (%),Male,,,,,,,,Percentage (%),Units,Normal value,,1.164250799331341
2004/05,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0295418125816813
2004/05,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Percentage (%),Units,Normal value,,0.3438758529594878
2004/05,Percentage of adults aged 16 to 59 (%),,,,,,,,,Percentage (%),Units,Normal value,,2.3037422586292795
2005/06,Percentage of adults aged 16 to 59 (%),Female,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0436325629013042
2005/06,Percentage of adults aged 16 to 59 (%),Female,Partner,,,,,,,Percentage (%),Units,Normal value,,0.6214529325641317
2005/06,Percentage of adults aged 16 to 59 (%),Female,,,,,,,,Percentage (%),Units,Normal value,,3.888849778472944
2005/06,Percentage of adults aged 16 to 59 (%),Male,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0269055752009054
2005/06,Percentage of adults aged 16 to 59 (%),Male,Partner,,,,,,,Percentage (%),Units,Normal value,,0.0
2005/06,Percentage of adults aged 16 to 59 (%),Male,,,,,,,,Percentage (%),Units,Normal value,,1.0515830206046854
2005/06,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0353085726518666
2005/06,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Percentage (%),Units,Normal value,,0.3309974679126455
2005/06,Percentage of adults aged 16 to 59 (%),,,,,,,,,Percentage (%),Units,Normal value,,2.518203361812256
2006/07,Percentage of adults aged 16 to 59 (%),Female,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0612917049408776
2006/07,Percentage of adults aged 16 to 59 (%),Female,Partner,,,,,,,Percentage (%),Units,Normal value,,0.5411480589081344
2006/07,Percentage of adults aged 16 to 59 (%),Female,,,,,,,,Percentage (%),Units,Normal value,,3.9678185619389694
2006/07,Percentage of adults aged 16 to 59 (%),Male,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0054152897021613
2006/07,Percentage of adults aged 16 to 59 (%),Male,Partner,,,,,,,Percentage (%),Units,Normal value,,0.1340280575405703
2006/07,Percentage of adults aged 16 to 59 (%),Male,,,,,,,,Percentage (%),Units,Normal value,,1.2179705540777277
2006/07,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Percentage (%),Units,Normal value,,0.033452590640783
2006/07,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Percentage (%),Units,Normal value,,0.3465802381637204
2006/07,Percentage of adults aged 16 to 59 (%),,,,,,,,,Percentage (%),Units,Normal value,,2.615723951008618
2007/08,Percentage of adults aged 16 to 59 (%),Female,Family member,,,,,,,Percentage (%),Units,Normal value,,0.078160508688808
2007/08,Percentage of adults aged 16 to 59 (%),Female,Partner,,,,,,,Percentage (%),Units,Normal value,,0.4885994193608259
2007/08,Percentage of adults aged 16 to 59 (%),Female,,,,,,,,Percentage (%),Units,Normal value,,3.542807610868581
2007/08,Percentage of adults aged 16 to 59 (%),Male,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0071207706698828
2007/08,Percentage of adults aged 16 to 59 (%),Male,Partner,,,,,,,Percentage (%),Units,Normal value,,0.1372678835611972
2007/08,Percentage of adults aged 16 to 59 (%),Male,,,,,,,,Percentage (%),Units,Normal value,,0.7407243398470063
2007/08,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0427908794058877
2007/08,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Percentage (%),Units,Normal value,,0.3201902728552583
2007/08,Percentage of adults aged 16 to 59 (%),,,,,,,,,Percentage (%),Units,Normal value,,2.220040955473805
2008/09,Percentage of adults aged 16 to 59 (%),Female,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0386940622261531
