Year,Series,Units,Material category,Observation status,Unit multiplier,Value
2000,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,172.47029999999998
2001,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,168.8858
2002,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,175.2405
2003,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,170.6198
2004,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,173.64329999999998
2005,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,171.9784
2006,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,167.232
2007,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,161.5073
2008,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,168.5885
2009,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,163.52939999999998
2010,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,160.4718
2011,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,164.9236
2012,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,159.0875
2013,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,169.6656
2014,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,181.0407
2015,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,174.6909
2016,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,168.2979
2017,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,182.4969
2018,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,174.7579
2019,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,187.0352
2020,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,164.4115
2000,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,240.5941
2001,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,242.2288
2002,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,231.5079
2003,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,244.3175
2004,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,254.1598
2005,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,250.8315
2006,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,245.6987
2007,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,239.3952
2008,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,226.3068
2009,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,208.7316
2010,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,193.3395
2011,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,192.7128
2012,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,194.1826
2013,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,183.2874
2014,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,170.6577
2015,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,160.86970000000002
2016,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,149.0338
2017,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,145.56529999999998
2018,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,148.5287
2019,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,142.7285
2020,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,123.3903
2000,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,16.9655
2001,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,20.3047
2002,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,18.8867
2003,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,17.4026
2004,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,19.2925
2005,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,17.2714
2006,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,18.0785
2007,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,20.5295
2008,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,15.4364
2009,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,6.2533
2010,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,9.4369
2011,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,8.9764
2012,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,9.8518
2013,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,12.6562
2014,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,14.8839
2015,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,13.6341
2016,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,12.1944
2017,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,11.5626
2018,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,11.2525
2019,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,13.3967
2020,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,7.8603
2000,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,295.3086
2001,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,303.8595
2002,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,289.7323
2003,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,283.8125
2004,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,295.0795
2005,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,284.7195
2006,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,284.1623
2007,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,289.53709999999995
2008,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,256.2828
2009,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,205.87920000000005
2010,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,203.1572
2011,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,206.7767
2012,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,185.0426
2013,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,189.1242
2014,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,211.3694
2015,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,209.419
2016,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,219.7394
2017,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,219.7126
2018,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,227.4739
2019,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,221.0995
2020,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,213.5247
2000,Domestic material consumption,Tonnes,,Normal value,Millions,733.336
2001,Domestic material consumption,Tonnes,,Normal value,Millions,742.8286999999999
2002,Domestic material consumption,Tonnes,,Normal value,Millions,721.9395
2003,Domestic material consumption,Tonnes,,Normal value,Millions,723.0106
2004,Domestic material consumption,Tonnes,,Normal value,Millions,751.7458
2005,Domestic material consumption,Tonnes,,Normal value,Millions,732.2924
2006,Domestic material consumption,Tonnes,,Normal value,Millions,723.8463
2007,Domestic material consumption,Tonnes,,Normal value,Millions,718.4776999999999
2008,Domestic material consumption,Tonnes,,Normal value,Millions,674.3414
2009,Domestic material consumption,Tonnes,,Normal value,Millions,591.5465
2010,Domestic material consumption,Tonnes,,Normal value,Millions,575.2506
2011,Domestic material consumption,Tonnes,,Normal value,Millions,581.2631
2012,Domestic material consumption,Tonnes,,Normal value,Millions,555.5608000000001
2013,Domestic material consumption,Tonnes,,Normal value,Millions,562.8851999999999
2014,Domestic material consumption,Tonnes,,Normal value,Millions,586.2356
2015,Domestic material consumption,Tonnes,,Normal value,Millions,566.2996999999999
2016,Domestic material consumption,Tonnes,,Normal value,Millions,557.9876999999999
2017,Domestic material consumption,Tonnes,,Normal value,Millions,568.0089
2018,Domestic material consumption,Tonnes,,Normal value,Millions,570.8689
