Year,Age,Disability status,Region,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2012,,,,Undefined,Units,Percentage (%),,35.7335999997921
2012,16 to 24,,,Undefined,Units,Percentage (%),,51.4644463006736
2012,25 to 34,,,Undefined,Units,Percentage (%),,38.5788604310241
2012,35 to 44,,,Undefined,Units,Percentage (%),,35.0982919411793
2012,45 to 54,,,Undefined,Units,Percentage (%),,35.5962463858437
2012,55 to 64,,,Undefined,Units,Percentage (%),,31.3987493308593
2012,65 and over,,,Undefined,Units,Percentage (%),,32.5132381045905
2012,,,North East,Undefined,Units,Percentage (%),E12000001,36.732904221548
2012,,,North West,Undefined,Units,Percentage (%),E12000002,34.9906628703574
2012,,,Yorkshire and the Humber,Undefined,Units,Percentage (%),,36.0864874839424
2012,,,East Midlands,Undefined,Units,Percentage (%),E12000004,34.2920973801605
2012,,,West Midlands,Undefined,Units,Percentage (%),E12000005,35.0670744468974
2012,,,East,Undefined,Units,Percentage (%),E12000006,35.5194261052366
2012,,,London,Undefined,Units,Percentage (%),E12000007,35.8664126285474
2012,,,South East,Undefined,Units,Percentage (%),E12000008,34.6217267197075
2012,,,South West,Undefined,Units,Percentage (%),E12000009,35.717067074772
2012,,,Wales,Undefined,Units,Percentage (%),W92000004,38.7463717480112
2012,,,Scotland,Undefined,Units,Percentage (%),S92000003,38.6030670806285
2012,,,Northern Ireland,Undefined,Units,Percentage (%),N92000002,38.228819644728
2013,,,,Undefined,Units,Percentage (%),,35.4860636764419
2013,16 to 24,,,Undefined,Units,Percentage (%),,45.6526115842823
2013,25 to 34,,,Undefined,Units,Percentage (%),,38.7149973393848
2013,35 to 44,,,Undefined,Units,Percentage (%),,34.4496483049956
2013,45 to 54,,,Undefined,Units,Percentage (%),,34.9632695837879
2013,55 to 64,,,Undefined,Units,Percentage (%),,33.3815849839097
2013,65 and over,,,Undefined,Units,Percentage (%),,32.1565567482148
2013,,,North East,Undefined,Units,Percentage (%),E12000001,36.592290734184
2013,,,North West,Undefined,Units,Percentage (%),E12000002,35.4938408221611
2013,,,Yorkshire and the Humber,Undefined,Units,Percentage (%),,35.0268601283686
2013,,,East Midlands,Undefined,Units,Percentage (%),E12000004,33.3702195953992
2013,,,West Midlands,Undefined,Units,Percentage (%),E12000005,33.8918604397895
2013,,,East,Undefined,Units,Percentage (%),E12000006,34.9792226839404
2013,,,London,Undefined,Units,Percentage (%),E12000007,33.9018560020253
2013,,,South East,Undefined,Units,Percentage (%),E12000008,36.2514506769826
2013,,,South West,Undefined,Units,Percentage (%),E12000009,36.5088632881154
2013,,,Wales,Undefined,Units,Percentage (%),W92000004,36.737597178809
2013,,,Scotland,Undefined,Units,Percentage (%),S92000003,38.3494978215303
2013,,,Northern Ireland,Undefined,Units,Percentage (%),N92000002,41.105596359478
2014,,,,Undefined,Units,Percentage (%),,36.5540207792933
2014,,Disabled (GSS harmonised),,Undefined,Units,Percentage (%),,42.2369297369297
2014,,Non-disabled (GSS harmonised),,Undefined,Units,Percentage (%),,36.1641256044148
2014,16 to 24,,,Undefined,Units,Percentage (%),,50.8480202567606
2014,25 to 34,,,Undefined,Units,Percentage (%),,37.9749981262401
2014,35 to 44,,,Undefined,Units,Percentage (%),,35.4094668722782
2014,45 to 54,,,Undefined,Units,Percentage (%),,36.4739496641498
2014,55 to 64,,,Undefined,Units,Percentage (%),,35.2740423304021
2014,65 and over,,,Undefined,Units,Percentage (%),,31.7687192330944
2014,,,North East,Undefined,Units,Percentage (%),E12000001,38.3836395988619
2014,,,North West,Undefined,Units,Percentage (%),E12000002,36.6731482012438
2014,,,Yorkshire and the Humber,Undefined,Units,Percentage (%),,34.7015077160893
2014,,,East Midlands,Undefined,Units,Percentage (%),E12000004,35.7503802018526
2014,,,West Midlands,Undefined,Units,Percentage (%),E12000005,36.4209086913347
2014,,,East,Undefined,Units,Percentage (%),E12000006,36.2976951480981
2014,,,London,Undefined,Units,Percentage (%),E12000007,35.8850498308619
2014,,,South East,Undefined,Units,Percentage (%),E12000008,35.7601326205125
2014,,,South West,Undefined,Units,Percentage (%),E12000009,37.5519668692863
2014,,,Wales,Undefined,Units,Percentage (%),W92000004,35.7922273032775
2014,,,Scotland,Undefined,Units,Percentage (%),S92000003,39.2932295550911
2014,,,Northern Ireland,Undefined,Units,Percentage (%),N92000002,44.0925420707166
2015,,,,Undefined,Units,Percentage (%),,37.3041322451758
2015,,Disabled (GSS harmonised),,Undefined,Units,Percentage (%),,46.2754624890015
2015,,Non-disabled (GSS harmonised),,Undefined,Units,Percentage (%),,36.7873063366265
2015,16 to 24,,,Undefined,Units,Percentage (%),,46.8684715713398
2015,25 to 34,,,Undefined,Units,Percentage (%),,40.7106077258111
2015,35 to 44,,,Undefined,Units,Percentage (%),,36.0019354235791
2015,45 to 54,,,Undefined,Units,Percentage (%),,36.8516403848308
2015,55 to 64,,,Undefined,Units,Percentage (%),,36.4714844964758
